Index       V(D)              V(G)              I(VD)      
172     -8.90000000e-01   -7.00000000e-01    2.48429203e-05
173     -8.80000000e-01   -7.00000000e-01    2.47790473e-05
174     -8.70000000e-01   -7.00000000e-01    2.47167029e-05
175     -8.60000000e-01   -7.00000000e-01    2.46559237e-05
176     -8.50000000e-01   -7.00000000e-01    2.45967450e-05
177     -8.40000000e-01   -7.00000000e-01    2.45391998e-05
178     -8.30000000e-01   -7.00000000e-01    2.44833192e-05
179     -8.20000000e-01   -7.00000000e-01    2.44291320e-05
180     -8.10000000e-01   -7.00000000e-01    2.43766640e-05
181     -8.00000000e-01   -7.00000000e-01    2.43259383e-05
182     -7.90000000e-01   -7.00000000e-01    2.42769742e-05
183     -7.80000000e-01   -7.00000000e-01    2.42297880e-05
184     -7.70000000e-01   -7.00000000e-01    2.41843914e-05
185     -7.60000000e-01   -7.00000000e-01    2.41407924e-05
186     -7.50000000e-01   -7.00000000e-01    2.40989939e-05
187     -7.40000000e-01   -7.00000000e-01    2.40589942e-05
188     -7.30000000e-01   -7.00000000e-01    2.40207860e-05
189     -7.20000000e-01   -7.00000000e-01    2.39843564e-05
190     -7.10000000e-01   -7.00000000e-01    2.39496859e-05
191     -7.00000000e-01   -7.00000000e-01    2.39167482e-05
192     -6.90000000e-01   -7.00000000e-01    2.38855092e-05
193     -6.80000000e-01   -7.00000000e-01    2.38559257e-05
194     -6.70000000e-01   -7.00000000e-01    2.38279445e-05
195     -6.60000000e-01   -7.00000000e-01    2.38015000e-05
196     -6.50000000e-01   -7.00000000e-01    2.37765119e-05
197     -6.40000000e-01   -7.00000000e-01    2.37528816e-05
198     -6.30000000e-01   -7.00000000e-01    2.37304884e-05
199     -6.20000000e-01   -7.00000000e-01    2.37091825e-05
200     -6.10000000e-01   -7.00000000e-01    2.36887786e-05
201     -6.00000000e-01   -7.00000000e-01    2.36690452e-05
202     -5.90000000e-01   -7.00000000e-01    2.36496935e-05
203     -5.80000000e-01   -7.00000000e-01    2.36303630e-05
204     -5.70000000e-01   -7.00000000e-01    2.36106059e-05
205     -5.60000000e-01   -7.00000000e-01    2.35898715e-05
206     -5.50000000e-01   -7.00000000e-01    2.35674916e-05
207     -5.40000000e-01   -7.00000000e-01    2.35426708e-05
208     -5.30000000e-01   -7.00000000e-01    2.35144842e-05
209     -5.20000000e-01   -7.00000000e-01    2.34818858e-05
210     -5.10000000e-01   -7.00000000e-01    2.34437263e-05
211     -5.00000000e-01   -7.00000000e-01    2.33987824e-05
212     -4.90000000e-01   -7.00000000e-01    2.33457903e-05
213     -4.80000000e-01   -7.00000000e-01    2.32834815e-05
214     -4.70000000e-01   -7.00000000e-01    2.32106146e-05
215     -4.60000000e-01   -7.00000000e-01    2.31260008e-05
216     -4.50000000e-01   -7.00000000e-01    2.30285238e-05
217     -4.40000000e-01   -7.00000000e-01    2.29171525e-05
218     -4.30000000e-01   -7.00000000e-01    2.27909498e-05
219     -4.20000000e-01   -7.00000000e-01    2.26490748e-05
220     -4.10000000e-01   -7.00000000e-01    2.24907821e-05
221     -4.00000000e-01   -7.00000000e-01    2.23154187e-05
222     -3.90000000e-01   -7.00000000e-01    2.21224190e-05
223     -3.80000000e-01   -7.00000000e-01    2.19112988e-05
224     -3.70000000e-01   -7.00000000e-01    2.16816498e-05
225     -3.60000000e-01   -7.00000000e-01    2.14331332e-05
226     -3.50000000e-01   -7.00000000e-01    2.11654739e-05
227     -3.40000000e-01   -7.00000000e-01    2.08784547e-05
