Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
93      -7.00000000e-03    0.00000000e+00   -3.81629404e-09   -1.17672185e-07   -1.17672169e-07    0.00000000e+00    1.70596254e-01   -1.40000000e-02   -7.00000000e-03   -7.00000000e-03    1.79183850e-01
94      -6.00000000e-03    0.00000000e+00   -3.26268352e-09   -1.00612513e-07   -1.00612495e-07    0.00000000e+00    1.70707607e-01   -1.20000000e-02   -6.00000000e-03   -6.00000000e-03    1.79175697e-01
95      -5.00000000e-03    0.00000000e+00   -2.71296912e-09   -8.36681066e-08   -8.36680948e-08    0.00000000e+00    1.70819176e-01   -9.99999999e-03   -5.00000000e-03   -5.00000000e-03    1.79168026e-01
96      -4.00000000e-03    0.00000000e+00   -2.16649536e-09   -6.68196139e-08   -6.68196032e-08    0.00000000e+00    1.70930963e-01   -8.00000000e-03   -4.00000000e-03   -4.00000000e-03    1.79160832e-01
97      -3.00000000e-03    0.00000000e+00   -1.62261010e-09   -5.00477481e-08   -5.00477397e-08    0.00000000e+00    1.71042969e-01   -6.00000000e-03   -3.00000000e-03   -3.00000000e-03    1.79154108e-01
98      -2.00000000e-03    0.00000000e+00   -1.08066387e-09   -3.33332938e-08   -3.33332894e-08    0.00000000e+00    1.71155196e-01   -4.00000000e-03   -2.00000000e-03   -2.00000000e-03    1.79147850e-01
99      -1.00000000e-03    0.00000000e+00   -5.40009208e-10   -1.66570896e-08   -1.66570869e-08    0.00000000e+00    1.71267644e-01   -2.00000000e-03   -9.99999999e-04   -9.99999999e-04    1.79142052e-01
100      0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.71380315e-01    4.44818943e-27    2.22409471e-27    2.22409471e-27    1.79136708e-01
101      1.00000000e-03    0.00000000e+00    5.40009208e-10    1.66570896e-08    1.66570869e-08    0.00000000e+00    1.71267644e-01    2.00000000e-03    9.99999999e-04    9.99999999e-04    1.79142052e-01
102      2.00000000e-03    0.00000000e+00    1.08066387e-09    3.33332938e-08    3.33332894e-08    0.00000000e+00    1.71155196e-01    4.00000000e-03    2.00000000e-03    2.00000000e-03    1.79147850e-01
103      3.00000000e-03    0.00000000e+00    1.62261010e-09    5.00477481e-08    5.00477397e-08    0.00000000e+00    1.71042969e-01    6.00000000e-03    3.00000000e-03    3.00000000e-03    1.79154108e-01
104      4.00000000e-03    0.00000000e+00    2.16649536e-09    6.68196139e-08    6.68196032e-08    0.00000000e+00    1.70930963e-01    8.00000000e-03    4.00000000e-03    4.00000000e-03    1.79160832e-01
105      5.00000000e-03    0.00000000e+00    2.71296912e-09    8.36681068e-08    8.36680948e-08    0.00000000e+00    1.70819176e-01    9.99999999e-03    5.00000000e-03    5.00000000e-03    1.79168026e-01
106      6.00000000e-03    0.00000000e+00    3.26268352e-09    1.00612513e-07    1.00612495e-07    0.00000000e+00    1.70707607e-01    1.20000000e-02    6.00000000e-03    6.00000000e-03    1.79175697e-01
107      7.00000000e-03    0.00000000e+00    3.81629404e-09    1.17672185e-07    1.17672169e-07    0.00000000e+00    1.70596254e-01    1.40000000e-02    7.00000000e-03    7.00000000e-03    1.79183850e-01
108      8.00000000e-03    0.00000000e+00    4.37446019e-09    1.34866597e-07    1.34866576e-07    0.00000000e+00    1.70485114e-01    1.60000000e-02    8.00000000e-03    8.00000000e-03    1.79192490e-01
109      9.00000000e-03    0.00000000e+00    4.93784614e-09    1.52215321e-07    1.52215295e-07    0.00000000e+00    1.70374186e-01    1.80000000e-02    9.00000000e-03    9.00000000e-03    1.79201622e-01
110      1.00000000e-02    0.00000000e+00    5.50712142e-09    1.69738059e-07    1.69738034e-07    0.00000000e+00    1.70263466e-01    2.00000000e-02    9.99999999e-03    9.99999999e-03    1.79211253e-01
111      1.10000000e-02    0.00000000e+00    6.08296153e-09    1.87454671e-07    1.87454646e-07    0.00000000e+00    1.70152951e-01    2.20000000e-02    1.10000000e-02    1.10000000e-02    1.79221387e-01
112      1.20000000e-02    0.00000000e+00    6.66604869e-09    2.05385180e-07    2.05385148e-07    0.00000000e+00    1.70042637e-01    2.40000000e-02    1.20000000e-02    1.20000000e-02    1.79232029e-01
113      1.30000000e-02    0.00000000e+00    7.25707242e-09    2.23549768e-07    2.23549735e-07    0.00000000e+00    1.69932522e-01    2.60000000e-02    1.30000000e-02    1.30000000e-02    1.79243186e-01
114      1.40000000e-02    0.00000000e+00    7.85673025e-09    2.41968831e-07    2.41968796e-07    0.00000000e+00    1.69822601e-01    2.80000000e-02    1.40000000e-02    1.40000000e-02    1.79254862e-01
115      1.50000000e-02    0.00000000e+00    8.46572838e-09    2.60662967e-07    2.60662925e-07    0.00000000e+00    1.69712870e-01    3.00000000e-02    1.50000000e-02    1.50000000e-02    1.79267063e-01
116      1.60000000e-02    0.00000000e+00    9.08478235e-09    2.79652993e-07    2.79652944e-07    0.00000000e+00    1.69603326e-01    3.20000000e-02    1.60000000e-02    1.60000000e-02    1.79279794e-01
117      1.70000000e-02    0.00000000e+00    9.71461772e-09    2.98959960e-07    2.98959911e-07    0.00000000e+00    1.69493963e-01    3.40000000e-02    1.70000000e-02    1.70000000e-02    1.79293062e-01
118      1.80000000e-02    0.00000000e+00    1.03559708e-08    3.18605196e-07    3.18605140e-07    0.00000000e+00    1.69384778e-01    3.60000000e-02    1.80000000e-02    1.80000000e-02    1.79306873e-01
119      1.90000000e-02    0.00000000e+00    1.10095892e-08    3.38610259e-07    3.38610213e-07    0.00000000e+00    1.69275765e-01    3.80000000e-02    1.90000000e-02    1.90000000e-02    1.79321232e-01
120      2.00000000e-02    0.00000000e+00    1.16762328e-08    3.58997054e-07    3.58997000e-07    0.00000000e+00    1.69166920e-01    4.00000000e-02    2.00000000e-02    2.00000000e-02    1.79336146e-01
121      2.10000000e-02    0.00000000e+00    1.23566744e-08    3.79787719e-07    3.79787669e-07    0.00000000e+00    1.69058239e-01    4.20000000e-02    2.10000000e-02    2.10000000e-02    1.79351621e-01
122      2.20000000e-02    0.00000000e+00    1.30517004e-08    4.01004756e-07    4.01004708e-07    0.00000000e+00    1.68949715e-01    4.40000000e-02    2.20000000e-02    2.20000000e-02    1.79367666e-01
123      2.30000000e-02    0.00000000e+00    1.37621117e-08    4.22671011e-07    4.22670938e-07    0.00000000e+00    1.68841345e-01    4.60000000e-02    2.30000000e-02    2.30000000e-02    1.79384286e-01
