Index       V(D)              V(G)            {-I(VD)}     
317      5.50000000e-01    1.00000000e+00    1.40807834e-04
318      5.60000000e-01    1.00000000e+00    1.41963873e-04
319      5.70000000e-01    1.00000000e+00    1.43061488e-04
320      5.80000000e-01    1.00000000e+00    1.44101364e-04
321      5.90000000e-01    1.00000000e+00    1.45084359e-04
322      6.00000000e-01    1.00000000e+00    1.46011506e-04
323      6.10000000e-01    1.00000000e+00    1.46884014e-04
324      6.20000000e-01    1.00000000e+00    1.47703266e-04
325      6.30000000e-01    1.00000000e+00    1.48470810e-04
326      6.40000000e-01    1.00000000e+00    1.49188354e-04
327      6.50000000e-01    1.00000000e+00    1.49857753e-04
328      6.60000000e-01    1.00000000e+00    1.50480994e-04
329      6.70000000e-01    1.00000000e+00    1.51060177e-04
330      6.80000000e-01    1.00000000e+00    1.51597500e-04
331      6.90000000e-01    1.00000000e+00    1.52095233e-04
332      7.00000000e-01    1.00000000e+00    1.52555697e-04
333      7.10000000e-01    1.00000000e+00    1.52981242e-04
334      7.20000000e-01    1.00000000e+00    1.53374224e-04
335      7.30000000e-01    1.00000000e+00    1.53736981e-04
336      7.40000000e-01    1.00000000e+00    1.54071813e-04
337      7.50000000e-01    1.00000000e+00    1.54380963e-04
338      7.60000000e-01    1.00000000e+00    1.54666598e-04
339      7.70000000e-01    1.00000000e+00    1.54930797e-04
340      7.80000000e-01    1.00000000e+00    1.55175536e-04
341      7.90000000e-01    1.00000000e+00    1.55402681e-04
342      8.00000000e-01    1.00000000e+00    1.55613981e-04
343      8.10000000e-01    1.00000000e+00    1.55811063e-04
344      8.20000000e-01    1.00000000e+00    1.55995431e-04
345      8.30000000e-01    1.00000000e+00    1.56168466e-04
346      8.40000000e-01    1.00000000e+00    1.56331432e-04
347      8.50000000e-01    1.00000000e+00    1.56485475e-04
348      8.60000000e-01    1.00000000e+00    1.56631631e-04
349      8.70000000e-01    1.00000000e+00    1.56770833e-04
350      8.80000000e-01    1.00000000e+00    1.56903915e-04
351      8.90000000e-01    1.00000000e+00    1.57031623e-04
352      9.00000000e-01    1.00000000e+00    1.57154617e-04
353      9.10000000e-01    1.00000000e+00    1.57273485e-04
354      9.20000000e-01    1.00000000e+00    1.57388744e-04
355      9.30000000e-01    1.00000000e+00    1.57500850e-04
356      9.40000000e-01    1.00000000e+00    1.57610205e-04
357      9.50000000e-01    1.00000000e+00    1.57717159e-04
358      9.60000000e-01    1.00000000e+00    1.57822020e-04
359      9.70000000e-01    1.00000000e+00    1.57925058e-04
360      9.80000000e-01    1.00000000e+00    1.58026506e-04
361      9.90000000e-01    1.00000000e+00    1.58126569e-04
362      1.00000000e+00    1.00000000e+00    1.58225425e-04
363      1.01000000e+00    1.00000000e+00    1.58323229e-04
364      1.02000000e+00    1.00000000e+00    1.58420115e-04
365      1.03000000e+00    1.00000000e+00    1.58516202e-04
366      1.04000000e+00    1.00000000e+00    1.58611589e-04
367      1.05000000e+00    1.00000000e+00    1.58706366e-04
368      1.06000000e+00    1.00000000e+00    1.58800608e-04
369      1.07000000e+00    1.00000000e+00    1.58894383e-04
370      1.08000000e+00    1.00000000e+00    1.58987748e-04
371      1.09000000e+00    1.00000000e+00    1.59080753e-04
372      1.10000000e+00    1.00000000e+00    1.59173441e-04
373      1.11000000e+00    1.00000000e+00    1.59265851e-04
374      1.12000000e+00    1.00000000e+00    1.59358015e-04
375      1.13000000e+00    1.00000000e+00    1.59449961e-04
376      1.14000000e+00    1.00000000e+00    1.59541714e-04
377      1.15000000e+00    1.00000000e+00    1.59633296e-04
378      1.16000000e+00    1.00000000e+00    1.59724725e-04
379      1.17000000e+00    1.00000000e+00    1.59816017e-04
380      1.18000000e+00    1.00000000e+00    1.59907187e-04
381      1.19000000e+00    1.00000000e+00    1.59998247e-04
382      1.20000000e+00    1.00000000e+00    1.60089208e-04
383      1.21000000e+00    1.00000000e+00    1.60180078e-04
384      1.22000000e+00    1.00000000e+00    1.60270866e-04
385      1.23000000e+00    1.00000000e+00    1.60361579e-04
386      1.24000000e+00    1.00000000e+00    1.60452223e-04
387      1.25000000e+00    1.00000000e+00    1.60542804e-04
388      1.26000000e+00    1.00000000e+00    1.60633326e-04
389      1.27000000e+00    1.00000000e+00    1.60723794e-04
390      1.28000000e+00    1.00000000e+00    1.60814211e-04
391      1.29000000e+00    1.00000000e+00    1.60904580e-04
392      1.30000000e+00    1.00000000e+00    1.60994903e-04
End of Xyce(TM) Simulation
