Index       TIME              V(VI)             V(1)              V(2)              V(3)              V(4)              V(VO)      
104      7.50930366e-07    8.54292415e-06    9.97001836e-01    9.02172988e-03    9.94599810e-01    9.17987711e-03    9.99510609e-01
105      7.68720072e-07    3.45472908e-03    9.99210811e-01    8.52556925e-03    9.97709863e-01    8.42566615e-03    9.99701919e-01
106      7.86509777e-07    1.30982345e-02    1.00116367e+00    8.24497050e-03    9.99107852e-01    8.08751509e-03    9.99791354e-01
107      8.04299482e-07    2.88186998e-02    1.00294827e+00    8.07390710e-03    9.99654275e-01    7.95515569e-03    9.99827990e-01
108      8.22089187e-07    5.04199199e-02    1.00459347e+00    7.95091782e-03    9.99827727e-01    7.91292832e-03    9.99840112e-01
109      8.57668597e-07    1.10116184e-01    1.00705645e+00    7.72500078e-03    9.99890114e-01    7.89712284e-03    9.99844726e-01
110      8.93248007e-07    1.89216078e-01    1.00496435e+00    7.36951770e-03    9.99844383e-01    7.90386653e-03    9.99842608e-01
111      9.28827418e-07    2.83782982e-01    9.87247295e-01    6.69044314e-03    9.99775288e-01    7.91098066e-03    9.99840587e-01
112      9.57791410e-07    3.68946738e-01    9.48269300e-01    6.10487849e-03    9.99751132e-01    7.91762768e-03    9.99840391e-01
113      9.81253636e-07    4.41242645e-01    8.89486486e-01    6.36939352e-03    9.99844364e-01    7.92902721e-03    9.99841766e-01
114      1.00189355e-06    5.05948627e-01    8.04070498e-01    8.52014730e-03    1.00015269e+00    7.94894404e-03    9.99844295e-01
115      1.01382410e-06    5.43375090e-01    7.30892547e-01    1.13514129e-02    1.00050968e+00    7.96925551e-03    9.99847350e-01
116      1.02317826e-06    5.72559542e-01    6.51993887e-01    1.53431870e-02    1.00101292e+00    8.00757614e-03    9.99857361e-01
117      1.03159702e-06    5.98614162e-01    5.57527313e-01    2.30094364e-02    1.00209403e+00    8.14370833e-03    9.99906557e-01
118      1.03917389e-06    6.21829520e-01    4.56995163e-01    4.06256861e-02    1.00486968e+00    8.58780821e-03    1.00007628e+00
119      1.04439941e-06    6.37682684e-01    3.84489007e-01    6.53262464e-02    1.00892518e+00    9.26176314e-03    1.00032613e+00
120      1.04910238e-06    6.51824125e-01    3.21341465e-01    1.04060219e-01    1.01544171e+00    1.03384119e-02    1.00071141e+00
121      1.05333506e-06    6.64438433e-01    2.63842370e-01    1.60350770e-01    1.02528881e+00    1.19505278e-02    1.00127877e+00
