Index       TIME              V(1)              V(2)              L1:L             {L1:L}           {2*L1:L}        {(L1:L)**2.0}     {(L1:L)*R1:R}  
223      4.81957508e-05    2.98215781e-01    5.96431562e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
224      4.99664316e-05    3.08816394e-01    6.17632789e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
225      5.17371125e-05    3.19378783e-01    6.38757567e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
226      5.35077934e-05    3.29901641e-01    6.59803282e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
227      5.52784743e-05    3.40383665e-01    6.80767330e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
228      5.70491551e-05    3.50823558e-01    7.01647115e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
229      5.88198360e-05    3.61220027e-01    7.22440054e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
230      6.05905169e-05    3.71571786e-01    7.43143571e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
231      6.23611977e-05    3.81877553e-01    7.63755106e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
232      6.41318786e-05    3.92136053e-01    7.84272106e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
233      6.59025595e-05    4.02346016e-01    8.04692032e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
234      6.76732404e-05    4.12506178e-01    8.25012357e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
235      7.12146021e-05    4.32672077e-01    8.65344154e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
