Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}        I(XKS1:L1)        I(XKS1:L2)    
134      1.69295409e-02   -1.67262716e-02    2.63695684e-01    2.47772133e-01    1.67262716e-02   -4.77721326e-05
135      1.70629984e-02   -2.51979784e-02    2.63265270e-01    2.47450691e-01    2.51979784e-02   -4.74506908e-05
136      1.71964559e-02   -3.36058491e-02    2.62739861e-01    2.47055747e-01    3.36058491e-02   -4.70557473e-05
137      1.73299135e-02   -4.19287326e-02    2.61993478e-01    2.46497915e-01    4.19287326e-02   -4.64979146e-05
138      1.74633710e-02   -5.01454436e-02    2.61149617e-01    2.45863566e-01    5.01454436e-02   -4.58635660e-05
139      1.75968285e-02   -5.82353037e-02    2.60094223e-01    2.45074488e-01    5.82353037e-02   -4.50744876e-05
140      1.77302861e-02   -6.61777279e-02    2.58941012e-01    2.44207622e-01    6.61777279e-02   -4.42076222e-05
141      1.78637436e-02   -7.39527218e-02    2.57586745e-01    2.43194836e-01    7.39527218e-02   -4.31948363e-05
142      1.79972011e-02   -8.15405069e-02    2.56136365e-01    2.42104644e-01    8.15405069e-02   -4.21046439e-05
143      1.81306587e-02   -8.89219773e-02    2.54496438e-01    2.40878000e-01    8.89219773e-02   -4.08780002e-05
144      1.82641162e-02   -9.60783591e-02    2.52764025e-01    2.39575884e-01    9.60783591e-02   -3.95758843e-05
145      1.83975737e-02   -1.02991630e-01    2.50854586e-01    2.38147439e-01    1.02991630e-01   -3.81474393e-05
146      1.85310313e-02   -1.09644208e-01    2.48858091e-01    2.36646906e-01    1.09644208e-01   -3.66469061e-05
147      1.86644888e-02   -1.16019340e-01    2.46698052e-01    2.35030797e-01    1.16019340e-01   -3.50307972e-05
148      1.87979463e-02   -1.22100812e-01    2.44458058e-01    2.33347323e-01    1.22100812e-01   -3.33473232e-05
149      1.89314039e-02   -1.27873309e-01    2.42068906e-01    2.31559621e-01    1.27873309e-01   -3.15596211e-05
150      1.90648614e-02   -1.33322149e-01    2.39608424e-01    2.29710501e-01    1.33322149e-01   -2.97105005e-05
151      1.91983189e-02   -1.38433613e-01    2.37013996e-01    2.27769044e-01    1.38433613e-01   -2.77690436e-05
152      1.93317765e-02   -1.43194697e-01    2.34358237e-01    2.25773216e-01    1.43194697e-01   -2.57732164e-05
153      1.94652340e-02   -1.47593416e-01    2.31584474e-01    2.23697427e-01    1.47593416e-01   -2.36974268e-05
154      1.95986915e-02   -1.51618577e-01    2.28760597e-01    2.21575290e-01    1.51618577e-01   -2.15752904e-05
155      1.97321491e-02   -1.55260050e-01    2.25835284e-01    2.19385975e-01    1.55260050e-01   -1.93859747e-05
156      1.98656066e-02   -1.58508565e-01    2.22872123e-01    2.17159180e-01    1.58508565e-01   -1.71591803e-05
157      1.99990641e-02   -1.61355954e-01    2.19824601e-01    2.14878316e-01    1.61355954e-01   -1.48783165e-05
158      2.01325217e-02   -1.63794959e-01    2.16752375e-01    2.12569552e-01    1.63794959e-01   -1.25695522e-05
159      2.02659792e-02   -1.65819457e-01    2.13613243e-01    2.10220065e-01    1.65819457e-01   -1.02200649e-05
160      2.03994367e-02   -1.67424277e-01    2.10463255e-01    2.07852829e-01    1.67424277e-01   -7.85282903e-06
161      2.05328943e-02   -1.68605403e-01    2.07264059e-01    2.05458356e-01    1.68605403e-01   -5.45835561e-06
162      2.06663518e-02   -1.69359801e-01    2.04068381e-01    2.03056720e-01    1.69359801e-01   -3.05672017e-06
163      2.07998093e-02   -1.69685606e-01    2.00841291e-01    2.00641370e-01    1.69685606e-01   -6.41369635e-07
164      2.09332669e-02   -1.69581951e-01    1.97632439e-01    1.98229739e-01    1.69581951e-01    1.77026083e-06
165      2.10667244e-02   -1.69049139e-01    1.94409925e-01    1.95817847e-01    1.69049139e-01    4.18215342e-06
166      2.12001819e-02   -1.68088479e-01    1.91220532e-01    1.93420713e-01    1.68088479e-01    6.57928734e-06
167      2.13336394e-02   -1.66702441e-01    1.88035031e-01    1.91036591e-01    1.66702441e-01    8.96340861e-06
168      2.14670970e-02   -1.64894495e-01    1.84897523e-01    1.88678286e-01    1.64894495e-01    1.13217137e-05
169      2.16005545e-02   -1.62669252e-01    1.81781111e-01    1.86345981e-01    1.62669252e-01    1.36540192e-05
170      2.17340120e-02   -1.60032310e-01    1.78727373e-01    1.84050433e-01    1.60032310e-01    1.59495673e-05
171      2.18674696e-02   -1.56990375e-01    1.75711439e-01    1.81793474e-01    1.56990375e-01    1.82065263e-05
172      2.20009271e-02   -1.53551115e-01    1.72772498e-01    1.79583966e-01    1.53551115e-01    2.04160342e-05
173      2.21343846e-02   -1.49723263e-01    1.69887426e-01    1.77425132e-01    1.49723263e-01    2.25748684e-05
