Index       TIME              V(1)              V(2)             X1:L1:L          {X1:L1:L}       {2.0*X1:L1:L}     {X1:L1:L**2}    {(X1:L1:L)*R1:R} 
45       1.68140700e-04    8.70619007e-01    8.70619007e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
46       1.74694300e-04    8.90132870e-01    8.90132870e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
47       1.81247900e-04    9.08137650e-01    9.08137650e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
48       1.87801500e-04    9.24602822e-01    9.24602822e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
49       1.94355100e-04    9.39500474e-01    9.39500474e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
50       2.00908700e-04    9.52805347e-01    9.52805347e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
51       2.07462300e-04    9.64494886e-01    9.64494886e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
52       2.14015900e-04    9.74549273e-01    9.74549273e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
53       2.20569500e-04    9.82951462e-01    9.82951462e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
54       2.27123100e-04    9.89687209e-01    9.89687209e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
55       2.33676700e-04    9.94745094e-01    9.94745094e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
56       2.40230300e-04    9.98116543e-01    9.98116543e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
57       2.46783900e-04    9.99795838e-01    9.99795838e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
58       2.53337500e-04    9.99780135e-01    9.99780135e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
59       2.59891100e-04    9.98069459e-01    9.98069459e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
60       2.66444700e-04    9.94666710e-01    9.94666710e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
61       2.72998300e-04    9.89577657e-01    9.89577657e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
62       2.79551900e-04    9.82810928e-01    9.82810928e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
63       2.86105500e-04    9.74377995e-01    9.74377995e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
64       2.92659100e-04    9.64293155e-01    9.64293155e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
65       2.99212700e-04    9.52573504e-01    9.52573504e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
66       3.05766300e-04    9.39238912e-01    9.39238912e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
67       3.12319900e-04    9.24311986e-01    9.24311986e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
68       3.18873500e-04    9.07818032e-01    9.07818032e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
69       3.25427100e-04    8.89785012e-01    8.89785012e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
70       3.31980700e-04    8.70243499e-01    8.70243499e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
71       3.38534300e-04    8.49226623e-01    8.49226623e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
72       3.45087900e-04    8.26770014e-01    8.26770014e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
73       3.51641500e-04    8.02911744e-01    8.02911744e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
74       3.58195100e-04    7.77692262e-01    7.77692262e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
75       3.64748700e-04    7.51154322e-01    7.51154322e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
76       3.71302300e-04    7.23342916e-01    7.23342916e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
77       3.77855900e-04    6.94305194e-01    6.94305194e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
78       3.84409500e-04    6.64090385e-01    6.64090385e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
79       3.90963100e-04    6.32749713e-01    6.32749713e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
80       3.97516700e-04    6.00336312e-01    6.00336312e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
81       4.04070300e-04    5.66905133e-01    5.66905133e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
82       4.10623900e-04    5.32512854e-01    5.32512854e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
83       4.17177500e-04    4.97217782e-01    4.97217782e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
84       4.23731100e-04    4.61079754e-01    4.61079754e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
85       4.30284700e-04    4.24160036e-01    4.24160036e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
86       4.36838300e-04    3.86521220e-01    3.86521220e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
87       4.43391900e-04    3.48227118e-01    3.48227118e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
88       4.49945500e-04    3.09342650e-01    3.09342650e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
89       4.56499100e-04    2.69933739e-01    2.69933739e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
90       4.63052700e-04    2.30067198e-01    2.30067198e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
91       4.69606300e-04    1.89810613e-01    1.89810613e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
92       4.76159900e-04    1.49232234e-01    1.49232234e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
93       4.82713500e-04    1.08400854e-01    1.08400854e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
94       4.95820700e-04    2.62562986e-02    2.62562986e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
95       5.00117216e-04   -7.36488061e-04   -7.36488061e-04    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
96       5.04413731e-04   -2.77287380e-02   -2.77287380e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
97       5.13006763e-04   -8.16329624e-02   -8.16329624e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
98       5.21599794e-04   -1.35299277e-01   -1.35299277e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
99       5.30192826e-04   -1.88571277e-01   -1.88571277e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
100      5.38785857e-04   -2.41293708e-01   -2.41293708e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
101      5.47378889e-04   -2.93312915e-01   -2.93312915e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
102      5.55971920e-04   -3.44477296e-01   -3.44477296e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
103      5.64564952e-04   -3.94637737e-01   -3.94637737e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
104      5.73157983e-04   -4.43648052e-01   -4.43648052e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
105      5.81751015e-04   -4.91365405e-01   -4.91365405e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
106      5.90344046e-04   -5.37650729e-01   -5.37650729e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
107      5.98937077e-04   -5.82369132e-01   -5.82369132e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
108      6.07530109e-04   -6.25390287e-01   -6.25390287e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
109      6.16123140e-04   -6.66588813e-01   -6.66588813e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
110      6.24716172e-04   -7.05844642e-01   -7.05844642e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
111      6.33309203e-04   -7.43043367e-01   -7.43043367e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
112      6.41902235e-04   -7.78076578e-01   -7.78076578e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
113      6.50495266e-04   -8.10842173e-01   -8.10842173e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
114      6.59088298e-04   -8.41244662e-01   -8.41244662e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
115      6.67681329e-04   -8.69195438e-01   -8.69195438e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
116      6.76274360e-04   -8.94613045e-01   -8.94613045e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
117      6.84867392e-04   -9.17423403e-01   -9.17423403e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
118      6.93460423e-04   -9.37560036e-01   -9.37560036e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
119      7.02053455e-04   -9.54964257e-01   -9.54964257e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
120      7.10646486e-04   -9.69585344e-01   -9.69585344e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
121      7.19239518e-04   -9.81380686e-01   -9.81380686e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
122      7.27832549e-04   -9.90315905e-01   -9.90315905e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
123      7.36425581e-04   -9.96364962e-01   -9.96364962e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
124      7.45018612e-04   -9.99510227e-01   -9.99510227e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
125      7.53611644e-04   -9.99742533e-01   -9.99742533e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
126      7.62204675e-04   -9.97061205e-01   -9.97061205e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
127      7.70797706e-04   -9.91474055e-01   -9.91474055e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
128      7.79390738e-04   -9.82997367e-01   -9.82997367e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
129      7.87983769e-04   -9.71655846e-01   -9.71655846e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
130      7.96576801e-04   -9.57482545e-01   -9.57482545e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
131      8.05169832e-04   -9.40518770e-01   -9.40518770e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
