Index       TIME              V(1)              V(2)            {X1:L1:L}          X1:L1:L     
91       6.13580700e-04   -6.54596374e-01    2.11548664e-01    1.00000000e-03    1.00000000e-03
92       6.26687900e-04   -7.14566017e-01    1.97607307e-01    1.00000000e-03    1.00000000e-03
93       6.39795100e-04   -7.69691969e-01    1.82965693e-01    1.00000000e-03    1.00000000e-03
94       6.52902300e-04   -8.19600558e-01    1.67713567e-01    1.00000000e-03    1.00000000e-03
95       6.66009500e-04   -8.63953477e-01    1.51944952e-01    1.00000000e-03    1.00000000e-03
96       6.79116700e-04   -9.02450081e-01    1.35757512e-01    1.00000000e-03    1.00000000e-03
97       6.92223900e-04   -9.34829420e-01    1.19251888e-01    1.00000000e-03    1.00000000e-03
98       7.05331100e-04   -9.60872010e-01    1.02531011e-01    1.00000000e-03    1.00000000e-03
99       7.18438300e-04   -9.80401321e-01    8.56994062e-02    1.00000000e-03    1.00000000e-03
100      7.31545500e-04   -9.93284975e-01    6.88624788e-02    1.00000000e-03    1.00000000e-03
101      7.44652700e-04   -9.99435638e-01    5.21258002e-02    1.00000000e-03    1.00000000e-03
102      7.57759900e-04   -9.98811618e-01    3.55943894e-02    1.00000000e-03    1.00000000e-03
103      7.70867100e-04   -9.91417146e-01    1.93719991e-02    1.00000000e-03    1.00000000e-03
104      7.83974300e-04   -9.77302345e-01    3.56041105e-03    1.00000000e-03    1.00000000e-03
105      7.97081500e-04   -9.56562892e-01   -1.17412562e-02    1.00000000e-03    1.00000000e-03
106      8.10188700e-04   -9.29339370e-01   -2.64372207e-02    1.00000000e-03    1.00000000e-03
107      8.23295900e-04   -8.95816314e-01   -4.04356881e-02    1.00000000e-03    1.00000000e-03
108      8.36403100e-04   -8.56220959e-01   -5.36494757e-02    1.00000000e-03    1.00000000e-03
109      8.49510300e-04   -8.10821704e-01   -6.59966055e-02    1.00000000e-03    1.00000000e-03
110      8.62617500e-04   -7.59926288e-01   -7.74008609e-02    1.00000000e-03    1.00000000e-03
111      8.75724700e-04   -7.03879705e-01   -8.77923056e-02    1.00000000e-03    1.00000000e-03
112      8.88831900e-04   -6.43061867e-01   -9.71077591e-02    1.00000000e-03    1.00000000e-03
113      9.01939100e-04   -5.77885030e-01   -1.05291226e-01    1.00000000e-03    1.00000000e-03
114      9.15046300e-04   -5.08790994e-01   -1.12294280e-01    1.00000000e-03    1.00000000e-03
115      9.28153500e-04   -4.36248115e-01   -1.18076387e-01    1.00000000e-03    1.00000000e-03
116      9.41260700e-04   -3.60748124e-01   -1.22605191e-01    1.00000000e-03    1.00000000e-03
117      9.54367900e-04   -2.82802799e-01   -1.25856728e-01    1.00000000e-03    1.00000000e-03
118      9.67475100e-04   -2.02940494e-01   -1.27815589e-01    1.00000000e-03    1.00000000e-03
119      9.80582300e-04   -1.21702554e-01   -1.28475034e-01    1.00000000e-03    1.00000000e-03
120      9.93689500e-04   -3.96396526e-02   -1.27837029e-01    1.00000000e-03    1.00000000e-03
121      1.00000000e-03   -2.44929360e-16   -1.27069448e-01    1.00000000e-03    1.00000000e-03
End of Xyce(TM) Simulation
