V(g) I(d) I(g) I(s) I(b)
-1.18000 -0.0012867 -1.21784e-08 0.0012867 2.490807e-10
-1.19000 -0.0012947 -1.24413e-08 0.0012947 2.490807e-10
-1.20000 -0.0013027 -1.27057e-08 0.0013027 2.490807e-10
1.00000 -3.84014e-08 5.455892e-10 -5.11351e-10 3.83672e-08
0.99 -3.83992e-08 5.314382e-10 -4.99469e-10 3.83672e-08
0.98 -3.8397e-08 5.175991e-10 -4.877807e-10 3.83672e-08
0.97 -3.8395e-08 5.040771e-10 -4.7629e-10 3.83672e-08
0.96 -3.83931e-08 4.908739e-10 -4.64999e-10 3.83672e-08
0.95 -3.83913e-08 4.779884e-10 -4.539084e-10 3.83672e-08
0.94 -3.83896e-08 4.654172e-10 -4.430175e-10 3.83672e-08
0.93 -3.8388e-08 4.531548e-10 -4.323246e-10 3.83672e-08
0.92 -3.83866e-08 4.411943e-10 -4.218275e-10 3.83672e-08
0.91 -3.83852e-08 4.295278e-10 -4.115233e-10 3.83672e-08
0.9 -3.83839e-08 4.181467e-10 -4.014085e-10 3.83672e-08
0.89 -3.83828e-08 4.07042e-10 -3.914797e-10 3.83672e-08
0.88 -3.83817e-08 3.962046e-10 -3.817332e-10 3.83672e-08
0.87 -3.83807e-08 3.856253e-10 -3.721654e-10 3.83672e-08
0.86 -3.83797e-08 3.752953e-10 -3.627726e-10 3.83672e-08
0.85 -3.83789e-08 3.652058e-10 -3.535512e-10 3.83672e-08
0.84 -3.83781e-08 3.553486e-10 -3.44498e-10 3.83672e-08
0.83 -3.83773e-08 3.457159e-10 -3.356097e-10 3.83672e-08
0.82 -3.83766e-08 3.363001e-10 -3.268832e-10 3.83672e-08
0.81 -3.8376e-08 3.270943e-10 -3.183158e-10 3.83672e-08
0.8 -3.83754e-08 3.18092e-10 -3.099048e-10 3.83672e-08
0.79 -3.83748e-08 3.092871e-10 -3.016476e-10 3.83672e-08
0.78 -3.83743e-08 3.00674e-10 -2.93542e-10 3.83672e-08
0.77 -3.83739e-08 2.922475e-10 -2.855859e-10 3.83672e-08
0.76 -3.83734e-08 2.840026e-10 -2.777772e-10 3.83672e-08
0.75 -3.8373e-08 2.759349e-10 -2.701141e-10 3.83672e-08
0.74 -3.83726e-08 2.680402e-10 -2.625949e-10 3.83672e-08
0.73 -3.83723e-08 2.603146e-10 -2.552179e-10 3.83672e-08
0.72 -3.8372e-08 2.527546e-10 -2.479816e-10 3.83672e-08
0.71 -3.83717e-08 2.453568e-10 -2.408846e-10 3.83672e-08
0.7 -3.83714e-08 2.381181e-10 -2.339255e-10 3.83672e-08
0.69 -3.83711e-08 2.310355e-10 -2.27103e-10 3.83672e-08
0.68 -3.83709e-08 2.241064e-10 -2.204157e-10 3.83672e-08
0.67 -3.83707e-08 2.173282e-10 -2.138625e-10 3.83672e-08
0.66 -3.83705e-08 2.106984e-10 -2.074422e-10 3.83672e-08
0.65 -3.83703e-08 2.042147e-10 -2.011535e-10 3.83672e-08
0.64 -3.83701e-08 1.97875e-10 -1.949952e-10 3.83672e-08
0.63 -3.83699e-08 1.916771e-10 -1.889661e-10 3.83672e-08
0.62 -3.83698e-08 1.85619e-10 -1.83065e-10 3.83672e-08
0.61 -3.83696e-08 1.796987e-10 -1.772906e-10 3.83672e-08
0.6 -3.83695e-08 1.739143e-10 -1.716416e-10 3.83672e-08
0.59 -3.83693e-08 1.682641e-10 -1.661166e-10 3.83672e-08
0.58 -3.83692e-08 1.627461e-10 -1.607142e-10 3.83672e-08
0.57 -3.83691e-08 1.573585e-10 -1.554327e-10 3.83672e-08
0.56 -3.8369e-08 1.520997e-10 -1.502706e-10 3.83672e-08
0.55 -3.83689e-08 1.469678e-10 -1.452258e-10 3.83672e-08
0.54 -3.83689e-08 1.419612e-10 -1.402965e-10 3.83672e-08
0.53 -3.83688e-08 1.370781e-10 -1.354803e-10 3.83672e-08
0.52 -3.83687e-08 1.323167e-10 -1.307745e-10 3.83672e-08
0.51 -3.83687e-08 1.276753e-10 -1.261762e-10 3.83672e-08
0.5 -3.83687e-08 1.231522e-10 -1.216818e-10 3.83672e-08
0.49 -3.83687e-08 1.187456e-10 -1.172872e-10 3.83672e-08
0.48 -3.83687e-08 1.144537e-10 -1.129872e-10 3.83672e-08
0.47 -3.83687e-08 1.102747e-10 -1.08776e-10 3.83672e-08
0.46 -3.83688e-08 1.062069e-10 -1.04646e-10 3.83672e-08
0.45 -3.83689e-08 1.022483e-10 -1.005881e-10 3.83672e-08
0.44 -3.8369e-08 9.8397e-11 -9.65909e-11 3.83672e-08
0.43 -3.83692e-08 9.46512e-11 -9.26403e-11 3.83672e-08
0.42 -3.83695e-08 9.10089e-11 -8.87183e-11 3.83672e-08
0.41 -3.83699e-08 8.74681e-11 -8.48022e-11 3.83672e-08
0.4 -3.83704e-08 8.40267e-11 -8.08632e-11 3.83672e-08
0.39 -3.8371e-08 8.06825e-11 -7.68644e-11 3.83672e-08
0.38 -3.83719e-08 7.74334e-11 -7.27589e-11 3.83672e-08
0.37 -3.8373e-08 7.42769e-11 -6.84863e-11 3.83672e-08
