Index    TIME    v(drain)mean    v(drain)meanPlus    v(drain)meanMinus    v(drain)stddev    v(drain)variance    
111   4.79758800e-07   2.78356100e-04   6.12148300e-04   -5.54361300e-05   3.33792200e-04   1.11417200e-07   
112   4.80132500e-07   2.61229800e-04   5.63746800e-04   -4.12872800e-05   3.02517000e-04   9.15165500e-08   
113   4.80506100e-07   2.45823500e-04   5.25404800e-04   -3.37577500e-05   2.79581300e-04   7.81657000e-08   
114   4.81253300e-07   2.18596300e-04   4.58320300e-04   -2.11277500e-05   2.39724000e-04   5.74676100e-08   
115   4.82747700e-07   1.75690700e-04   3.54429700e-04   -3.04822100e-06   1.78738900e-04   3.19476100e-08   
116   4.85736600e-07   1.20418300e-04   2.24908200e-04   1.59283700e-05   1.04489900e-04   1.09181400e-08   
117   4.91714400e-07   6.87906400e-05   1.11228600e-04   2.63526500e-05   4.24379800e-05   1.80098200e-09   
118   5.00000000e-07   4.24898500e-05   5.93450300e-05   2.56346800e-05   1.68551700e-05   2.84096900e-10   
119   5.01195600e-07   1.80819900e-07   3.23721800e-07   3.79180800e-08   1.42901800e-07   2.04209400e-14   
120   5.03586700e-07   9.14921100e-09   1.39030000e-08   4.39542100e-09   4.75379000e-09   2.25985200e-17   
121   5.08368900e-07   8.35659900e-09   1.24296200e-08   4.28357900e-09   4.07302000e-09   1.65894900e-17   
122   5.17933400e-07   9.14424300e-09   1.38932900e-08   4.39519500e-09   4.74904800e-09   2.25534600e-17   
123   5.37062300e-07   8.35810900e-09   1.24325800e-08   4.28364000e-09   4.07446900e-09   1.66012900e-17   
124   5.75320100e-07   9.14359600e-09   1.38919200e-08   4.39527200e-09   4.74832400e-09   2.25465800e-17   
125   6.50320100e-07   8.35838100e-09   1.24331000e-08   4.28365700e-09   4.07472400e-09   1.66033700e-17   
126   7.25320100e-07   9.14334000e-09   1.38913700e-08   4.39530800e-09   4.74803200e-09   2.25438100e-17   
127   7.50000000e-07   8.35889800e-09   1.24341200e-08   4.28367800e-09   4.07522000e-09   1.66074200e-17   
End of Xyce(TM) Simulation
