Index       TIME              V(A)        N(YNEURON!NEURON1_V0) N(YNEURON!NEURON1_V36)       V(B)       
150      7.50000000e-03   -6.43466664e-03   -8.15526061e-03   -5.91406165e-02   -5.91406165e-02
151      7.55000000e-03   -6.25949229e-03   -7.98008627e-03   -5.90509215e-02   -5.90509215e-02
152      7.60000000e-03   -6.08431794e-03   -7.80491192e-03   -5.89612264e-02   -5.89612264e-02
153      7.65000000e-03   -5.90914360e-03   -7.62973758e-03   -5.88715314e-02   -5.88715314e-02
154      7.70000000e-03   -5.73396925e-03   -7.45456323e-03   -5.87818364e-02   -5.87818364e-02
155      7.75000000e-03   -5.55879491e-03   -7.27938888e-03   -5.86921413e-02   -5.86921413e-02
156      7.80000000e-03   -5.38362056e-03   -7.10421454e-03   -5.86024463e-02   -5.86024463e-02
157      7.85000000e-03   -5.20844621e-03   -6.92904019e-03   -5.85127513e-02   -5.85127513e-02
158      7.90000000e-03   -5.03805804e-03   -6.75865202e-03   -5.84206421e-02   -5.84206421e-02
159      7.95000000e-03   -4.87584649e-03   -6.59644047e-03   -5.83244088e-02   -5.83244088e-02
160      8.00000000e-03   -4.71363494e-03   -6.43422892e-03   -5.82281755e-02   -5.82281755e-02
161      8.05000000e-03   -4.55142340e-03   -6.27201737e-03   -5.81319423e-02   -5.81319423e-02
162      8.10000000e-03   -4.38921185e-03   -6.10980582e-03   -5.80357090e-02   -5.80357090e-02
163      8.15000000e-03   -4.22700030e-03   -5.94759428e-03   -5.79394757e-02   -5.79394757e-02
164      8.20000000e-03   -4.06478875e-03   -5.78538273e-03   -5.78432424e-02   -5.78432424e-02
165      8.25000000e-03   -3.90257720e-03   -5.62317118e-03   -5.77470091e-02   -5.77470091e-02
166      8.30000000e-03   -3.74036565e-03   -5.46095963e-03   -5.76507758e-02   -5.76507758e-02
167      8.35000000e-03   -3.57815410e-03   -5.29874808e-03   -5.75545425e-02   -5.75545425e-02
168      8.40000000e-03   -3.41594255e-03   -5.13653653e-03   -5.74583092e-02   -5.74583092e-02
169      8.45000000e-03   -3.25373100e-03   -4.97432498e-03   -5.73620759e-02   -5.73620759e-02
170      8.50000000e-03   -3.09151946e-03   -4.81211344e-03   -5.72658426e-02   -5.72658426e-02
171      8.55000000e-03   -2.92930791e-03   -4.64990189e-03   -5.71696093e-02   -5.71696093e-02
172      8.60000000e-03   -2.76709636e-03   -4.48769034e-03   -5.70733760e-02   -5.70733760e-02
173      8.65000000e-03   -2.60488481e-03   -4.32547879e-03   -5.69771427e-02   -5.69771427e-02
174      8.70000000e-03   -2.44267326e-03   -4.16326724e-03   -5.68809094e-02   -5.68809094e-02
175      8.75000000e-03   -2.28046171e-03   -4.00105569e-03   -5.67846761e-02   -5.67846761e-02
176      8.80000000e-03   -2.11825016e-03   -3.83884415e-03   -5.66884428e-02   -5.66884428e-02
177      8.85000000e-03   -1.96034024e-03   -3.68093422e-03   -5.65903981e-02   -5.65903981e-02
178      8.90000000e-03   -1.80872063e-03   -3.52931461e-03   -5.64897047e-02   -5.64897047e-02
179      8.95000000e-03   -1.65710101e-03   -3.37769499e-03   -5.63890112e-02   -5.63890112e-02
180      9.00000000e-03   -1.50548139e-03   -3.22607538e-03   -5.62883178e-02   -5.62883178e-02
181      9.05000000e-03   -1.35386178e-03   -3.07445576e-03   -5.61876244e-02   -5.61876244e-02
182      9.10000000e-03   -1.20224216e-03   -2.92283614e-03   -5.60869309e-02   -5.60869309e-02
183      9.15000000e-03   -1.05062255e-03   -2.77121653e-03   -5.59862375e-02   -5.59862375e-02
184      9.20000000e-03   -8.99002932e-04   -2.61959691e-03   -5.58855441e-02   -5.58855441e-02
185      9.25000000e-03   -7.47383316e-04   -2.46797730e-03   -5.57848506e-02   -5.57848506e-02
186      9.30000000e-03   -5.95763700e-04   -2.31635768e-03   -5.56841572e-02   -5.56841572e-02
187      9.35000000e-03   -4.44144084e-04   -2.16473806e-03   -5.55834638e-02   -5.55834638e-02
188      9.40000000e-03   -2.92524469e-04   -2.01311845e-03   -5.54827703e-02   -5.54827703e-02
189      9.45000000e-03   -1.40904853e-04   -1.86149883e-03   -5.53820769e-02   -5.53820769e-02
190      9.50000000e-03    1.07147627e-05   -1.70987922e-03   -5.52813835e-02   -5.52813835e-02
191      9.55000000e-03    1.62334378e-04   -1.55825960e-03   -5.51806900e-02   -5.51806900e-02
192      9.60000000e-03    3.13953994e-04   -1.40663998e-03   -5.50799966e-02   -5.50799966e-02
193      9.65000000e-03    4.65573610e-04   -1.25502037e-03   -5.49793031e-02   -5.49793031e-02
194      9.70000000e-03    6.17193226e-04   -1.10340075e-03   -5.48786097e-02   -5.48786097e-02
195      9.75000000e-03    7.68812841e-04   -9.51781135e-04   -5.47779163e-02   -5.47779163e-02
196      9.80000000e-03    9.16543550e-04   -8.04050426e-04   -5.46759646e-02   -5.46759646e-02
197      9.85000000e-03    1.05938503e-03   -6.61208943e-04   -5.45724311e-02   -5.45724311e-02
198      9.90000000e-03    1.20222652e-03   -5.18367460e-04   -5.44688976e-02   -5.44688976e-02
199      9.95000000e-03    1.34506800e-03   -3.75525977e-04   -5.43653642e-02   -5.43653642e-02
200      1.00000000e-02    1.48790948e-03   -2.32684494e-04   -5.42618307e-02   -5.42618307e-02
201      1.00500000e-02    1.63075097e-03   -8.98430106e-05   -5.41582972e-02   -5.41582972e-02
202      1.01000000e-02    1.77359245e-03    5.29984725e-05   -5.40547637e-02   -5.40547637e-02
203      1.01500000e-02    1.91643393e-03    1.95839956e-04   -5.39512302e-02   -5.39512302e-02
204      1.02000000e-02    2.05927542e-03    3.38681439e-04   -5.38476967e-02   -5.38476967e-02
205      1.02500000e-02    2.20211690e-03    4.81522922e-04   -5.37441632e-02   -5.37441632e-02
206      1.03000000e-02    2.34495838e-03    6.24364405e-04   -5.36406297e-02   -5.36406297e-02
207      1.03500000e-02    2.48779987e-03    7.67205888e-04   -5.35370962e-02   -5.35370962e-02
208      1.04000000e-02    2.63064135e-03    9.10047371e-04   -5.34335627e-02   -5.34335627e-02
209      1.04500000e-02    2.77348283e-03    1.05288885e-03   -5.33300293e-02   -5.33300293e-02
210      1.05000000e-02    2.91632432e-03    1.19573034e-03   -5.32264958e-02   -5.32264958e-02
211      1.05500000e-02    3.05916580e-03    1.33857182e-03   -5.31229623e-02   -5.31229623e-02
212      1.06000000e-02    3.20200728e-03    1.48141330e-03   -5.30194288e-02   -5.30194288e-02
213      1.06500000e-02    3.34484877e-03    1.62425479e-03   -5.29158953e-02   -5.29158953e-02
214      1.07000000e-02    3.48769025e-03    1.76709627e-03   -5.28123618e-02   -5.28123618e-02
215      1.07500000e-02    3.62699260e-03    1.90639861e-03   -5.27080637e-02   -5.27080637e-02
