Index        TIME         {V(VOUT)+2.0}     {V(IN)+2.0}      {V(1)+2.0}
103     1.50257151e-06   1.69391661e+00   5.15203292e+00   4.42848773e+00   
104     1.50263110e-06   1.70328222e+00   5.09568779e+00   4.36890073e+00   
105     1.50269069e-06   1.71532815e+00   5.03984395e+00   4.30931372e+00   
106     1.50280986e-06   1.74519704e+00   4.92908405e+00   4.19013972e+00   
107     1.50289037e-06   1.77218276e+00   4.85520029e+00   4.10962849e+00   
108     1.50296283e-06   1.79954049e+00   4.78901055e+00   4.03716838e+00   
109     1.50303529e-06   1.82983278e+00   4.72306148e+00   3.96470827e+00   
110     1.50310775e-06   1.86296608e+00   4.65730628e+00   3.89224817e+00   
111     1.50325267e-06   1.93593455e+00   4.52621861e+00   3.74732795e+00   
112     1.50329648e-06   1.96042805e+00   4.48672971e+00   3.70352328e+00   
113     1.50329921e-06   1.96196542e+00   4.48426360e+00   3.70078549e+00   
114     1.50330469e-06   1.96505673e+00   4.47933061e+00   3.69530991e+00   
115     1.50331017e-06   1.96816429e+00   4.47439837e+00   3.68983433e+00   
116     1.50332112e-06   1.97444292e+00   4.46453661e+00   3.67888316e+00   
117     1.50333207e-06   1.98078667e+00   4.45467833e+00   3.66793199e+00   
118     1.50335397e-06   1.99372878e+00   4.43497276e+00   3.64602966e+00   
119     1.50335890e-06   1.99665613e+00   4.43054084e+00   3.64110163e+00   
120     1.50336875e-06   2.00256337e+00   4.42167859e+00   3.63124558e+00   
121     1.50337122e-06   2.00404394e+00   4.41946352e+00   3.62878157e+00   
122     1.50337153e-06   2.00422908e+00   4.41918666e+00   3.62847357e+00   
123     1.50337168e-06   2.00432166e+00   4.41904823e+00   3.62831957e+00   
124     1.50337199e-06   2.00450689e+00   4.41877135e+00   3.62801156e+00   
125     1.50337200e-06   2.00451267e+00   4.41876270e+00   3.62800194e+00   
126     1.50337200e-06   2.00451656e+00   4.41875587e+00   3.62799552e+00   
127     1.50337201e-06   2.00451693e+00   4.41875427e+00   3.62799491e+00   
128     1.50337201e-06   2.00451714e+00   4.41875337e+00   3.62799457e+00   
129     1.50337201e-06   2.00451732e+00   4.41875257e+00   3.62799426e+00   
130     1.50337201e-06   2.00451770e+00   4.41875096e+00   3.62799365e+00   
131     1.50337201e-06   2.00451845e+00   4.41874774e+00   3.62799243e+00   
132     1.50337201e-06   2.00451996e+00   4.41874133e+00   3.62798999e+00   
133     1.50337201e-06   2.00452306e+00   4.41872854e+00   3.62798510e+00   
134     1.50337202e-06   2.00452952e+00   4.41870317e+00   3.62797532e+00   
