Index        V(2)            I(VMON)          V(2,3)           V(2,1)
357     3.57000000e+00   3.97621165e-04   5.87841260e-01   1.78500000e+00   
358     3.58000000e+00   3.98925642e-04   5.88057688e-01   1.79000000e+00   
359     3.59000000e+00   4.00229709e-04   5.88277182e-01   1.79500000e+00   
360     3.60000000e+00   4.01533375e-04   5.88499688e-01   1.80000000e+00   
361     3.61000000e+00   4.02836646e-04   5.88725156e-01   1.80500000e+00   
362     3.62000000e+00   4.04139529e-04   5.88953534e-01   1.81000000e+00   
363     3.63000000e+00   4.05442030e-04   5.89184773e-01   1.81500000e+00   
364     3.64000000e+00   4.06744157e-04   5.89418824e-01   1.82000000e+00   
365     3.65000000e+00   4.08045915e-04   5.89655640e-01   1.82500000e+00   
366     3.66000000e+00   4.09347310e-04   5.89895174e-01   1.83000000e+00   
367     3.67000000e+00   4.10648349e-04   5.90137381e-01   1.83500000e+00   
368     3.68000000e+00   4.11949038e-04   5.90382214e-01   1.84000000e+00   
369     3.69000000e+00   4.13249382e-04   5.90629632e-01   1.84500000e+00   
370     3.70000000e+00   4.14549388e-04   5.90879590e-01   1.85000000e+00   
371     3.71000000e+00   4.15849061e-04   5.91132046e-01   1.85500000e+00   
372     3.72000000e+00   4.17148406e-04   5.91386959e-01   1.86000000e+00   
373     3.73000000e+00   4.18447428e-04   5.91644288e-01   1.86500000e+00   
374     3.74000000e+00   4.19746134e-04   5.91903993e-01   1.87000000e+00   
375     3.75000000e+00   4.21044529e-04   5.92166035e-01   1.87500000e+00   
376     3.76000000e+00   4.22342616e-04   5.92430377e-01   1.88000000e+00   
377     3.77000000e+00   4.23640403e-04   5.92696979e-01   1.88500000e+00   
378     3.78000000e+00   4.24937893e-04   5.92965806e-01   1.89000000e+00   
379     3.79000000e+00   4.26235091e-04   5.93236821e-01   1.89500000e+00   
380     3.80000000e+00   4.27532002e-04   5.93509989e-01   1.90000000e+00   
381     3.81000000e+00   4.28828630e-04   5.93785274e-01   1.90500000e+00   
382     3.82000000e+00   4.30124981e-04   5.94062643e-01   1.91000000e+00   
383     3.83000000e+00   4.31421058e-04   5.94342061e-01   1.91500000e+00   
384     3.84000000e+00   4.32716867e-04   5.94623497e-01   1.92000000e+00   
385     3.85000000e+00   4.34012411e-04   5.94906917e-01   1.92500000e+00   
386     3.86000000e+00   4.35307695e-04   5.95192290e-01   1.93000000e+00   
387     3.87000000e+00   4.36602722e-04   5.95479584e-01   1.93500000e+00   
388     3.88000000e+00   4.37897497e-04   5.95768770e-01   1.94000000e+00   
389     3.89000000e+00   4.39192025e-04   5.96059816e-01   1.94500000e+00   
390     3.90000000e+00   4.40486308e-04   5.96352693e-01   1.95000000e+00   
391     3.91000000e+00   4.41780350e-04   5.96647373e-01   1.95500000e+00   
392     3.92000000e+00   4.43074156e-04   5.96943827e-01   1.96000000e+00   
393     3.93000000e+00   4.44367730e-04   5.97242026e-01   1.96500000e+00   
394     3.94000000e+00   4.45661074e-04   5.97541944e-01   1.97000000e+00   
395     3.95000000e+00   4.46954193e-04   5.97843553e-01   1.97500000e+00   
396     3.96000000e+00   4.48247090e-04   5.98146826e-01   1.98000000e+00   
397     3.97000000e+00   4.49539768e-04   5.98451739e-01   1.98500000e+00   
398     3.98000000e+00   4.50832231e-04   5.98758264e-01   1.99000000e+00   
399     3.99000000e+00   4.52124483e-04   5.99066377e-01   1.99500000e+00   
400     4.00000000e+00   4.53416526e-04   5.99376054e-01   2.00000000e+00   
401     4.01000000e+00   4.54708364e-04   5.99687269e-01   2.00500000e+00   
402     4.02000000e+00   4.56000000e-04   5.99999999e-01   2.01000000e+00   
403     4.03000000e+00   4.57291437e-04   6.00314220e-01   2.01500000e+00   
404     4.04000000e+00   4.58582679e-04   6.00629910e-01   2.02000000e+00   
405     4.05000000e+00   4.59873727e-04   6.00947045e-01   2.02500000e+00   
406     4.06000000e+00   4.61164586e-04   6.01265604e-01   2.03000000e+00   
407     4.07000000e+00   4.62455258e-04   6.01585564e-01   2.03500000e+00   
408     4.08000000e+00   4.63745746e-04   6.01906904e-01   2.04000000e+00   
409     4.09000000e+00   4.65036053e-04   6.02229602e-01   2.04500000e+00   
410     4.10000000e+00   4.66326182e-04   6.02553638e-01   2.05000000e+00   
411     4.11000000e+00   4.67616134e-04   6.02878992e-01   2.05500000e+00   
412     4.12000000e+00   4.68905914e-04   6.03205642e-01   2.06000000e+00   
413     4.13000000e+00   4.70195524e-04   6.03533569e-01   2.06500000e+00   
414     4.14000000e+00   4.71484966e-04   6.03862754e-01   2.07000000e+00   
415     4.15000000e+00   4.72774243e-04   6.04193178e-01   2.07500000e+00   
416     4.16000000e+00   4.74063357e-04   6.04524821e-01   2.08000000e+00   
417     4.17000000e+00   4.75352311e-04   6.04857665e-01   2.08500000e+00   
418     4.18000000e+00   4.76641108e-04   6.05191692e-01   2.09000000e+00   
419     4.19000000e+00   4.77929749e-04   6.05526883e-01   2.09500000e+00   
420     4.20000000e+00   4.79218237e-04   6.05863222e-01   2.10000000e+00   
421     4.21000000e+00   4.80506575e-04   6.06200690e-01   2.10500000e+00   
422     4.22000000e+00   4.81794764e-04   6.06539270e-01   2.11000000e+00   
423     4.23000000e+00   4.83082807e-04   6.06878947e-01   2.11500000e+00   
424     4.24000000e+00   4.84370706e-04   6.07219702e-01   2.12000000e+00   
425     4.25000000e+00   4.85658464e-04   6.07561520e-01   2.12500000e+00   
426     4.26000000e+00   4.86946082e-04   6.07904385e-01   2.13000000e+00   
427     4.27000000e+00   4.88233563e-04   6.08248280e-01   2.13500000e+00   
428     4.28000000e+00   4.89520908e-04   6.08593191e-01   2.14000000e+00   
429     4.29000000e+00   4.90808120e-04   6.08939102e-01   2.14500000e+00   
430     4.30000000e+00   4.92095200e-04   6.09285997e-01   2.15000000e+00   
431     4.31000000e+00   4.93382152e-04   6.09633863e-01   2.15500000e+00   
432     4.32000000e+00   4.94668976e-04   6.09982684e-01   2.16000000e+00   
433     4.33000000e+00   4.95955674e-04   6.10332445e-01   2.16500000e+00   
434     4.34000000e+00   4.97242249e-04   6.10683134e-01   2.17000000e+00   
435     4.35000000e+00   4.98528702e-04   6.11034736e-01   2.17500000e+00   
436     4.36000000e+00   4.99815035e-04   6.11387236e-01   2.18000000e+00   
437     4.37000000e+00   5.01101250e-04   6.11740622e-01   2.18500000e+00   
438     4.38000000e+00   5.02387349e-04   6.12094881e-01   2.19000000e+00   
439     4.39000000e+00   5.03673334e-04   6.12449998e-01   2.19500000e+00   
440     4.40000000e+00   5.04959205e-04   6.12805962e-01   2.20000000e+00   
441     4.41000000e+00   5.06244966e-04   6.13162758e-01   2.20500000e+00   
442     4.42000000e+00   5.07530616e-04   6.13520376e-01   2.21000000e+00   
443     4.43000000e+00   5.08816160e-04   6.13878803e-01   2.21500000e+00   
444     4.44000000e+00   5.10101597e-04   6.14238025e-01   2.22000000e+00   
445     4.45000000e+00   5.11386929e-04   6.14598032e-01   2.22500000e+00   
446     4.46000000e+00   5.12672158e-04   6.14958812e-01   2.23000000e+00   
447     4.47000000e+00   5.13957286e-04   6.15320353e-01   2.23500000e+00   
448     4.48000000e+00   5.15242314e-04   6.15682642e-01   2.24000000e+00   
449     4.49000000e+00   5.16527244e-04   6.16045670e-01   2.24500000e+00   
450     4.50000000e+00   5.17812077e-04   6.16409426e-01   2.25000000e+00   
451     4.51000000e+00   5.19096814e-04   6.16773897e-01   2.25500000e+00   
452     4.52000000e+00   5.20381457e-04   6.17139073e-01   2.26000000e+00   
453     4.53000000e+00   5.21666008e-04   6.17504944e-01   2.26500000e+00   
454     4.54000000e+00   5.22950467e-04   6.17871499e-01   2.27000000e+00   
455     4.55000000e+00   5.24234836e-04   6.18238727e-01   2.27500000e+00   
456     4.56000000e+00   5.25519117e-04   6.18606619e-01   2.28000000e+00   
457     4.57000000e+00   5.26803311e-04   6.18975165e-01   2.28500000e+00   
458     4.58000000e+00   5.28087419e-04   6.19344354e-01   2.29000000e+00   
459     4.59000000e+00   5.29371443e-04   6.19714177e-01   2.29500000e+00   
460     4.60000000e+00   5.30655383e-04   6.20084624e-01   2.30000000e+00   
461     4.61000000e+00   5.31939242e-04   6.20455686e-01   2.30500000e+00   
462     4.62000000e+00   5.33223020e-04   6.20827353e-01   2.31000000e+00   
463     4.63000000e+00   5.34506718e-04   6.21199617e-01   2.31500000e+00   
464     4.64000000e+00   5.35790338e-04   6.21572467e-01   2.32000000e+00   
465     4.65000000e+00   5.37073881e-04   6.21945896e-01   2.32500000e+00   
466     4.66000000e+00   5.38357348e-04   6.22319893e-01   2.33000000e+00   
467     4.67000000e+00   5.39640740e-04   6.22694451e-01   2.33500000e+00   
468     4.68000000e+00   5.40924058e-04   6.23069561e-01   2.34000000e+00   
469     4.69000000e+00   5.42207305e-04   6.23445215e-01   2.34500000e+00   
470     4.70000000e+00   5.43490480e-04   6.23821404e-01   2.35000000e+00   
471     4.71000000e+00   5.44773584e-04   6.24198119e-01   2.35500000e+00   
472     4.72000000e+00   5.46056620e-04   6.24575353e-01   2.36000000e+00   
473     4.73000000e+00   5.47339587e-04   6.24953098e-01   2.36500000e+00   
474     4.74000000e+00   5.48622487e-04   6.25331346e-01   2.37000000e+00   
475     4.75000000e+00   5.49905321e-04   6.25710089e-01   2.37500000e+00   
476     4.76000000e+00   5.51188091e-04   6.26089319e-01   2.38000000e+00   
477     4.77000000e+00   5.52470796e-04   6.26469029e-01   2.38500000e+00   
478     4.78000000e+00   5.53753438e-04   6.26849212e-01   2.39000000e+00   
479     4.79000000e+00   5.55036019e-04   6.27229859e-01   2.39500000e+00   
480     4.80000000e+00   5.56318538e-04   6.27610964e-01   2.40000000e+00   
481     4.81000000e+00   5.57600997e-04   6.27992519e-01   2.40500000e+00   
482     4.82000000e+00   5.58883398e-04   6.28374518e-01   2.41000000e+00   
483     4.83000000e+00   5.60165740e-04   6.28756953e-01   2.41500000e+00   
484     4.84000000e+00   5.61448024e-04   6.29139818e-01   2.42000000e+00   
485     4.85000000e+00   5.62730253e-04   6.29523105e-01   2.42500000e+00   
486     4.86000000e+00   5.64012425e-04   6.29906809e-01   2.43000000e+00   
487     4.87000000e+00   5.65294544e-04   6.30290922e-01   2.43500000e+00   
488     4.88000000e+00   5.66576608e-04   6.30675438e-01   2.44000000e+00   
489     4.89000000e+00   5.67858620e-04   6.31060350e-01   2.44500000e+00   
490     4.90000000e+00   5.69140580e-04   6.31445652e-01   2.45000000e+00   
491     4.91000000e+00   5.70422488e-04   6.31831338e-01   2.45500000e+00   
492     4.92000000e+00   5.71704346e-04   6.32217402e-01   2.46000000e+00   
493     4.93000000e+00   5.72986155e-04   6.32603838e-01   2.46500000e+00   
494     4.94000000e+00   5.74267915e-04   6.32990638e-01   2.47000000e+00   
495     4.95000000e+00   5.75549627e-04   6.33377799e-01   2.47500000e+00   
496     4.96000000e+00   5.76831292e-04   6.33765313e-01   2.48000000e+00   
497     4.97000000e+00   5.78112910e-04   6.34153175e-01   2.48500000e+00   
498     4.98000000e+00   5.79394483e-04   6.34541379e-01   2.49000000e+00   
499     4.99000000e+00   5.80676011e-04   6.34929920e-01   2.49500000e+00   
500     5.00000000e+00   5.81957494e-04   6.35318791e-01   2.50000000e+00   
End of Xyce(TM) Simulation
