TIME,V(1),V(2),V(3)
6.71088630e-03,2.52919491e+01,1.40460872e+01,1.68463124e+01
1.00663295e-02,3.79238713e+01,2.10519663e+01,2.52320277e+01
1.34217727e-02,5.05389375e+01,2.80372753e+01,3.35728884e+01
1.67772159e-02,6.31315405e+01,3.49952025e+01,4.18540670e+01
2.01326591e-02,7.56960834e+01,4.19189752e+01,5.00608422e+01
2.34881023e-02,8.82269816e+01,4.88018689e+01,5.81786249e+01
2.68435455e-02,1.00718666e+02,5.56372166e+01,6.61929843e+01
3.01989887e-02,1.13165583e+02,6.24184187e+01,7.40896733e+01
3.35544319e-02,1.25562201e+02,6.91389518e+01,8.18546541e+01
4.02653183e-02,1.50182527e+02,8.23723540e+01,9.69345349e+01
4.69762047e-02,1.74535875e+02,9.52871068e+01,1.11325445e+02
5.36870911e-02,1.98578953e+02,1.07834685e+02,1.24925100e+02
6.03979775e-02,2.22269020e+02,1.19968620e+02,1.37636840e+02
6.25000000e-02,2.29610059e+02,1.23677139e+02,1.41421356e+02
6.27732396e-02,2.30561399e+02,1.24155836e+02,1.41906110e+02
6.30023260e-02,2.31358486e+02,1.24556576e+02,1.42311243e+02
6.34604987e-02,2.32951221e+02,1.25356396e+02,1.43117967e+02
6.43768442e-02,2.36130886e+02,1.26949347e+02,1.44717155e+02
6.62095351e-02,2.42466627e+02,1.30108127e+02,1.47857755e+02
6.98749170e-02,2.55040823e+02,1.36314299e+02,1.53902073e+02
7.35402989e-02,2.67479754e+02,1.42366562e+02,1.59619933e+02
7.72056808e-02,2.79776820e+02,1.48258676e+02,1.64999209e+02
8.08710627e-02,2.91925502e+02,1.53984663e+02,1.70028488e+02
8.45364446e-02,3.03919355e+02,1.59538819e+02,1.74697102e+02
9.18672083e-02,3.27417217e+02,1.70110243e+02,1.82913513e+02
9.91979721e-02,3.50220561e+02,1.79933108e+02,1.89578763e+02
1.06528736e-01,3.72281018e+02,1.88972449e+02,1.94636328e+02
1.13859500e-01,3.93551793e+02,1.97198371e+02,1.98043320e+02
1.21190263e-01,4.13987766e+02,2.04586204e+02,1.99770846e+02
1.25000000e-01,4.24264069e+02,2.08088023e+02,2.00000000e+02
1.25449842e-01,4.25461529e+02,2.08486111e+02,1.99996805e+02
1.25853774e-01,4.26533885e+02,2.08840791e+02,1.99988489e+02
1.26661640e-01,4.28670348e+02,2.09542250e+02,1.99956401e+02
1.28277370e-01,4.32910085e+02,2.10913497e+02,1.99830406e+02
1.31508832e-01,4.41255278e+02,2.13528884e+02,1.99331373e+02
1.37971754e-01,4.57396599e+02,2.18248440e+02,1.97348722e+02
1.44434677e-01,4.72783781e+02,2.22282955e+02,1.94065083e+02
1.50897600e-01,4.87391456e+02,2.25631186e+02,1.89502102e+02
1.57360522e-01,5.01195538e+02,2.28295133e+02,1.83689861e+02
1.63823445e-01,5.14173268e+02,2.30279982e+02,1.76666677e+02
1.70286368e-01,5.26303249e+02,2.31594032e+02,1.68478847e+02
1.76749290e-01,5.37565481e+02,2.32248610e+02,1.59180349e+02
1.83212213e-01,5.47941395e+02,2.32257959e+02,1.48832482e+02
1.87500000e-01,5.54327720e+02,2.31916359e+02,1.41421356e+02
1.88146292e-01,5.55255541e+02,2.31841229e+02,1.40268144e+02
1.88644080e-01,5.55963927e+02,2.31779178e+02,1.39373606e+02
1.89639655e-01,5.57364377e+02,2.31644193e+02,1.37568202e+02
1.91630806e-01,5.60099793e+02,2.31330960e+02,1.33893086e+02
1.95613107e-01,5.65307215e+02,2.30533651e+02,1.26293738e+02
2.03577709e-01,5.74657298e+02,2.28274507e+02,1.10166224e+02
2.11542311e-01,5.82568563e+02,2.25168211e+02,9.29360688e+01
2.19506913e-01,5.89021200e+02,2.21265643e+02,7.47757283e+01
2.27471514e-01,5.93999054e+02,2.16622007e+02,5.58669669e+01
2.35436116e-01,5.97489661e+02,2.11296234e+02,3.63990399e+01
2.43400718e-01,5.99484282e+02,2.05350361e+02,1.65667995e+01
2.50000000e-01,6.00000000e+02,2.00000000e+02,2.44925608e-14
2.50796460e-01,5.99992487e+02,1.99330266e+02,-2.00168938e+00
2.51370525e-01,5.99977754e+02,1.98844473e+02,-3.44433522e+00
2.52518655e-01,5.99924871e+02,1.97865286e+02,-6.32901409e+00
2.54814915e-01,5.99725448e+02,1.95877209e+02,-1.20938193e+01
2.59407435e-01,5.98952155e+02,1.91787908e+02,-2.35884308e+01
2.68592475e-01,5.95910583e+02,1.83202189e+02,-4.63040170e+01
