Index        TIME             V(2A)        {V(2A)/V(2B)}    {I(R1)/I(R2)}        V(2C)        {V(2C)/V(2D)}    {I(R3)/I(R4)}
93      5.01261239e-05   -7.78865675e-01  1.00000000e+00   1.00000000e+00   -7.34465644e-01  1.00000000e+00   1.00000000e+00   
94      5.01278161e-05   -8.00326974e-01  1.00000000e+00   1.00000000e+00   -7.55891821e-01  1.00000000e+00   1.00000000e+00   
95      5.01295084e-05   -8.19810782e-01  1.00000000e+00   1.00000000e+00   -7.75727373e-01  1.00000000e+00   1.00000000e+00   
96      5.01312006e-05   -8.37479063e-01  1.00000000e+00   1.00000000e+00   -7.94067686e-01  1.00000000e+00   1.00000000e+00   
97      5.01328928e-05   -8.53484511e-01  1.00000000e+00   1.00000000e+00   -8.11006315e-01  1.00000000e+00   1.00000000e+00   
98      5.01345851e-05   -8.67970218e-01  1.00000000e+00   1.00000000e+00   -8.26634236e-01  1.00000000e+00   1.00000000e+00   
99      5.01362773e-05   -8.81069596e-01  1.00000000e+00   1.00000000e+00   -8.41039265e-01  1.00000000e+00   1.00000000e+00   
100     5.01379695e-05   -8.92906481e-01  1.00000000e+00   1.00000000e+00   -8.54305648e-01  1.00000000e+00   1.00000000e+00   
101     5.01396618e-05   -9.03595380e-01  1.00000000e+00   1.00000000e+00   -8.66513765e-01  1.00000000e+00   1.00000000e+00   
102     5.01413540e-05   -9.13241813e-01  1.00000000e+00   1.00000000e+00   -8.77739950e-01  1.00000000e+00   1.00000000e+00   
103     5.01430462e-05   -9.21942740e-01  1.00000000e+00   1.00000000e+00   -8.88056396e-01  1.00000000e+00   1.00000000e+00   
104     5.01447385e-05   -9.29787022e-01  1.00000000e+00   1.00000000e+00   -8.97531131e-01  1.00000000e+00   1.00000000e+00   
105     5.01464307e-05   -9.36855913e-01  1.00000000e+00   1.00000000e+00   -9.06228058e-01  1.00000000e+00   1.00000000e+00   
106     5.01481229e-05   -9.43223560e-01  1.00000000e+00   1.00000000e+00   -9.14207029e-01  1.00000000e+00   1.00000000e+00   
107     5.01498152e-05   -9.48957508e-01  1.00000000e+00   1.00000000e+00   -9.21523964e-01  1.00000000e+00   1.00000000e+00   
108     5.01515074e-05   -9.54119190e-01  1.00000000e+00   1.00000000e+00   -9.28230989e-01  1.00000000e+00   1.00000000e+00   
109     5.01531997e-05   -9.58764400e-01  1.00000000e+00   1.00000000e+00   -9.34376599e-01  1.00000000e+00   1.00000000e+00   
110     5.01548919e-05   -9.62943750e-01  1.00000000e+00   1.00000000e+00   -9.40005825e-01  1.00000000e+00   1.00000000e+00   
111     5.01565841e-05   -9.66703098e-01  1.00000000e+00   1.00000000e+00   -9.45160415e-01  1.00000000e+00   1.00000000e+00   
112     5.01582764e-05   -9.70083958e-01  1.00000000e+00   1.00000000e+00   -9.49879017e-01  1.00000000e+00   1.00000000e+00   
113     5.01599686e-05   -9.73123874e-01  1.00000000e+00   1.00000000e+00   -9.54197362e-01  1.00000000e+00   1.00000000e+00   
114     5.01616608e-05   -9.75856775e-01  1.00000000e+00   1.00000000e+00   -9.58148446e-01  1.00000000e+00   1.00000000e+00   
115     5.01633531e-05   -9.78313303e-01  1.00000000e+00   1.00000000e+00   -9.61762703e-01  1.00000000e+00   1.00000000e+00   
116     5.01650453e-05   -9.80521111e-01  1.00000000e+00   1.00000000e+00   -9.65068180e-01  1.00000000e+00   1.00000000e+00   
117     5.01667375e-05   -9.82505145e-01  1.00000000e+00   1.00000000e+00   -9.68090700e-01  1.00000000e+00   1.00000000e+00   
118     5.01684298e-05   -9.84287892e-01  1.00000000e+00   1.00000000e+00   -9.70854021e-01  1.00000000e+00   1.00000000e+00   
119     5.01701220e-05   -9.85889620e-01  1.00000000e+00   1.00000000e+00   -9.73379981e-01  1.00000000e+00   1.00000000e+00   
120     5.01718142e-05   -9.87328583e-01  1.00000000e+00   1.00000000e+00   -9.75688646e-01  1.00000000e+00   1.00000000e+00   
121     5.01735065e-05   -9.88621221e-01  1.00000000e+00   1.00000000e+00   -9.77798439e-01  1.00000000e+00   1.00000000e+00   
122     5.01751987e-05   -9.89782332e-01  1.00000000e+00   1.00000000e+00   -9.79726266e-01  1.00000000e+00   1.00000000e+00   
123     5.01768910e-05   -9.90825233e-01  1.00000000e+00   1.00000000e+00   -9.81487632e-01  1.00000000e+00   1.00000000e+00   
124     5.01785832e-05   -9.91761907e-01  1.00000000e+00   1.00000000e+00   -9.83096755e-01  1.00000000e+00   1.00000000e+00   
125     5.01802754e-05   -9.92603131e-01  1.00000000e+00   1.00000000e+00   -9.84566663e-01  1.00000000e+00   1.00000000e+00   
126     5.01819677e-05   -9.93358596e-01  1.00000000e+00   1.00000000e+00   -9.85909291e-01  1.00000000e+00   1.00000000e+00   
127     5.01836599e-05   -9.94037019e-01  1.00000000e+00   1.00000000e+00   -9.87135571e-01  1.00000000e+00   1.00000000e+00   
128     5.01853521e-05   -9.94646233e-01  1.00000000e+00   1.00000000e+00   -9.88255508e-01  1.00000000e+00   1.00000000e+00   
129     5.01870444e-05   -9.95193281e-01  1.00000000e+00   1.00000000e+00   -9.89278262e-01  1.00000000e+00   1.00000000e+00   
130     5.01887366e-05   -9.95684492e-01  1.00000000e+00   1.00000000e+00   -9.90212213e-01  1.00000000e+00   1.00000000e+00   
131     5.01904288e-05   -9.96125553e-01  1.00000000e+00   1.00000000e+00   -9.91065027e-01  1.00000000e+00   1.00000000e+00   
132     5.01921211e-05   -9.96521575e-01  1.00000000e+00   1.00000000e+00   -9.91843718e-01  1.00000000e+00   1.00000000e+00   
133     5.01938133e-05   -9.96877150e-01  1.00000000e+00   1.00000000e+00   -9.92554698e-01  1.00000000e+00   1.00000000e+00   
134     5.01955055e-05   -9.97196402e-01  1.00000000e+00   1.00000000e+00   -9.93203827e-01  1.00000000e+00   1.00000000e+00   
135     5.01971978e-05   -9.97483038e-01  1.00000000e+00   1.00000000e+00   -9.93796467e-01  1.00000000e+00   1.00000000e+00   
136     5.01988900e-05   -9.97740384e-01  1.00000000e+00   1.00000000e+00   -9.94337516e-01  1.00000000e+00   1.00000000e+00   
137     5.02005822e-05   -9.97971432e-01  1.00000000e+00   1.00000000e+00   -9.94831449e-01  1.00000000e+00   1.00000000e+00   
138     5.02022745e-05   -9.98178866e-01  1.00000000e+00   1.00000000e+00   -9.95282358e-01  1.00000000e+00   1.00000000e+00   
139     5.02039667e-05   -9.98365096e-01  1.00000000e+00   1.00000000e+00   -9.95693980e-01  1.00000000e+00   1.00000000e+00   
140     5.02056590e-05   -9.98532290e-01  1.00000000e+00   1.00000000e+00   -9.96069730e-01  1.00000000e+00   1.00000000e+00   
141     5.02073512e-05   -9.98682391e-01  1.00000000e+00   1.00000000e+00   -9.96412726e-01  1.00000000e+00   1.00000000e+00   
142     5.02107357e-05   -9.98926898e-01  1.00000000e+00   1.00000000e+00   -9.96988665e-01  1.00000000e+00   1.00000000e+00   
143     5.02141201e-05   -9.99126042e-01  1.00000000e+00   1.00000000e+00   -9.97472204e-01  1.00000000e+00   1.00000000e+00   
144     5.02175046e-05   -9.99288235e-01  1.00000000e+00   1.00000000e+00   -9.97878147e-01  1.00000000e+00   1.00000000e+00   
145     5.02208891e-05   -9.99420332e-01  1.00000000e+00   1.00000000e+00   -9.98218933e-01  1.00000000e+00   1.00000000e+00   
146     5.02242735e-05   -9.99527915e-01  1.00000000e+00   1.00000000e+00   -9.98505009e-01  1.00000000e+00   1.00000000e+00   
147     5.02276580e-05   -9.99615534e-01  1.00000000e+00   1.00000000e+00   -9.98745152e-01  1.00000000e+00   1.00000000e+00   
148     5.02310425e-05   -9.99686892e-01  1.00000000e+00   1.00000000e+00   -9.98946732e-01  1.00000000e+00   1.00000000e+00   
149     5.02344270e-05   -9.99745006e-01  1.00000000e+00   1.00000000e+00   -9.99115939e-01  1.00000000e+00   1.00000000e+00   
150     5.02378114e-05   -9.99792335e-01  1.00000000e+00   1.00000000e+00   -9.99257968e-01  1.00000000e+00   1.00000000e+00   
151     5.02411959e-05   -9.99830879e-01  1.00000000e+00   1.00000000e+00   -9.99377184e-01  1.00000000e+00   1.00000000e+00   
152     5.02445804e-05   -9.99862270e-01  1.00000000e+00   1.00000000e+00   -9.99477249e-01  1.00000000e+00   1.00000000e+00   
153     5.02479648e-05   -9.99887834e-01  1.00000000e+00   1.00000000e+00   -9.99561239e-01  1.00000000e+00   1.00000000e+00   
154     5.02513493e-05   -9.99908653e-01  1.00000000e+00   1.00000000e+00   -9.99631736e-01  1.00000000e+00   1.00000000e+00   
