Index   V(E)         V(B)           I(V_E)    I(V_B)            I(V_S)      
 71 3.550000e+00 8.00000000e-01  3.651810e-04 1.614491e-03 -1.43697e-03
 72 3.600000e+00 8.00000000e-01  3.657288e-04 1.614322e-03 -1.43688e-03
 73 3.650000e+00 8.00000000e-01  3.662752e-04 1.614153e-03 -1.43679e-03
 74 3.700000e+00 8.00000000e-01  3.668202e-04 1.613985e-03 -1.43671e-03
 75 3.750000e+00 8.00000000e-01  3.673637e-04 1.613817e-03 -1.43662e-03
 76 3.800000e+00 8.00000000e-01  3.679059e-04 1.613649e-03 -1.43653e-03
 77 3.850000e+00 8.00000000e-01  3.684468e-04 1.613482e-03 -1.43645e-03
 78 3.900000e+00 8.00000000e-01  3.689863e-04 1.613316e-03 -1.43636e-03
 79 3.950000e+00 8.00000000e-01  3.695245e-04 1.613150e-03 -1.43627e-03
 80 4.000000e+00 8.00000000e-01  3.700615e-04 1.612984e-03 -1.43619e-03
 81 4.050000e+00 8.00000000e-01  3.705973e-04 1.612818e-03 -1.43610e-03
 82 4.100000e+00 8.00000000e-01  3.711318e-04 1.612653e-03 -1.43601e-03
 83 4.150000e+00 8.00000000e-01  3.716652e-04 1.612489e-03 -1.43593e-03
 84 4.200000e+00 8.00000000e-01  3.721974e-04 1.612325e-03 -1.43584e-03
 85 4.250000e+00 8.00000000e-01  3.727285e-04 1.612161e-03 -1.43576e-03
 86 4.300000e+00 8.00000000e-01  3.732584e-04 1.611997e-03 -1.43567e-03
 87 4.350000e+00 8.00000000e-01  3.737873e-04 1.611834e-03 -1.43559e-03
 88 4.400000e+00 8.00000000e-01  3.743151e-04 1.611671e-03 -1.43550e-03
 89 4.450000e+00 8.00000000e-01  3.748419e-04 1.611509e-03 -1.43542e-03
 90 4.500000e+00 8.00000000e-01  3.753677e-04 1.611346e-03 -1.43533e-03
 91 4.550000e+00 8.00000000e-01  3.758924e-04 1.611185e-03 -1.43525e-03
 92 4.600000e+00 8.00000000e-01  3.764162e-04 1.611023e-03 -1.43517e-03
 93 4.650000e+00 8.00000000e-01  3.769390e-04 1.610862e-03 -1.43508e-03
 94 4.700000e+00 8.00000000e-01  3.774608e-04 1.610701e-03 -1.43500e-03
 95 4.750000e+00 8.00000000e-01  3.779817e-04 1.610540e-03 -1.43491e-03
 96 4.800000e+00 8.00000000e-01  3.785017e-04 1.610380e-03 -1.43483e-03
 97 4.850000e+00 8.00000000e-01  3.790209e-04 1.610220e-03 -1.43475e-03
 98 4.900000e+00 8.00000000e-01  3.795391e-04 1.610060e-03 -1.43466e-03
 99 4.950000e+00 8.00000000e-01  3.800564e-04 1.609901e-03 -1.43458e-03
100 5.000000e+00 8.00000000e-01  3.805730e-04 1.609742e-03 -1.43450e-03
  0 0.000000e+00 8.50000000e-01  -2.08787e-04 3.444223e-03 -2.78145e-03
  1 5.000000e-02 8.50000000e-01  4.311061e-04 3.179987e-03 -2.64884e-03
  2 1.000000e-01 8.50000000e-01  5.612061e-04 3.127148e-03 -2.62152e-03
  3 1.500000e-01 8.50000000e-01  5.829725e-04 3.118291e-03 -2.61704e-03
