Index       V(B)              TEMP             I(V_C)            I(V_B)      
61       8.10000000e-01    5.00000000e+01    3.02794198e-03    8.66792124e-05
62       8.20000000e-01    5.00000000e+01    3.64766199e-03    1.16177950e-04
63       8.30000000e-01    5.00000000e+01    4.34507848e-03    1.54116827e-04
64       8.40000000e-01    5.00000000e+01    5.12049913e-03    2.02192184e-04
65       8.50000000e-01    5.00000000e+01    5.97248476e-03    2.62174335e-04
66       8.60000000e-01    5.00000000e+01    6.89772035e-03    3.35841221e-04
67       8.70000000e-01    5.00000000e+01    7.89012649e-03    4.25048690e-04
68       8.80000000e-01    5.00000000e+01    8.93329398e-03    5.32953570e-04
69       8.90000000e-01    5.00000000e+01    9.99232472e-03    6.65511764e-04
70       9.00000000e-01    5.00000000e+01    1.10406965e-02    8.27256640e-04
71       9.10000000e-01    5.00000000e+01    1.20679508e-02    1.01983359e-03
72       9.20000000e-01    5.00000000e+01    1.30693748e-02    1.24346388e-03
73       9.30000000e-01    5.00000000e+01    1.40418884e-02    1.49765236e-03
74       9.40000000e-01    5.00000000e+01    1.49830515e-02    1.78147616e-03
75       9.50000000e-01    5.00000000e+01    1.58909129e-02    2.09374141e-03
76       9.60000000e-01    5.00000000e+01    1.67640159e-02    2.43309014e-03
77       9.70000000e-01    5.00000000e+01    1.76014037e-02    2.79807833e-03
78       9.80000000e-01    5.00000000e+01    1.84025937e-02    3.18723257e-03
79       9.90000000e-01    5.00000000e+01    1.91675308e-02    3.59909020e-03
80       1.00000000e+00    5.00000000e+01    1.98965292e-02    4.03222637e-03
81       1.01000000e+00    5.00000000e+01    2.05902107e-02    4.48527154e-03
82       1.02000000e+00    5.00000000e+01    2.12494457e-02    4.95692174e-03
83       1.03000000e+00    5.00000000e+01    2.18752988e-02    5.44594409e-03
84       1.04000000e+00    5.00000000e+01    2.24689813e-02    5.95117871e-03
85       1.05000000e+00    5.00000000e+01    2.30318089e-02    6.47153860e-03
86       1.06000000e+00    5.00000000e+01    2.35651819e-02    7.00600269e-03
87       1.07000000e+00    5.00000000e+01    2.40704899e-02    7.55363486e-03
88       1.08000000e+00    5.00000000e+01    2.45491890e-02    8.11354726e-03
89       1.09000000e+00    5.00000000e+01    2.50027107e-02    8.68492022e-03
90       1.10000000e+00    5.00000000e+01    2.54324638e-02    9.26699267e-03
91       1.11000000e+00    5.00000000e+01    2.58398223e-02    9.85905862e-03
92       1.12000000e+00    5.00000000e+01    2.62261151e-02    1.04604636e-02
93       1.13000000e+00    5.00000000e+01    2.65926194e-02    1.10706013e-02
94       1.14000000e+00    5.00000000e+01    2.69405557e-02    1.16889103e-02
95       1.15000000e+00    5.00000000e+01    2.72710845e-02    1.23148709e-02
96       1.16000000e+00    5.00000000e+01    2.75853049e-02    1.29480021e-02
97       1.17000000e+00    5.00000000e+01    2.78842545e-02    1.35878588e-02
98       1.18000000e+00    5.00000000e+01    2.81689094e-02    1.42340289e-02
99       1.19000000e+00    5.00000000e+01    2.84401861e-02    1.48861313e-02
