Index        TIME             V(1)             V(2)             V(3)
266     7.39078907e-04   3.83177782e+02   8.90446802e+01   1.96695733e+01   
267     7.45373956e-04   3.82903864e+02   8.99570399e+01   2.00891757e+01   
268     7.51669005e-04   3.82628012e+02   9.08727609e+01   2.05141351e+01   
269     7.64259103e-04   3.82070546e+02   9.27142507e+01   2.13801366e+01   
270     7.76849200e-04   3.81505440e+02   9.45691408e+01   2.22676317e+01   
271     7.89439298e-04   3.80932754e+02   9.64373995e+01   2.31766566e+01   
272     8.02029396e-04   3.80352553e+02   9.83189796e+01   2.41072335e+01   
273     8.14619494e-04   3.79764902e+02   1.00213822e+02   2.50593720e+01   
274     8.27209591e-04   3.79169867e+02   1.02121854e+02   2.60330698e+01   
275     8.39799689e-04   3.78567512e+02   1.04042993e+02   2.70283126e+01   
276     8.52389787e-04   3.77957905e+02   1.05977145e+02   2.80450740e+01   
277     8.64979885e-04   3.77341114e+02   1.07924203e+02   2.90833161e+01   
278     8.77569982e-04   3.76717205e+02   1.09884051e+02   3.01429889e+01   
279     8.90160080e-04   3.76086247e+02   1.11856561e+02   3.12240307e+01   
280     9.02750178e-04   3.75448309e+02   1.13841593e+02   3.23263682e+01   
281     9.15340276e-04   3.74803461e+02   1.15838996e+02   3.34499161e+01   
282     9.27930373e-04   3.74151771e+02   1.17848611e+02   3.45945776e+01   
283     9.40520471e-04   3.73493311e+02   1.19870265e+02   3.57602444e+01   
284     9.53110569e-04   3.72828150e+02   1.21903775e+02   3.69467963e+01   
285     9.65700667e-04   3.72156361e+02   1.23948947e+02   3.81541019e+01   
286     9.78290764e-04   3.71478015e+02   1.26005579e+02   3.93820184e+01   
287     9.90880862e-04   3.70793184e+02   1.28073455e+02   4.06303914e+01   
288     1.00347096e-03   3.70101942e+02   1.30152352e+02   4.18990555e+01   
289     1.01606106e-03   3.69404361e+02   1.32242034e+02   4.31878340e+01   
290     1.02865116e-03   3.68700514e+02   1.34342257e+02   4.44965391e+01   
291     1.04124125e-03   3.67990477e+02   1.36452766e+02   4.58249722e+01   
292     1.05249892e-03   3.67350398e+02   1.38348419e+02   4.70293562e+01   
293     1.06375658e-03   3.66705482e+02   1.40251892e+02   4.82491903e+01   
294     1.07501424e-03   3.66055783e+02   1.42162982e+02   4.94843098e+01   
295     1.08627191e-03   3.65401355e+02   1.44081481e+02   5.07345439e+01   
296     1.09752957e-03   3.64742252e+02   1.46007175e+02   5.19997152e+01   
297     1.10878723e-03   3.64078529e+02   1.47939846e+02   5.32796398e+01   
298     1.12004490e-03   3.63410241e+02   1.49879269e+02   5.45741276e+01   
299     1.13130256e-03   3.62737443e+02   1.51825213e+02   5.58829818e+01   
300     1.14256022e-03   3.62060190e+02   1.53777443e+02   5.72059995e+01   
301     1.15381789e-03   3.61378537e+02   1.55735718e+02   5.85429714e+01   
302     1.16507555e-03   3.60692542e+02   1.57699793e+02   5.98936822e+01   
303     1.17633321e-03   3.60002258e+02   1.59669414e+02   6.12579107e+01   
304     1.18759088e-03   3.59307743e+02   1.61644327e+02   6.26354297e+01   
305     1.19884854e-03   3.58609053e+02   1.63624270e+02   6.40260060e+01   
306     1.21010620e-03   3.57906245e+02   1.65608976e+02   6.54294009e+01   
307     1.22136387e-03   3.57199375e+02   1.67598177e+02   6.68453702e+01   
308     1.23262153e-03   3.56488501e+02   1.69591596e+02   6.82736640e+01   
309     1.24387919e-03   3.55773678e+02   1.71588955e+02   6.97140271e+01   
310     1.25513686e-03   3.55054966e+02   1.73589970e+02   7.11661992e+01   
311     1.26639452e-03   3.54332421e+02   1.75594352e+02   7.26299147e+01   
312     1.27765218e-03   3.53606100e+02   1.77601811e+02   7.41049030e+01   
313     1.28890984e-03   3.52876062e+02   1.79612051e+02   7.55908889e+01   
314     1.30016751e-03   3.52142364e+02   1.81624774e+02   7.70875921e+01   
315     1.31142517e-03   3.51405064e+02   1.83639675e+02   7.85947279e+01   
316     1.32268283e-03   3.50664221e+02   1.85656450e+02   8.01120071e+01   
317     1.33394050e-03   3.49919893e+02   1.87674789e+02   8.16391361e+01   
318     1.34519816e-03   3.49172137e+02   1.89694379e+02   8.31758171e+01   
319     1.35645582e-03   3.48421013e+02   1.91714906e+02   8.47217483e+01   
320     1.36771349e-03   3.47666580e+02   1.93736050e+02   8.62766239e+01   
321     1.37897115e-03   3.46908895e+02   1.95757493e+02   8.78401344e+01   
322     1.39022881e-03   3.46148017e+02   1.97778909e+02   8.94119666e+01   
323     1.40148648e-03   3.45384005e+02   1.99799974e+02   9.09918038e+01   
324     1.41274414e-03   3.44616918e+02   2.01820360e+02   9.25793260e+01   
325     1.42400180e-03   3.43846815e+02   2.03839737e+02   9.41742100e+01   
326     1.43525947e-03   3.43073755e+02   2.05857773e+02   9.57761296e+01   
327     1.44651713e-03   3.42297797e+02   2.07874135e+02   9.73847557e+01   
328     1.45777479e-03   3.41518999e+02   2.09888488e+02   9.89997563e+01   
329     1.46903246e-03   3.40737421e+02   2.11900496e+02   1.00620797e+02   
330     1.48029012e-03   3.39953121e+02   2.13909820e+02   1.02247541e+02   
331     1.49154778e-03   3.39166159e+02   2.15916123e+02   1.03879649e+02   
332     1.50280545e-03   3.38376594e+02   2.17919065e+02   1.05516780e+02   
333     1.51406311e-03   3.37584485e+02   2.19918305e+02   1.07158591e+02   
334     1.52532077e-03   3.36789890e+02   2.21913504e+02   1.08804737e+02   
335     1.53657844e-03   3.35992868e+02   2.23904318e+02   1.10454870e+02   
336     1.54783610e-03   3.35193479e+02   2.25890407e+02   1.12108644e+02   
337     1.55909376e-03   3.34391781e+02   2.27871429e+02   1.13765709e+02   
338     1.57035143e-03   3.33587833e+02   2.29847042e+02   1.15425713e+02   
339     1.58160909e-03   3.32781694e+02   2.31816905e+02   1.17088306e+02   
340     1.59286675e-03   3.31973422e+02   2.33780677e+02   1.18753135e+02   
341     1.60412442e-03   3.31163075e+02   2.35738017e+02   1.20419848e+02   
342     1.61538208e-03   3.30350714e+02   2.37688585e+02   1.22088090e+02   
343     1.62663974e-03   3.29536394e+02   2.39632043e+02   1.23757507e+02   
344     1.63789741e-03   3.28720176e+02   2.41568052e+02   1.25427746e+02   
345     1.64915507e-03   3.27902117e+02   2.43496275e+02   1.27098453e+02   
346     1.66041273e-03   3.27082275e+02   2.45416376e+02   1.28769273e+02   
347     1.67167040e-03   3.26260708e+02   2.47328023e+02   1.30439852e+02   
348     1.68292806e-03   3.25437473e+02   2.49230881e+02   1.32109838e+02   
349     1.69418572e-03   3.24612629e+02   2.51124621e+02   1.33778878e+02   
350     1.70544339e-03   3.23786232e+02   2.53008913e+02   1.35446619e+02   
351     1.71670105e-03   3.22958340e+02   2.54883431e+02   1.37112710e+02   
352     1.72795871e-03   3.22129010e+02   2.56747851e+02   1.38776803e+02   
353     1.73921638e-03   3.21298299e+02   2.58601849e+02   1.40438547e+02   
354     1.75047404e-03   3.20466263e+02   2.60445106e+02   1.42097595e+02   
355     1.76173170e-03   3.19632960e+02   2.62277305e+02   1.43753602e+02   
