Index       TIME           {V(1)+6.0}     {NINT(V(1)+6.0)} 
217      1.34250582e-03    1.01789364e+01    1.00000000e+01
218      1.34722250e-03    1.00957551e+01    1.00000000e+01
219      1.35193919e-03    1.00089769e+01    1.00000000e+01
220      1.35665587e-03    9.91867800e+00    1.00000000e+01
221      1.36137255e-03    9.82493762e+00    1.00000000e+01
222      1.36608923e-03    9.72783811e+00    1.00000000e+01
223      1.37080591e-03    9.62746476e+00    1.00000000e+01
224      1.37552260e-03    9.52390571e+00    1.00000000e+01
225      1.38023928e-03    9.41725192e+00    9.00000000e+00
226      1.38495596e-03    9.30759704e+00    9.00000000e+00
227      1.38967264e-03    9.19503738e+00    9.00000000e+00
228      1.39438932e-03    9.07967179e+00    9.00000000e+00
229      1.39910600e-03    8.96160158e+00    9.00000000e+00
230      1.40382269e-03    8.84093044e+00    9.00000000e+00
231      1.40853937e-03    8.71776436e+00    9.00000000e+00
232      1.41325605e-03    8.59221150e+00    9.00000000e+00
233      1.41797273e-03    8.46438211e+00    8.00000000e+00
234      1.42268941e-03    8.33438847e+00    8.00000000e+00
235      1.42740610e-03    8.20234472e+00    8.00000000e+00
236      1.43212278e-03    8.06836685e+00    8.00000000e+00
237      1.43683946e-03    7.93257250e+00    8.00000000e+00
238      1.44155614e-03    7.79508094e+00    8.00000000e+00
239      1.44627282e-03    7.65601291e+00    8.00000000e+00
240      1.45098951e-03    7.51549055e+00    8.00000000e+00
241      1.45570619e-03    7.37363726e+00    7.00000000e+00
242      1.46042287e-03    7.23057761e+00    7.00000000e+00
243      1.46513955e-03    7.08643726e+00    7.00000000e+00
244      1.46985623e-03    6.94134278e+00    7.00000000e+00
245      1.47457291e-03    6.79542159e+00    7.00000000e+00
246      1.48400628e-03    6.50161234e+00    7.00000000e+00
247      1.49343964e-03    6.20604137e+00    6.00000000e+00
248      1.50287301e-03    5.90974677e+00    6.00000000e+00
249      1.50886352e-03    5.72168814e+00    6.00000000e+00
250      1.51485404e-03    5.53402376e+00    6.00000000e+00
251      1.52084456e-03    5.34701946e+00    5.00000000e+00
252      1.52683507e-03    5.16094015e+00    5.00000000e+00
253      1.53282559e-03    4.97604943e+00    5.00000000e+00
254      1.53881611e-03    4.79260920e+00    5.00000000e+00
255      1.54480663e-03    4.61087932e+00    5.00000000e+00
