Index        TIME        {20.0 + V(30)}
431     5.74124880e-04   1.99993962e+01   
432     5.74160375e-04   1.99994442e+01   
433     5.74231366e-04   1.99995341e+01   
434     5.74295258e-04   1.99996082e+01   
435     5.74359150e-04   1.99996760e+01   
436     5.74423041e-04   1.99997373e+01   
437     5.74486933e-04   1.99997923e+01   
438     5.74550825e-04   1.99998408e+01   
439     5.74678608e-04   1.99999185e+01   
440     5.74806392e-04   1.99999704e+01   
441     5.75061959e-04   1.99999970e+01   
442     5.75317526e-04   1.99999204e+01   
443     5.75573093e-04   1.99997410e+01   
444     5.75828660e-04   1.99994586e+01   
445     5.76084227e-04   1.99990743e+01   
446     5.76339794e-04   1.99985877e+01   
447     5.76595361e-04   1.99980010e+01   
448     5.76850928e-04   1.99973134e+01   
449     5.77191684e-04   1.99962439e+01   
450     5.77532441e-04   1.99950014e+01   
451     5.77873197e-04   1.99935885e+01   
452     5.78179877e-04   1.99921767e+01   
453     5.78486558e-04   1.99906338e+01   
454     5.78793238e-04   1.99889624e+01   
455     5.79099918e-04   1.99871694e+01   
456     5.79406599e-04   1.99852568e+01   
457     5.79713279e-04   1.99832282e+01   
458     5.80019960e-04   1.99810914e+01   
459     5.80326640e-04   1.99788494e+01   
460     5.80633321e-04   1.99765067e+01   
461     5.81246682e-04   1.99715514e+01   
462     5.81860043e-04   1.99662687e+01   
463     5.82473404e-04   1.99607032e+01   
464     5.83025428e-04   1.99555188e+01   
465     5.83577453e-04   1.99501998e+01   
466     5.84129478e-04   1.99447854e+01   
467     5.84681503e-04   1.99393486e+01   
468     5.85233528e-04   1.99339235e+01   
469     5.85785553e-04   1.99285562e+01   
470     5.86337577e-04   1.99233229e+01   
471     5.86889602e-04   1.99182657e+01   
472     5.87441627e-04   1.99134372e+01   
473     5.87993652e-04   1.99089119e+01   
474     5.88545677e-04   1.99047394e+01   
475     5.89097702e-04   1.99009771e+01   
476     5.90201751e-04   1.98949560e+01   
477     5.91305801e-04   1.98913293e+01   
478     5.92409851e-04   1.98905822e+01   
479     5.93513900e-04   1.98931996e+01   
480     5.94617950e-04   1.98996667e+01   
481     5.95722000e-04   1.99104685e+01   
482     5.96826049e-04   1.99258853e+01   
483     5.97930099e-04   1.99464316e+01   
484     5.99034149e-04   1.99725484e+01   
485     5.99873093e-04   1.99960790e+01   
486     6.00712038e-04   2.00230644e+01   
487     6.01550983e-04   2.00536559e+01   
488     6.02389928e-04   2.00876880e+01   
489     6.03228873e-04   2.01253706e+01   
490     6.04067818e-04   2.01667950e+01   
491     6.04906763e-04   2.02117228e+01   
492     6.05745708e-04   2.02602926e+01   
493     6.06584653e-04   2.03125250e+01   
494     6.07423598e-04   2.03680891e+01   
495     6.08262543e-04   2.04270558e+01   
496     6.09101488e-04   2.04893704e+01   
497     6.09940432e-04   2.05546001e+01   
498     6.10779377e-04   2.06227441e+01   
499     6.11618322e-04   2.06936669e+01   
500     6.12876740e-04   2.08043562e+01   
501     6.14135157e-04   2.09195266e+01   
502     6.15393574e-04   2.10380946e+01   
503     6.16651992e-04   2.11588379e+01   
504     6.17910409e-04   2.12805371e+01   
505     6.19168827e-04   2.14016987e+01   
506     6.20427244e-04   2.15207481e+01   
507     6.21685661e-04   2.16359829e+01   
508     6.22944079e-04   2.17461782e+01   
509     6.24202496e-04   2.18493201e+01   
510     6.25460913e-04   2.19435272e+01   
511     6.26719331e-04   2.20268193e+01   
512     6.27977748e-04   2.20983794e+01   
