Index   TIME           V(IN)           V(OUT)           
211     1.38997687e-09   5.00000000e+00   1.79062115e+00   
212     1.39117304e-09   5.00000000e+00   1.83702163e+00   
213     1.39207016e-09   5.00000000e+00   1.87245180e+00   
214     1.39326077e-09   5.00000000e+00   1.91997419e+00   
215     1.39445138e-09   5.00000000e+00   1.96782329e+00   
216     1.39564199e-09   5.00000000e+00   2.01584937e+00   
217     1.39771674e-09   5.00000000e+00   2.09977083e+00   
218     1.39979150e-09   5.00000000e+00   2.18387283e+00   
219     1.40134756e-09   5.00000000e+00   2.24703754e+00   
220     1.40301769e-09   5.00000000e+00   2.31490347e+00   
221     1.40468781e-09   5.00000000e+00   2.38282488e+00   
222     1.40679977e-09   5.00000000e+00   2.46875299e+00   
223     1.40891173e-09   5.00000000e+00   2.55464869e+00   
224     1.41102369e-09   5.00000000e+00   2.64040107e+00   
225     1.41313565e-09   5.00000000e+00   2.72585598e+00   
226     1.41582832e-09   5.00000000e+00   2.83402761e+00   
227     1.41852100e-09   5.00000000e+00   2.94069750e+00   
228     1.42121367e-09   5.00000000e+00   3.04483561e+00   
229     1.42469876e-09   5.00000000e+00   3.17322031e+00   
230     1.42818386e-09   5.00000000e+00   3.28979017e+00   
231     1.43171992e-09   5.00000000e+00   3.39081341e+00   
232     1.43508330e-09   5.00000000e+00   3.46900885e+00   
233     1.43844668e-09   5.00000000e+00   3.53189326e+00   
234     1.44181006e-09   5.00000000e+00   3.58313153e+00   
235     1.44517344e-09   5.00000000e+00   3.62598897e+00   
236     1.44853682e-09   5.00000000e+00   3.66282778e+00   
237     1.45393473e-09   5.00000000e+00   3.71319600e+00   
238     1.46112956e-09   5.00000000e+00   3.76923166e+00   
239     1.46832439e-09   5.00000000e+00   3.81706917e+00   
240     1.47551922e-09   5.00000000e+00   3.85937451e+00   
241     1.48271405e-09   5.00000000e+00   3.89767183e+00   
242     1.49240186e-09   5.00000000e+00   3.94452321e+00   
243     1.50208968e-09   5.00000000e+00   3.98724540e+00   
244     1.51199508e-09   5.00000000e+00   4.02760227e+00   
245     1.52145853e-09   5.00000000e+00   4.06360794e+00   
246     1.53123538e-09   5.00000000e+00   4.09861340e+00   
247     1.54045960e-09   5.00000000e+00   4.12988047e+00   
248     1.54737777e-09   5.00000000e+00   4.15233622e+00   
249     1.55428037e-09   5.00000000e+00   4.17396866e+00   
250     1.56118296e-09   5.00000000e+00   4.19488676e+00   
251     1.56817671e-09   5.00000000e+00   4.21540289e+00   
252     1.57561647e-09   5.00000000e+00   4.23652716e+00   
253     1.58305624e-09   5.00000000e+00   4.25697458e+00   
254     1.59049600e-09   5.00000000e+00   4.27678521e+00   
255     1.60006995e-09   5.00000000e+00   4.30139802e+00   
256     1.61223202e-09   5.00000000e+00   4.33132892e+00   
257     1.62439408e-09   5.00000000e+00   4.35986928e+00   
258     1.63694588e-09   5.00000000e+00   4.38796751e+00   
259     1.64879668e-09   5.00000000e+00   4.41331197e+00   
260     1.66064749e-09   5.00000000e+00   4.43757383e+00   
261     1.67249829e-09   5.00000000e+00   4.46081205e+00   
262     1.68434910e-09   5.00000000e+00   4.48307951e+00   
263     1.69323720e-09   5.00000000e+00   4.49917099e+00   
264     1.70212530e-09   5.00000000e+00   4.51476192e+00   
265     1.70879138e-09   5.00000000e+00   4.52613683e+00   
266     1.71545746e-09   5.00000000e+00   4.53724711e+00   
267     1.72716790e-09   5.00000000e+00   4.55614650e+00   
268     1.73887835e-09   5.00000000e+00   4.57428534e+00   
269     1.76014071e-09   5.00000000e+00   4.60539096e+00   
270     1.78140307e-09   5.00000000e+00   4.63427482e+00   
271     1.80266544e-09   5.00000000e+00   4.66109476e+00   
272     1.81861221e-09   5.00000000e+00   4.67993630e+00   
273     1.83050291e-09   5.00000000e+00   4.69331393e+00   
274     1.83942094e-09   5.00000000e+00   4.70298677e+00   
275     1.84833897e-09   5.00000000e+00   4.71236234e+00   
276     1.85725699e-09   5.00000000e+00   4.72144966e+00   
277     1.86394551e-09   5.00000000e+00   4.72808058e+00   
278     1.87063404e-09   5.00000000e+00   4.73455751e+00   
279     1.87984697e-09   5.00000000e+00   4.74323391e+00   
280     1.89254136e-09   5.00000000e+00   4.75473919e+00   
281     1.90000000e-09   5.00000000e+00   4.76126172e+00   
282     1.90050000e-09   4.97500000e+00   4.76150695e+00   
283     1.90051905e-09   4.97404755e+00   4.76151628e+00   
284     1.90053810e-09   4.97309510e+00   4.76152561e+00   
285     1.90055715e-09   4.97214265e+00   4.76153494e+00   
