Index       V(G)              V(D)             I(V_D)            I(V_G)            I(V_S)      
140     -4.00000000e-01   -5.00000000e-02   -1.30233318e-08    0.00000000e+00    1.30233318e-08
141     -4.10000000e-01   -5.00000000e-02   -1.84257055e-08    0.00000000e+00    1.84257055e-08
142     -4.20000000e-01   -5.00000000e-02   -2.60673005e-08    0.00000000e+00    2.60673005e-08
143     -4.30000000e-01   -5.00000000e-02   -3.68743514e-08    0.00000000e+00    3.68743514e-08
144     -4.40000000e-01   -5.00000000e-02   -5.21543069e-08    0.00000000e+00    5.21543069e-08
145     -4.50000000e-01   -5.00000000e-02   -7.37508238e-08    0.00000000e+00    7.37508238e-08
146     -4.60000000e-01   -5.00000000e-02   -1.04259904e-07    0.00000000e+00    1.04259904e-07
147     -4.70000000e-01   -5.00000000e-02   -1.47329470e-07    0.00000000e+00    1.47329470e-07
148     -4.80000000e-01   -5.00000000e-02   -2.08071032e-07    0.00000000e+00    2.08071032e-07
149     -4.90000000e-01   -5.00000000e-02   -2.93618554e-07    0.00000000e+00    2.93618554e-07
150     -5.00000000e-01   -5.00000000e-02   -4.13874179e-07    0.00000000e+00    4.13874179e-07
151     -5.10000000e-01   -5.00000000e-02   -5.82479265e-07    0.00000000e+00    5.82479265e-07
152     -5.20000000e-01   -5.00000000e-02   -8.18035370e-07    0.00000000e+00    8.18035370e-07
153     -5.30000000e-01   -5.00000000e-02   -1.14556401e-06    0.00000000e+00    1.14556401e-06
154     -5.40000000e-01   -5.00000000e-02   -1.59812605e-06    0.00000000e+00    1.59812605e-06
155     -5.50000000e-01   -5.00000000e-02   -2.21841879e-06    0.00000000e+00    2.21841879e-06
156     -5.60000000e-01   -5.00000000e-02   -3.06004780e-06    0.00000000e+00    3.06004780e-06
157     -5.70000000e-01   -5.00000000e-02   -4.18807967e-06    0.00000000e+00    4.18807967e-06
158     -5.80000000e-01   -5.00000000e-02   -5.67848929e-06    0.00000000e+00    5.67848929e-06
159     -5.90000000e-01   -5.00000000e-02   -7.61626848e-06    0.00000000e+00    7.61626848e-06
160     -6.00000000e-01   -5.00000000e-02   -1.00922290e-05    0.00000000e+00    1.00922290e-05
161     -6.10000000e-01   -5.00000000e-02   -1.31988034e-05    0.00000000e+00    1.31988034e-05
162     -6.20000000e-01   -5.00000000e-02   -1.70253121e-05    0.00000000e+00    1.70253121e-05
163     -6.30000000e-01   -5.00000000e-02   -2.16532006e-05    0.00000000e+00    2.16532006e-05
164     -6.40000000e-01   -5.00000000e-02   -2.71517160e-05    0.00000000e+00    2.71517160e-05
165     -6.50000000e-01   -5.00000000e-02   -3.35744360e-05    0.00000000e+00    3.35744360e-05
166     -6.60000000e-01   -5.00000000e-02   -4.09569707e-05    0.00000000e+00    4.09569707e-05
167     -6.70000000e-01   -5.00000000e-02   -4.93159965e-05    0.00000000e+00    4.93159965e-05
168     -6.80000000e-01   -5.00000000e-02   -5.86495733e-05    0.00000000e+00    5.86495733e-05
169     -6.90000000e-01   -5.00000000e-02   -6.89385137e-05    0.00000000e+00    6.89385137e-05
170     -7.00000000e-01   -5.00000000e-02   -8.01484776e-05    0.00000000e+00    8.01484776e-05
171     -7.10000000e-01   -5.00000000e-02   -9.22324612e-05    0.00000000e+00    9.22324612e-05
172     -7.20000000e-01   -5.00000000e-02   -1.05133406e-04    0.00000000e+00    1.05133406e-04
173     -7.30000000e-01   -5.00000000e-02   -1.18786723e-04    0.00000000e+00    1.18786723e-04
174     -7.40000000e-01   -5.00000000e-02   -1.33122609e-04    0.00000000e+00    1.33122609e-04
175     -7.50000000e-01   -5.00000000e-02   -1.48068082e-04    0.00000000e+00    1.48068082e-04
176     -7.60000000e-01   -5.00000000e-02   -1.63548743e-04    0.00000000e+00    1.63548743e-04
177     -7.70000000e-01   -5.00000000e-02   -1.79490251e-04    0.00000000e+00    1.79490251e-04
178     -7.80000000e-01   -5.00000000e-02   -1.95819577e-04    0.00000000e+00    1.95819577e-04
179     -7.90000000e-01   -5.00000000e-02   -2.12466017e-04    0.00000000e+00    2.12466017e-04
180     -8.00000000e-01   -5.00000000e-02   -2.29362006e-04    0.00000000e+00    2.29362006e-04
181     -8.10000000e-01   -5.00000000e-02   -2.46443721e-04    0.00000000e+00    2.46443721e-04
182     -8.20000000e-01   -5.00000000e-02   -2.63651499e-04    0.00000000e+00    2.63651499e-04
183     -8.30000000e-01   -5.00000000e-02   -2.80930092e-04    0.00000000e+00    2.80930092e-04
184     -8.40000000e-01   -5.00000000e-02   -2.98228783e-04    0.00000000e+00    2.98228783e-04
185     -8.50000000e-01   -5.00000000e-02   -3.15501389e-04    0.00000000e+00    3.15501389e-04
186     -8.60000000e-01   -5.00000000e-02   -3.32706186e-04    0.00000000e+00    3.32706186e-04
187     -8.70000000e-01   -5.00000000e-02   -3.49805762e-04    0.00000000e+00    3.49805762e-04
188     -8.80000000e-01   -5.00000000e-02   -3.66766834e-04    0.00000000e+00    3.66766834e-04
189     -8.90000000e-01   -5.00000000e-02   -3.83560023e-04    0.00000000e+00    3.83560023e-04
190     -9.00000000e-01   -5.00000000e-02   -4.00159613e-04    0.00000000e+00    4.00159613e-04
191     -9.10000000e-01   -5.00000000e-02   -4.16543303e-04    0.00000000e+00    4.16543303e-04
192     -9.20000000e-01   -5.00000000e-02   -4.32691945e-04    0.00000000e+00    4.32691945e-04
193     -9.30000000e-01   -5.00000000e-02   -4.48589290e-04    0.00000000e+00    4.48589290e-04
194     -9.40000000e-01   -5.00000000e-02   -4.64221742e-04    0.00000000e+00    4.64221742e-04
195     -9.50000000e-01   -5.00000000e-02   -4.79578108e-04    0.00000000e+00    4.79578108e-04
196     -9.60000000e-01   -5.00000000e-02   -4.94649377e-04    0.00000000e+00    4.94649377e-04
197     -9.70000000e-01   -5.00000000e-02   -5.09428497e-04    0.00000000e+00    5.09428497e-04
198     -9.80000000e-01   -5.00000000e-02   -5.23910172e-04    0.00000000e+00    5.23910172e-04
199     -9.90000000e-01   -5.00000000e-02   -5.38090671e-04    0.00000000e+00    5.38090671e-04
200     -1.00000000e+00   -5.00000000e-02   -5.51967656e-04    0.00000000e+00    5.51967656e-04
201     -1.01000000e+00   -5.00000000e-02   -5.65540016e-04    0.00000000e+00    5.65540016e-04
202     -1.02000000e+00   -5.00000000e-02   -5.78807720e-04    0.00000000e+00    5.78807720e-04
203     -1.03000000e+00   -5.00000000e-02   -5.91771684e-04    0.00000000e+00    5.91771684e-04
204     -1.04000000e+00   -5.00000000e-02   -6.04433645e-04    0.00000000e+00    6.04433645e-04
205     -1.05000000e+00   -5.00000000e-02   -6.16796054e-04    0.00000000e+00    6.16796054e-04
206     -1.06000000e+00   -5.00000000e-02   -6.28861972e-04    0.00000000e+00    6.28861972e-04
207     -1.07000000e+00   -5.00000000e-02   -6.40634983e-04    0.00000000e+00    6.40634983e-04
208     -1.08000000e+00   -5.00000000e-02   -6.52119111e-04    0.00000000e+00    6.52119111e-04
209     -1.09000000e+00   -5.00000000e-02   -6.63318751e-04    0.00000000e+00    6.63318751e-04
210     -1.10000000e+00   -5.00000000e-02   -6.74238603e-04    0.00000000e+00    6.74238603e-04
211     -1.11000000e+00   -5.00000000e-02   -6.84883616e-04    0.00000000e+00    6.84883616e-04
212     -1.12000000e+00   -5.00000000e-02   -6.95258937e-04    0.00000000e+00    6.95258937e-04
213     -1.13000000e+00   -5.00000000e-02   -7.05369867e-04    0.00000000e+00    7.05369867e-04
214     -1.14000000e+00   -5.00000000e-02   -7.15221821e-04    0.00000000e+00    7.15221821e-04
215     -1.15000000e+00   -5.00000000e-02   -7.24820296e-04    0.00000000e+00    7.24820296e-04
216     -1.16000000e+00   -5.00000000e-02   -7.34170837e-04    0.00000000e+00    7.34170837e-04
217     -1.17000000e+00   -5.00000000e-02   -7.43279017e-04    0.00000000e+00    7.43279017e-04
218     -1.18000000e+00   -5.00000000e-02   -7.52150408e-04    0.00000000e+00    7.52150408e-04
219     -1.19000000e+00   -5.00000000e-02   -7.60790563e-04    0.00000000e+00    7.60790563e-04
220     -1.20000000e+00   -5.00000000e-02   -7.69205003e-04    0.00000000e+00    7.69205003e-04
0        1.00000000e+00   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
1        9.90000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
2        9.80000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
3        9.70000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
4        9.60000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
5        9.50000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
6        9.40000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
7        9.30000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
8        9.20000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
9        9.10000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
10       9.00000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
11       8.90000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
12       8.80000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
13       8.70000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
14       8.60000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
15       8.50000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
16       8.40000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
17       8.30000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
18       8.20000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
19       8.10000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
20       8.00000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
21       7.90000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
22       7.80000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
23       7.70000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
24       7.60000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
25       7.50000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
26       7.40000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
27       7.30000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
28       7.20000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
29       7.10000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
30       7.00000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
31       6.90000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
