Index    V(COLL)    V(BASE)    I(V_COLL)    I(V_BASE)
27    1.3500000000E+00    7.5000000000E-01    3.9849432190E-04    4.0899754000E-06
28    1.4000000000E+00    7.5000000000E-01    3.9882353840E-04    4.0964207000E-06
29    1.4500000000E+00    7.5000000000E-01    3.9915353360E-04    4.1028860000E-06
30    1.5000000000E+00    7.5000000000E-01    3.9948431050E-04    4.1093715000E-06
31    1.5500000000E+00    7.5000000000E-01    3.9981587250E-04    4.1158772000E-06
32    1.6000000000E+00    7.5000000000E-01    4.0014822290E-04    4.1224032000E-06
33    1.6500000000E+00    7.5000000000E-01    4.0048136500E-04    4.1289496000E-06
34    1.7000000000E+00    7.5000000000E-01    4.0081530210E-04    4.1355165000E-06
35    1.7500000000E+00    7.5000000000E-01    4.0115003750E-04    4.1421041000E-06
36    1.8000000000E+00    7.5000000000E-01    4.0148557470E-04    4.1487124000E-06
37    1.8500000000E+00    7.5000000000E-01    4.0182191700E-04    4.1553415000E-06
38    1.9000000000E+00    7.5000000000E-01    4.0215906780E-04    4.1619916000E-06
39    1.9500000000E+00    7.5000000000E-01    4.0249703050E-04    4.1686626000E-06
40    2.0000000000E+00    7.5000000000E-01    4.0283580860E-04    4.1753549000E-06
0    0.0000000000E+00    8.0000000000E-01    -3.0999254000E-06    2.7565325400E-05
1    5.0000000000E-02    8.0000000000E-01    1.9689958000E-03    2.4733262200E-05
2    1.0000000000E-01    8.0000000000E-01    2.3368773000E-03    2.4436140400E-05
3    1.5000000000E-01    8.0000000000E-01    2.4005013000E-03    2.4565612600E-05
4    2.0000000000E-01    8.0000000000E-01    2.4175732000E-03    2.4758627200E-05
5    2.5000000000E-01    8.0000000000E-01    2.4278583000E-03    2.4963049300E-05
6    3.0000000000E-01    8.0000000000E-01    2.4372277000E-03    2.5171713900E-05
7    3.5000000000E-01    8.0000000000E-01    2.4465446000E-03    2.5383696800E-05
8    4.0000000000E-01    8.0000000000E-01    2.4559376000E-03    2.5598933900E-05
9    4.5000000000E-01    8.0000000000E-01    2.4654270000E-03    2.5817480600E-05
10    5.0000000000E-01    8.0000000000E-01    2.4750173000E-03    2.6039410300E-05
11    5.5000000000E-01    8.0000000000E-01    2.4847109000E-03    2.6264801300E-05
12    6.0000000000E-01    8.0000000000E-01    2.4945099000E-03    2.6493734300E-05
13    6.5000000000E-01    8.0000000000E-01    2.5044160000E-03    2.6726292800E-05
14    7.0000000000E-01    8.0000000000E-01    2.5144315000E-03    2.6962562900E-05
15    7.5000000000E-01    8.0000000000E-01    2.5245584000E-03    2.7202633500E-05
16    8.0000000000E-01    8.0000000000E-01    2.5347989000E-03    2.7446596500E-05
17    8.5000000000E-01    8.0000000000E-01    2.5451552000E-03    2.7694546500E-05
18    9.0000000000E-01    8.0000000000E-01    2.5556295000E-03    2.7946581600E-05
19    9.5000000000E-01    8.0000000000E-01    2.5662243000E-03    2.8202802900E-05
20    1.0000000000E+00    8.0000000000E-01    2.5769418000E-03    2.8463314900E-05
21    1.0500000000E+00    8.0000000000E-01    2.5877847000E-03    2.8728225900E-05
22    1.1000000000E+00    8.0000000000E-01    2.5987554000E-03    2.8997647700E-05
23    1.1500000000E+00    8.0000000000E-01    2.6098567000E-03    2.9271695900E-05
24    1.2000000000E+00    8.0000000000E-01    2.6210911000E-03    2.9550490300E-05
25    1.2500000000E+00    8.0000000000E-01    2.6324616000E-03    2.9834154800E-05
26    1.3000000000E+00    8.0000000000E-01    2.6439709000E-03    3.0122817700E-05
27    1.3500000000E+00    8.0000000000E-01    2.6556221000E-03    3.0416612200E-05
28    1.4000000000E+00    8.0000000000E-01    2.6674182000E-03    3.0715675700E-05
29    1.4500000000E+00    8.0000000000E-01    2.6793623000E-03    3.1020151300E-05
30    1.5000000000E+00    8.0000000000E-01    2.6914578000E-03    3.1330186900E-05
31    1.5500000000E+00    8.0000000000E-01    2.7037080000E-03    3.1645936200E-05
32    1.6000000000E+00    8.0000000000E-01    2.7161163000E-03    3.1967558400E-05
33    1.6500000000E+00    8.0000000000E-01    2.7286864000E-03    3.2295219100E-05
34    1.7000000000E+00    8.0000000000E-01    2.7414220000E-03    3.2629090000E-05
35    1.7500000000E+00    8.0000000000E-01    2.7543268000E-03    3.2969349600E-05
36    1.8000000000E+00    8.0000000000E-01    2.7674049000E-03    3.3316183300E-05
37    1.8500000000E+00    8.0000000000E-01    2.7806603000E-03    3.3669784000E-05
38    1.9000000000E+00    8.0000000000E-01    2.7940973000E-03    3.4030352100E-05
39    1.9500000000E+00    8.0000000000E-01    2.8077202000E-03    3.4398096400E-05
40    2.0000000000E+00    8.0000000000E-01    2.8215336000E-03    3.4773234000E-05
0    0.0000000000E+00    8.5000000000E-01    -5.1130539500E-05    1.8321694180E-04
1    5.0000000000E-02    8.5000000000E-01    7.0097958000E-03    1.2450383490E-04
2    1.0000000000E-01    8.5000000000E-01    9.6949952000E-03    1.1011523880E-04
3    1.5000000000E-01    8.5000000000E-01    1.0331586800E-02    1.1001646220E-04
4    2.0000000000E-01    8.5000000000E-01    1.0521925600E-02    1.1278849660E-04
5    2.5000000000E-01    8.5000000000E-01    1.0641808600E-02    1.1613311150E-04
6    3.0000000000E-01    8.5000000000E-01    1.0753147300E-02    1.1970051260E-04
7    3.5000000000E-01    8.5000000000E-01    1.0865573000E-02    1.2344788870E-04
8    4.0000000000E-01    8.5000000000E-01    1.0980664400E-02    1.2737859080E-04
9    4.5000000000E-01    8.5000000000E-01    1.1098771200E-02    1.3150356280E-04
10    5.0000000000E-01    8.5000000000E-01    1.1220059900E-02    1.3583575360E-04
11    5.5000000000E-01    8.5000000000E-01    1.1344674800E-02    1.4038938430E-04
12    6.0000000000E-01    8.5000000000E-01    1.1472763800E-02    1.4517994260E-04
13    6.5000000000E-01    8.5000000000E-01    1.1604482900E-02    1.5022429450E-04
14    7.0000000000E-01    8.5000000000E-01    1.1739997000E-02    1.5554083000E-04
15    7.5000000000E-01    8.5000000000E-01    1.1879481100E-02    1.6114962750E-04
16    8.0000000000E-01    8.5000000000E-01    1.2023120900E-02    1.6707264070E-04
17    8.5000000000E-01    8.5000000000E-01    1.2171113400E-02    1.7333390830E-04
18    9.0000000000E-01    8.5000000000E-01    1.2323667900E-02    1.7995979170E-04
19    9.5000000000E-01    8.5000000000E-01    1.2481006600E-02    1.8697924300E-04
20    1.0000000000E+00    8.5000000000E-01    1.2643365700E-02    1.9442410860E-04
21    1.0500000000E+00    8.5000000000E-01    1.2810996500E-02    2.0232947360E-04
22    1.1000000000E+00    8.5000000000E-01    1.2984165900E-02    2.1073405210E-04
23    1.1500000000E+00    8.5000000000E-01    1.3163157800E-02    2.1968063090E-04
24    1.2000000000E+00    8.5000000000E-01    1.3348273900E-02    2.2921657390E-04
25    1.2500000000E+00    8.5000000000E-01    1.3539834900E-02    2.3939439590E-04
26    1.3000000000E+00    8.5000000000E-01    1.3738181800E-02    2.5027241610E-04
27    1.3500000000E+00    8.5000000000E-01    1.3943676200E-02    2.6191550190E-04
28    1.4000000000E+00    8.5000000000E-01    1.4156701900E-02    2.7439591600E-04
