Index       TIME              V(IN)          V(AWL1_OUT)       V(LPF1_OUT)       V(LIM1_OUT)       V(AWL2_OUT)       V(LPF2_OUT)       V(LIM2_OUT)   
76       3.04139353e+00    9.84965188e-02    4.27559735e-01    5.70651387e-01    5.00000000e-01    4.61412380e-01    5.04913848e-01    5.00000000e-01
77       3.05241891e+00    8.75134242e-02    4.23851483e-01    5.65382700e-01    5.00000000e-01    4.59362493e-01    5.02625466e-01    5.00000000e-01
78       3.07446965e+00    6.55166266e-02    4.16275979e-01    5.54720361e-01    5.00000000e-01    4.55164599e-01    4.97953196e-01    4.97953196e-01
79       3.09652039e+00    4.34879415e-02    4.08385595e-01    5.43810466e-01    5.00000000e-01    4.50771367e-01    4.93090790e-01    4.93090790e-01
80       3.11857114e+00    2.14380903e-02    4.00186619e-01    5.32657837e-01    5.00000000e-01    4.46184647e-01    4.88040041e-01    4.88040041e-01
81       3.14062188e+00   -6.22194904e-04    3.91685438e-01    5.21267422e-01    5.00000000e-01    4.41406388e-01    4.82802841e-01    4.82802841e-01
82       3.18472337e+00   -4.47311201e-02    3.73805715e-01    4.97796237e-01    4.97796237e-01    4.31284608e-01    4.71778193e-01    4.71778193e-01
83       3.18932053e+00   -4.93255265e-02    3.71869411e-01    4.95292536e-01    4.95292536e-01    4.30182419e-01    4.70583139e-01    4.70583139e-01
84       3.19391770e+00   -5.39188893e-02    3.69927014e-01    4.92784043e-01    4.92784043e-01    4.29076222e-01    4.69384184e-01    4.69384184e-01
85       3.19851487e+00   -5.85111115e-02    3.67972460e-01    4.90265990e-01    4.90265990e-01    4.27962020e-01    4.68177437e-01    4.68177437e-01
86       3.20770921e+00   -6.76917453e-02    3.64027160e-01    4.85201427e-01    4.85201427e-01    4.25709696e-01    4.65740660e-01    4.65740660e-01
87       3.22609788e+00   -8.60350521e-02    3.55993631e-01    4.74959965e-01    4.74959965e-01    4.21110016e-01    4.60774606e-01    4.60774606e-01
88       3.26287522e+00   -1.22628104e-01    3.39369784e-01    4.54039855e-01    4.54039855e-01    4.11535871e-01    4.50477728e-01    4.50477728e-01
89       3.29965256e+00   -1.59055143e-01    3.22027781e-01    4.32556741e-01    4.32556741e-01    4.01470923e-01    4.39703215e-01    4.39703215e-01
90       3.33642990e+00   -1.95266855e-01    3.04000443e-01    4.10537841e-01    4.10537841e-01    3.90927590e-01    4.28463246e-01    4.28463246e-01
91       3.37320725e+00   -2.31214215e-01    2.85321181e-01    3.88011166e-01    3.88011166e-01    3.79918958e-01    4.16770671e-01    4.16770671e-01
92       3.40998459e+00   -2.66848560e-01    2.66023964e-01    3.65005478e-01    3.65005478e-01    3.68458766e-01    4.04638999e-01    4.04638999e-01
93       3.44676193e+00   -3.02121646e-01    2.46143283e-01    3.41550251e-01    3.41550251e-01    3.56561384e-01    3.92082372e-01    3.92082372e-01
94       3.48353927e+00   -3.36985723e-01    2.25714117e-01    3.17675628e-01    3.17675628e-01    3.44241797e-01    3.79115552e-01    3.79115552e-01
95       3.52031661e+00   -3.71393591e-01    2.04771897e-01    2.93412378e-01    2.93412378e-01    3.31515580e-01    3.65753895e-01    3.65753895e-01
96       3.55709396e+00   -4.05298669e-01    1.83352467e-01    2.68791850e-01    2.68791850e-01    3.18398879e-01    3.52013333e-01    3.52013333e-01
97       3.59387130e+00   -4.38655057e-01    1.61492047e-01    2.43845935e-01    2.43845935e-01    3.04908389e-01    3.37910350e-01    3.37910350e-01
98       3.66742598e+00   -5.03541935e-01    1.16612596e-01    1.93123847e-01    1.93123847e-01    2.76884245e-01    3.08694397e-01    3.08694397e-01
99       3.74098067e+00   -5.65702971e-01    7.04104018e-02    1.41493523e-01    1.41493523e-01    2.47578087e-01    2.78239470e-01    2.78239470e-01
100      3.81453535e+00   -6.24801665e-01    2.31846288e-02    8.92247228e-02    8.92247228e-02    2.17140727e-01    2.46694828e-01    2.46694828e-01
101      3.88809004e+00   -6.80518097e-01   -2.47634963e-02    3.65913503e-02    3.65913503e-02    1.85729385e-01    2.14216191e-01    2.14216191e-01
102      3.96164472e+00   -7.32550655e-01   -7.31320707e-02   -1.61300742e-02   -1.61300742e-02    1.53506825e-01    1.80964880e-01    1.80964880e-01
103      4.03519941e+00   -7.80617669e-01   -1.21619920e-01   -6.86619580e-02   -6.86619580e-02    1.20640466e-01    1.47106920e-01    1.47106920e-01
104      4.10875409e+00   -8.24458936e-01   -1.69928013e-01   -1.20727181e-01   -1.20727181e-01    8.73014648e-02    1.12812129e-01    1.12812129e-01
105      4.18230878e+00   -8.63837128e-01   -2.17760888e-01   -1.72050633e-01   -1.72050633e-01    5.36637801e-02    7.82531706e-02    7.82531706e-02
106      4.25586346e+00   -8.98539079e-01   -2.64828062e-01   -2.22360744e-01   -2.22360744e-01    1.99032242e-02    4.36046114e-02    4.36046114e-02
107      4.32941814e+00   -9.28376934e-01   -3.10845436e-01   -2.71390983e-01   -2.71390983e-01   -1.38034994e-02    9.04195330e-03    9.04195330e-03
108      4.40297283e+00   -9.53189171e-01   -3.55536674e-01   -3.18881336e-01   -3.18881336e-01   -4.72797598e-02   -2.52593310e-02   -2.52593310e-02
109      4.47652751e+00   -9.72841473e-01   -3.98634549e-01   -3.64579743e-01   -3.64579743e-01   -8.03499629e-02   -5.91247638e-02   -5.91247638e-02
110      4.55008220e+00   -9.87227456e-01   -4.39882255e-01   -4.08243484e-01   -4.08243484e-01   -1.12840510e-01   -9.23818219e-02   -9.23818219e-02
111      4.62363688e+00   -9.96269244e-01   -4.79034670e-01   -4.49640527e-01   -4.49640527e-01   -1.44580744e-01   -1.24860886e-01   -1.24860886e-01
112      4.63283122e+00   -9.97020949e-01   -4.83753820e-01   -4.54627475e-01   -4.54627475e-01   -1.48481621e-01   -1.28852004e-01   -1.28852004e-01
113      4.65121989e+00   -9.98271195e-01   -4.93117523e-01   -4.64521893e-01   -4.64521893e-01   -1.56253396e-01   -1.36803434e-01   -1.36803434e-01
114      4.68799723e+00   -9.99757703e-01   -5.02363172e-01   -4.83824165e-01   -4.83824165e-01   -1.71609463e-01   -1.52513902e-01   -1.52513902e-01
115      4.72109684e+00   -9.99938368e-01   -5.02286225e-01   -5.00626281e-01   -5.00000000e-01   -1.85204154e-01   -1.66422027e-01   -1.66422027e-01
116      4.75419645e+00   -9.99022505e-01   -5.02211784e-01   -5.16869339e-01   -5.00000000e-01   -1.98569669e-01   -1.80095831e-01   -1.80095831e-01
117      4.78388066e+00   -9.97269299e-01   -5.02147089e-01   -5.30946715e-01   -5.00000000e-01   -2.10349643e-01   -1.92147976e-01   -1.92147976e-01
118      4.81356487e+00   -9.94636519e-01   -5.02084287e-01   -5.44548182e-01   -5.00000000e-01   -2.21923757e-01   -2.03990251e-01   -2.03990251e-01
119      4.87293329e+00   -9.86742302e-01   -5.01964113e-01   -5.70271311e-01   -5.00000000e-01   -2.44410211e-01   -2.27001262e-01   -2.27001262e-01
