Index        TIME            I(VMON)           V(3)
322     3.51252845e-05   -1.05592780e-02  1.05592780e-02   
323     3.52655591e-05   -1.01487517e-02  1.01487517e-02   
324     3.54058337e-05   -9.75418605e-03  9.75418605e-03   
325     3.55461083e-05   -9.37496039e-03  9.37496039e-03   
326     3.56863829e-05   -9.01047835e-03  9.01047835e-03   
327     3.58266575e-05   -8.66016674e-03  8.66016674e-03   
328     3.59669320e-05   -8.32347463e-03  8.32347463e-03   
329     3.61072066e-05   -7.99987252e-03  7.99987252e-03   
330     3.62474812e-05   -7.68885149e-03  7.68885149e-03   
331     3.63877558e-05   -7.38992242e-03  7.38992242e-03   
332     3.65280304e-05   -7.10261518e-03  7.10261518e-03   
333     3.66683050e-05   -6.82647795e-03  6.82647795e-03   
334     3.68085796e-05   -6.56107644e-03  6.56107644e-03   
335     3.69488542e-05   -6.30599329e-03  6.30599329e-03   
336     3.70891287e-05   -6.06082732e-03  6.06082732e-03   
337     3.72294033e-05   -5.82519297e-03  5.82519297e-03   
338     3.73696779e-05   -5.59871967e-03  5.59871967e-03   
339     3.75099525e-05   -5.38105126e-03  5.38105126e-03   
340     3.76502271e-05   -5.17184541e-03  5.17184541e-03   
341     3.77905017e-05   -4.97077313e-03  4.97077313e-03   
342     3.79307763e-05   -4.77751818e-03  4.77751818e-03   
343     3.80710509e-05   -4.59177664e-03  4.59177664e-03   
344     3.83516000e-05   -4.24131759e-03  4.24131759e-03   
345     3.86321492e-05   -3.91748360e-03  3.91748360e-03   
346     3.89126984e-05   -3.61833286e-03  3.61833286e-03   
347     3.91932476e-05   -3.34201171e-03  3.34201171e-03   
348     3.94737967e-05   -3.08678741e-03  3.08678741e-03   
349     3.97543459e-05   -2.85105249e-03  2.85105249e-03   
350     4.00348951e-05   -2.63331984e-03  2.63331984e-03   
351     4.03154443e-05   -2.43221506e-03  2.43221506e-03   
352     4.05959934e-05   -2.24646845e-03  2.24646845e-03   
353     4.08765426e-05   -2.07490715e-03  2.07490715e-03   
354     4.11570918e-05   -1.91644786e-03  1.91644786e-03   
355     4.14376410e-05   -1.77009001e-03  1.77009001e-03   
356     4.17181901e-05   -1.63490940e-03  1.63490940e-03   
357     4.19987393e-05   -1.51005245e-03  1.51005245e-03   
358     4.22792885e-05   -1.39473075e-03  1.39473075e-03   
359     4.25598377e-05   -1.28821608e-03  1.28821608e-03   
360     4.28403868e-05   -1.18983587e-03  1.18983587e-03   
361     4.31209360e-05   -1.09896889e-03  1.09896889e-03   
362     4.34014852e-05   -1.01504136e-03  1.01504136e-03   
363     4.36820344e-05   -9.37523323e-04  9.37523323e-04   
364     4.39625835e-05   -8.65925286e-04  8.65925286e-04   
365     4.42431327e-05   -7.99795144e-04  7.99795144e-04   
366     4.45236819e-05   -7.38715317e-04  7.38715317e-04   
367     4.48042311e-05   -6.82300116e-04  6.82300116e-04   
368     4.50847802e-05   -6.30193307e-04  6.30193307e-04   
369     4.53653294e-05   -5.82065860e-04  5.82065860e-04   
370     4.56458786e-05   -5.37613875e-04  5.37613875e-04   
371     4.59264278e-05   -4.96556659e-04  4.96556659e-04   
372     4.62069769e-05   -4.58634955e-04  4.58634955e-04   
373     4.64875261e-05   -4.23609306e-04  4.23609306e-04   
374     4.67680753e-05   -3.91258543e-04  3.91258543e-04   
375     4.70486245e-05   -3.61378387e-04  3.61378387e-04   
376     4.76097228e-05   -3.08075095e-04  3.08075095e-04   
377     4.81708212e-05   -2.62558237e-04  2.62558237e-04   
378     4.87319195e-05   -2.23739507e-04  2.23739507e-04   
379     4.92930179e-05   -1.90650569e-04  1.90650569e-04   
380     4.98541162e-05   -1.62451815e-04  1.62451815e-04   
381     5.04152146e-05   -1.38422698e-04  1.38422698e-04   
382     5.09763129e-05   -1.17947435e-04  1.17947435e-04   
383     5.15374113e-05   -1.00500692e-04  1.00500692e-04   
384     5.20985096e-05   -8.56346126e-05  8.56346126e-05   
385     5.26596080e-05   -7.29675075e-05  7.29675075e-05   
386     5.32207063e-05   -6.21741189e-05  6.21741189e-05   
387     5.37818047e-05   -5.29772912e-05  5.29772912e-05   
388     5.43429030e-05   -4.51408621e-05  4.51408621e-05   
389     5.49040014e-05   -3.84636015e-05  3.84636015e-05   
390     5.60261981e-05   -2.77583005e-05  2.77583005e-05   
391     5.71483948e-05   -1.99689372e-05  1.99689372e-05   
392     5.82705915e-05   -1.43411297e-05  1.43411297e-05   
393     5.93927882e-05   -1.02901217e-05  1.02901217e-05   
394     6.05149849e-05   -7.37986777e-06  7.37986777e-06   
395     6.16371816e-05   -5.29132954e-06  5.29132954e-06   
396     6.27593783e-05   -3.79333483e-06  3.79333483e-06   
397     6.38815750e-05   -2.71922722e-06  2.71922722e-06   
398     6.61259684e-05   -1.30863494e-06  1.30863494e-06   
399     6.83703618e-05   -5.89307877e-07  5.89307877e-07   
400     7.06147552e-05   -2.45673730e-07  2.45673730e-07   
401     7.28591486e-05   -9.21659146e-08  9.21659146e-08   
402     7.73479354e-05   3.98526734e-08   -3.98526734e-08  
403     8.18367222e-05   4.54396695e-08   -4.54396695e-08  
404     9.08142958e-05   3.39309768e-08   -3.39309768e-08  
405     9.97918694e-05   1.11834879e-08   -1.11834879e-08  
406     1.00000000e-04   1.05516250e-08   -1.05516250e-08  
End of Xyce(TM) Simulation
