Index      V(COLL)           V(BASE)          I(V_COLL)         I(V_BASE)    
9        4.50000000e-01    8.00000000e-01    1.16750131e-03    3.16404225e-06
10       5.00000000e-01    8.00000000e-01    1.17006327e-03    3.17566867e-06
11       5.50000000e-01    8.00000000e-01    1.17258662e-03    3.18767916e-06
12       6.00000000e-01    8.00000000e-01    1.17508211e-03    3.19990479e-06
13       6.50000000e-01    8.00000000e-01    1.17755762e-03    3.21228136e-06
14       7.00000000e-01    8.00000000e-01    1.18001906e-03    3.22478275e-06
15       7.50000000e-01    8.00000000e-01    1.18247099e-03    3.23739855e-06
16       8.00000000e-01    8.00000000e-01    1.18491699e-03    3.25012590e-06
17       8.50000000e-01    8.00000000e-01    1.18736138e-03    3.26186109e-06
18       9.00000000e-01    8.00000000e-01    1.18980511e-03    3.27366413e-06
19       9.50000000e-01    8.00000000e-01    1.19225124e-03    3.28466402e-06
20       1.00000000e+00    8.00000000e-01    1.19470210e-03    3.29432084e-06
21       1.05000000e+00    8.00000000e-01    1.19716007e-03    3.30187224e-06
22       1.10000000e+00    8.00000000e-01    1.19962770e-03    3.30627824e-06
23       1.15000000e+00    8.00000000e-01    1.20210787e-03    3.30616016e-06
24       1.20000000e+00    8.00000000e-01    1.20460387e-03    3.29973218e-06
25       1.25000000e+00    8.00000000e-01    1.20711957e-03    3.28472182e-06
26       1.30000000e+00    8.00000000e-01    1.20965957e-03    3.25827238e-06
27       1.35000000e+00    8.00000000e-01    1.21222938e-03    3.21681765e-06
28       1.40000000e+00    8.00000000e-01    1.21483572e-03    3.15591538e-06
29       1.45000000e+00    8.00000000e-01    1.21748677e-03    3.07002541e-06
30       1.50000000e+00    8.00000000e-01    1.22019265e-03    2.95222093e-06
31       1.55000000e+00    8.00000000e-01    1.22296593e-03    2.79383119e-06
32       1.60000000e+00    8.00000000e-01    1.22582218e-03    2.58403181e-06
33       1.65000000e+00    8.00000000e-01    1.22878064e-03    2.30942207e-06
34       1.70000000e+00    8.00000000e-01    1.23186477e-03    1.95364961e-06
35       1.75000000e+00    8.00000000e-01    1.23510267e-03    1.49714806e-06
36       1.80000000e+00    8.00000000e-01    1.23852725e-03    9.17031558e-07
37       1.85000000e+00    8.00000000e-01    1.24217632e-03    1.87142783e-07
38       1.90000000e+00    8.00000000e-01    1.24609238e-03   -7.21803338e-07
39       1.95000000e+00    8.00000000e-01    1.25032252e-03   -1.84206960e-06
40       2.00000000e+00    8.00000000e-01    1.25491843e-03   -3.20882081e-06
0        0.00000000e+00    8.50000000e-01   -9.36955797e-05    1.75593784e-04
1        5.00000000e-02    8.50000000e-01    3.69268215e-03    7.48530699e-05
2        1.00000000e-01    8.50000000e-01    4.78304239e-03    3.68235197e-05
3        1.50000000e-01    8.50000000e-01    5.05188954e-03    2.24241967e-05
4        2.00000000e-01    8.50000000e-01    5.14439989e-03    1.75716619e-05
5        2.50000000e-01    8.50000000e-01    5.19744674e-03    1.61700823e-05
6        3.00000000e-01    8.50000000e-01    5.23923738e-03    1.58947216e-05
7        3.50000000e-01    8.50000000e-01    5.27666747e-03    1.59773942e-05
8        4.00000000e-01    8.50000000e-01    5.31196075e-03    1.61791211e-05
9        4.50000000e-01    8.50000000e-01    5.34606750e-03    1.64257405e-05
10       5.00000000e-01    8.50000000e-01    5.37949105e-03    1.66935531e-05
11       5.50000000e-01    8.50000000e-01    5.41253795e-03    1.69746771e-05
12       6.00000000e-01    8.50000000e-01    5.44541247e-03    1.72664311e-05
13       6.50000000e-01    8.50000000e-01    5.47825946e-03    1.75679544e-05
14       7.00000000e-01    8.50000000e-01    5.51118663e-03    1.78790723e-05
15       7.50000000e-01    8.50000000e-01    5.54427724e-03    1.81999032e-05
16       8.00000000e-01    8.50000000e-01    5.57759729e-03    1.85307280e-05
17       8.50000000e-01    8.50000000e-01    5.61120087e-03    1.88718819e-05
18       9.00000000e-01    8.50000000e-01    5.64514290e-03    1.92194778e-05
19       9.50000000e-01    8.50000000e-01    5.67945506e-03    1.95778505e-05
20       1.00000000e+00    8.50000000e-01    5.71418015e-03    1.99439692e-05
21       1.05000000e+00    8.50000000e-01    5.74935541e-03    2.03159516e-05
22       1.10000000e+00    8.50000000e-01    5.78501806e-03    2.06909165e-05
23       1.15000000e+00    8.50000000e-01    5.82120668e-03    2.10647062e-05
24       1.20000000e+00    8.50000000e-01    5.85796254e-03    2.14315748e-05
25       1.25000000e+00    8.50000000e-01    5.89533105e-03    2.17838362e-05
26       1.30000000e+00    8.50000000e-01    5.93336320e-03    2.21114548e-05
27       1.35000000e+00    8.50000000e-01    5.97211732e-03    2.24015511e-05
28       1.40000000e+00    8.50000000e-01    6.01166112e-03    2.26377768e-05
29       1.45000000e+00    8.50000000e-01    6.05207428e-03    2.27994980e-05
30       1.50000000e+00    8.50000000e-01    6.09345180e-03    2.28607191e-05
31       1.55000000e+00    8.50000000e-01    6.13590831e-03    2.27886761e-05
32       1.60000000e+00    8.50000000e-01    6.17958352e-03    2.25420668e-05
33       1.65000000e+00    8.50000000e-01    6.22464886e-03    2.20689477e-05
34       1.70000000e+00    8.50000000e-01    6.27131506e-03    2.13044223e-05
35       1.75000000e+00    8.50000000e-01    6.31984020e-03    2.01683471e-05
36       1.80000000e+00    8.50000000e-01    6.37053772e-03    1.85633405e-05
37       1.85000000e+00    8.50000000e-01    6.42378355e-03    1.63733334e-05
38       1.90000000e+00    8.50000000e-01    6.48002241e-03    1.34627418e-05
