Index        TIME        {V(2)+11000.0}     {V(3)+1.0}
268     3.91243516e-09   1.31983043e+03   1.38706807e+00   
269     3.92665042e-09   1.32200508e+03   1.38913388e+00   
270     3.94086568e-09   1.32418744e+03   1.39120468e+00   
271     3.95508094e-09   1.32637580e+03   1.39327937e+00   
272     3.96929620e-09   1.32857015e+03   1.39535794e+00   
273     3.98368263e-09   1.33080228e+03   1.39746890e+00   
274     3.99806906e-09   1.33304231e+03   1.39958497e+00   
275     4.01245550e-09   1.33529022e+03   1.40170616e+00   
276     4.02684193e-09   1.33754427e+03   1.40383132e+00   
277     4.04122836e-09   1.33980445e+03   1.40596045e+00   
278     4.05578930e-09   1.34210368e+03   1.40812293e+00   
279     4.07035024e-09   1.34441097e+03   1.41029065e+00   
280     4.08491118e-09   1.34672634e+03   1.41246359e+00   
281     4.09947212e-09   1.34904798e+03   1.41464059e+00   
282     4.11403306e-09   1.35137590e+03   1.41682166e+00   
283     4.12877189e-09   1.35374415e+03   1.41903708e+00   
284     4.14351072e-09   1.35612066e+03   1.42125785e+00   
285     4.15824955e-09   1.35850544e+03   1.42348396e+00   
286     4.17298838e-09   1.36089663e+03   1.42571424e+00   
287     4.18772721e-09   1.36329425e+03   1.42794867e+00   
288     4.20264738e-09   1.36573354e+03   1.43021847e+00   
289     4.21756755e-09   1.36818129e+03   1.43249374e+00   
290     4.23248771e-09   1.37063749e+03   1.43477449e+00   
291     4.24740788e-09   1.37310027e+03   1.43705949e+00   
292     4.26232804e-09   1.37556961e+03   1.43934874e+00   
293     4.27743305e-09   1.37808201e+03   1.44167442e+00   
294     4.29253805e-09   1.38060307e+03   1.44400570e+00   
295     4.30764306e-09   1.38313278e+03   1.44634257e+00   
296     4.32274806e-09   1.38566921e+03   1.44868380e+00   
297     4.33785307e-09   1.38821237e+03   1.45102938e+00   
298     4.35314647e-09   1.39080002e+03   1.45341247e+00   
299     4.36843988e-09   1.39339652e+03   1.45580129e+00   
300     4.38373329e-09   1.39600188e+03   1.45819585e+00   
301     4.39902669e-09   1.39861413e+03   1.46059485e+00   
302     4.41432010e-09   1.40123326e+03   1.46299831e+00   
303     4.42980553e-09   1.40389834e+03   1.46544039e+00   
304     4.44529097e-09   1.40657250e+03   1.46788835e+00   
305     4.46077640e-09   1.40925572e+03   1.47034216e+00   
306     4.47626183e-09   1.41194600e+03   1.47280053e+00   
307     4.49174727e-09   1.41464333e+03   1.47526347e+00   
308     4.50742842e-09   1.41738812e+03   1.47776617e+00   
309     4.52310957e-09   1.42014220e+03   1.48027489e+00   
310     4.53879072e-09   1.42290558e+03   1.48278960e+00   
311     4.55447187e-09   1.42567617e+03   1.48530898e+00   
312     4.57015303e-09   1.42845398e+03   1.48783303e+00   
313     4.58603365e-09   1.43128082e+03   1.49039804e+00   
314     4.60191428e-09   1.43411718e+03   1.49296920e+00   
315     4.61779491e-09   1.43696305e+03   1.49554650e+00   
316     4.63367553e-09   1.43981631e+03   1.49812858e+00   
317     4.64955616e-09   1.44267697e+03   1.50071543e+00   
318     4.66564009e-09   1.44558828e+03   1.50334446e+00   
319     4.68172402e-09   1.44850933e+03   1.50597979e+00   
320     4.69780795e-09   1.45144013e+03   1.50862141e+00   
321     4.71389188e-09   1.45437850e+03   1.51126793e+00   
322     4.72997581e-09   1.45732444e+03   1.51391933e+00   
323     4.74626694e-09   1.46032270e+03   1.51661417e+00   
324     4.76255806e-09   1.46333094e+03   1.51931545e+00   
325     4.77884919e-09   1.46634916e+03   1.52202318e+00   
326     4.79514032e-09   1.46937514e+03   1.52473591e+00   
327     4.81143145e-09   1.47240888e+03   1.52745366e+00   
328     4.82793375e-09   1.47549666e+03   1.53021613e+00   
329     4.84443605e-09   1.47859467e+03   1.53298521e+00   
330     4.86093835e-09   1.48170289e+03   1.53576088e+00   
331     4.87744065e-09   1.48481907e+03   1.53854168e+00   
332     4.89394295e-09   1.48794319e+03   1.54132761e+00   
333     4.91066047e-09   1.49112314e+03   1.54415961e+00   
334     4.92737799e-09   1.49431357e+03   1.54699837e+00   
335     4.94409550e-09   1.49751447e+03   1.54984388e+00   
336     4.96081302e-09   1.50072351e+03   1.55269465e+00   
337     4.97753054e-09   1.50394069e+03   1.55555066e+00   
338     4.99446740e-09   1.50721554e+03   1.55845412e+00   
339     5.01140427e-09   1.51050113e+03   1.56136451e+00   
340     5.02834113e-09   1.51379744e+03   1.56428182e+00   
341     5.04527800e-09   1.51710210e+03   1.56720450e+00   
342     5.06221486e-09   1.52041510e+03   1.57013257e+00   
343     5.07937528e-09   1.52378767e+03   1.57310949e+00   
344     5.09653570e-09   1.52717124e+03   1.57609351e+00   
345     5.11369611e-09   1.53056580e+03   1.57908462e+00   
346     5.13085653e-09   1.53396891e+03   1.58208124e+00   
347     5.14801695e-09   1.53738058e+03   1.58508337e+00   
348     5.16540521e-09   1.54085377e+03   1.58813583e+00   
349     5.18279348e-09   1.54433823e+03   1.59119555e+00   
350     5.20018174e-09   1.54783397e+03   1.59426253e+00   
351     5.21757001e-09   1.55133847e+03   1.59733516e+00   
352     5.23495827e-09   1.55485173e+03   1.60041343e+00   
353     5.25257876e-09   1.55842854e+03   1.60354354e+00   
354     5.27019925e-09   1.56201692e+03   1.60668109e+00   
355     5.28781974e-09   1.56561684e+03   1.60982608e+00   
356     5.30544024e-09   1.56922574e+03   1.61297685e+00   
357     5.32306073e-09   1.57284363e+03   1.61613341e+00   
