Index        TIME           V(VINP)
3.550000e+02  1.290212e-04  2.062464e+00
3.560000e+02  1.293748e-04  2.097858e+00
3.570000e+02  1.297284e-04  2.133030e+00
3.580000e+02  1.300821e-04  2.167965e+00
3.590000e+02  1.304357e-04  2.202643e+00
3.600000e+02  1.307894e-04  2.237049e+00
3.610000e+02  1.314966e-04  2.304974e+00
3.620000e+02  1.322039e-04  2.371605e+00
3.630000e+02  1.329112e-04  2.436812e+00
3.640000e+02  1.336185e-04  2.500466e+00
3.650000e+02  1.343257e-04  2.562440e+00
3.660000e+02  1.347917e-04  2.602295e+00
3.670000e+02  1.352577e-04  2.641333e+00
3.680000e+02  1.357237e-04  2.679522e+00
3.690000e+02  1.361897e-04  2.716829e+00
3.700000e+02  1.366557e-04  2.753221e+00
3.710000e+02  1.371217e-04  2.788667e+00
3.720000e+02  1.375877e-04  2.823137e+00
3.730000e+02  1.380537e-04  2.856601e+00
3.740000e+02  1.385197e-04  2.889032e+00
3.750000e+02  1.389857e-04  2.920400e+00
3.760000e+02  1.394517e-04  2.950679e+00
3.770000e+02  1.399177e-04  2.979843e+00
3.780000e+02  1.403837e-04  3.007867e+00
3.790000e+02  1.408497e-04  3.034727e+00
3.800000e+02  1.413156e-04  3.060400e+00
3.810000e+02  1.417816e-04  3.084864e+00
3.820000e+02  1.422476e-04  3.108099e+00
3.830000e+02  1.427136e-04  3.130083e+00
3.840000e+02  1.431796e-04  3.150798e+00
3.850000e+02  1.436456e-04  3.170227e+00
3.860000e+02  1.441116e-04  3.188353e+00
3.870000e+02  1.445776e-04  3.205160e+00
3.880000e+02  1.450436e-04  3.220634e+00
3.890000e+02  1.455096e-04  3.234762e+00
3.900000e+02  1.459756e-04  3.247531e+00
3.910000e+02  1.464416e-04  3.258931e+00
3.920000e+02  1.469076e-04  3.268951e+00
3.930000e+02  1.473736e-04  3.277584e+00
3.940000e+02  1.478396e-04  3.284821e+00
3.950000e+02  1.483056e-04  3.290658e+00
3.960000e+02  1.487716e-04  3.295087e+00
3.970000e+02  1.492376e-04  3.298107e+00
3.980000e+02  1.497035e-04  3.299713e+00
3.990000e+02  1.501695e-04  3.299906e+00
4.000000e+02  1.506355e-04  3.298685e+00
4.010000e+02  1.511015e-04  3.296050e+00
4.020000e+02  1.515675e-04  3.292003e+00
4.030000e+02  1.520335e-04  3.286550e+00
4.040000e+02  1.524995e-04  3.279693e+00
4.050000e+02  1.529655e-04  3.271440e+00
4.060000e+02  1.534315e-04  3.261797e+00
4.070000e+02  1.538975e-04  3.250772e+00
4.080000e+02  1.543635e-04  3.238374e+00
4.090000e+02  1.548295e-04  3.224615e+00
4.100000e+02  1.552955e-04  3.209507e+00
4.110000e+02  1.557615e-04  3.193062e+00
4.120000e+02  1.562275e-04  3.175293e+00
4.130000e+02  1.566935e-04  3.156217e+00
4.140000e+02  1.571595e-04  3.135851e+00
4.150000e+02  1.576255e-04  3.114211e+00
4.160000e+02  1.580914e-04  3.091315e+00
4.170000e+02  1.585574e-04  3.067183e+00
4.180000e+02  1.590234e-04  3.041837e+00
4.190000e+02  1.594894e-04  3.015298e+00
4.200000e+02  1.599554e-04  2.987589e+00
4.210000e+02  1.604214e-04  2.958733e+00
4.220000e+02  1.608874e-04  2.928755e+00
4.230000e+02  1.613534e-04  2.897681e+00
4.240000e+02  1.618194e-04  2.865537e+00
4.250000e+02  1.622854e-04  2.832352e+00
4.260000e+02  1.627514e-04  2.798152e+00
4.270000e+02  1.632174e-04  2.762969e+00
4.280000e+02  1.636834e-04  2.726831e+00
4.290000e+02  1.641494e-04  2.689771e+00
4.300000e+02  1.646154e-04  2.651819e+00
4.310000e+02  1.650814e-04  2.613009e+00
4.320000e+02  1.655474e-04  2.573373e+00
4.330000e+02  1.660134e-04  2.532945e+00
4.340000e+02  1.664793e-04  2.491760e+00
4.350000e+02  1.669453e-04  2.449855e+00
4.360000e+02  1.674113e-04  2.407263e+00
4.370000e+02  1.678773e-04  2.364022e+00
4.380000e+02  1.683433e-04  2.320169e+00
4.390000e+02  1.688093e-04  2.275741e+00
4.400000e+02  1.692753e-04  2.230778e+00
4.410000e+02  1.697413e-04  2.185316e+00
4.420000e+02  1.702073e-04  2.139396e+00
4.430000e+02  1.706733e-04  2.093055e+00
4.440000e+02  1.711393e-04  2.046336e+00
4.450000e+02  1.716053e-04  1.999276e+00
4.460000e+02  1.720713e-04  1.951917e+00
4.470000e+02  1.725373e-04  1.904299e+00
4.480000e+02  1.730033e-04  1.856464e+00
4.490000e+02  1.734693e-04  1.808451e+00
4.500000e+02  1.739353e-04  1.760302e+00
4.510000e+02  1.744013e-04  1.712059e+00
4.520000e+02  1.748672e-04  1.663763e+00
4.530000e+02  1.753332e-04  1.615455e+00
4.540000e+02  1.757992e-04  1.567176e+00
4.550000e+02  1.762652e-04  1.518969e+00
4.560000e+02  1.767312e-04  1.470873e+00
4.570000e+02  1.771972e-04  1.422932e+00
4.580000e+02  1.776632e-04  1.375185e+00
4.590000e+02  1.781292e-04  1.327673e+00
4.600000e+02  1.785952e-04  1.280438e+00
4.610000e+02  1.790612e-04  1.233520e+00
4.620000e+02  1.795272e-04  1.186958e+00
4.630000e+02  1.799932e-04  1.140794e+00
4.640000e+02  1.804592e-04  1.095066e+00
4.650000e+02  1.809252e-04  1.049814e+00
4.660000e+02  1.813912e-04  1.005076e+00
4.670000e+02  1.818572e-04  9.608914e-01
4.680000e+02  1.823232e-04  9.172972e-01
4.690000e+02  1.827892e-04  8.743312e-01
4.700000e+02  1.832551e-04  8.320299e-01
4.710000e+02  1.837211e-04  7.904300e-01
4.720000e+02  1.841871e-04  7.495669e-01
4.730000e+02  1.846531e-04  7.094756e-01
4.740000e+02  1.851191e-04  6.701906e-01
