Index   TIME           V(1)           V(2)           V(3)           V(4)           
112     2.99999557e+00   1.44342322e+00   6.48998794e+00   1.59393688e-01   8.12243890e-01   
113     2.99999682e+00   1.31808573e+00   6.48999135e+00   1.19943659e-01   8.12244118e-01   
114     2.99999752e+00   1.24758340e+00   6.48999327e+00   9.60695858e-02   8.12244246e-01   
115     2.99999823e+00   1.17708106e+00   6.48999518e+00   7.08063707e-02   8.12244374e-01   
116     2.99999893e+00   1.10657872e+00   6.48999710e+00   4.39823140e-02   8.12244503e-01   
117     2.99999946e+00   1.05370197e+00   6.48999854e+00   2.27177903e-02   8.12244599e-01   
118     2.99999986e+00   1.01404440e+00   6.48999962e+00   6.05697140e-03   8.12244671e-01   
119     2.99999996e+00   1.00351110e+00   6.48999990e+00   1.52218075e-03   8.12244690e-01   
120     3.00000000e+00   1.00000000e+00   6.49000000e+00   2.54109884e-21   8.12244697e-01   
121     3.00000011e+00   9.99999905e-01   6.49000070e+00   -4.11714028e-08  8.12244743e-01   
122     3.00000025e+00   9.99999772e-01   6.49000167e+00   -9.89442160e-08  8.12244809e-01   
123     3.00000055e+00   9.99999506e-01   6.49000363e+00   -2.14489866e-07  8.12244940e-01   
124     3.00000114e+00   9.99998974e-01   6.49000754e+00   -4.45581257e-07  8.12245201e-01   
125     3.00000232e+00   9.99997910e-01   6.49001535e+00   -9.07764409e-07  8.12245724e-01   
126     3.00000469e+00   9.99995781e-01   6.49003098e+00   -1.83213219e-06  8.12246770e-01   
127     3.00000942e+00   9.99991525e-01   6.49006225e+00   -3.68087365e-06  8.12248862e-01   
128     3.00001888e+00   9.99983011e-01   6.49012478e+00   -7.37838018e-06  8.12253046e-01   
129     3.00003780e+00   9.99965983e-01   6.49024983e+00   -1.47734877e-05  8.12261415e-01   
130     3.00007563e+00   9.99931929e-01   6.49049995e+00   -2.95640805e-05  8.12278151e-01   
131     3.00015131e+00   9.99863819e-01   6.49100018e+00   -5.91467773e-05  8.12311621e-01   
132     3.00030267e+00   9.99727599e-01   6.49200063e+00   -1.18318217e-04  8.12378553e-01   
133     3.00060538e+00   9.99455160e-01   6.49400154e+00   -2.36685287e-04  8.12512388e-01   
134     3.00121080e+00   9.98910283e-01   6.49800337e+00   -4.73516255e-04  8.12779932e-01   
135     3.00242164e+00   9.97820527e-01   6.50600702e+00   -9.47565991e-04  8.13314527e-01   
136     3.00484332e+00   9.95641016e-01   6.52201431e+00   -1.89722063e-03  8.14381748e-01   
137     3.00968667e+00   9.91281994e-01   6.55402891e+00   -3.80278241e-03  8.16508353e-01   
138     3.01937339e+00   9.82563950e-01   6.61805810e+00   -7.63917411e-03  8.20730576e-01   
139     3.03874682e+00   9.65127862e-01   6.74611648e+00   -1.54151469e-02  8.29053836e-01   
140     3.07749368e+00   9.30255685e-01   7.00223325e+00   -3.13976673e-02  8.45236573e-01   
141     3.15498741e+00   8.60511331e-01   7.51446678e+00   -6.52434064e-02  8.75898169e-01   
142     3.19196963e+00   8.27227335e-01   7.75891924e+00   -8.23751232e-02  8.89801232e-01   
143     3.22895185e+00   7.93943338e-01   8.00337170e+00   -1.00210491e-01  9.03272988e-01   
144     3.26593406e+00   7.60659342e-01   8.24782417e+00   -1.18809797e-01  9.16339394e-01   
