Index        TIME            V(OBJ)
358     2.49972200e-04   6.06369492e-01   
359     2.50136040e-04   6.05375741e-01   
360     2.50299880e-04   6.04383618e-01   
361     2.50463720e-04   6.03393121e-01   
362     2.50627560e-04   6.02404247e-01   
363     2.50791400e-04   6.01416994e-01   
364     2.50955240e-04   6.00431359e-01   
365     2.51119080e-04   5.99447339e-01   
366     2.51282920e-04   5.98464932e-01   
367     2.51446760e-04   5.97484135e-01   
368     2.51610600e-04   5.96504945e-01   
369     2.51774440e-04   5.95527360e-01   
370     2.51938280e-04   5.94551377e-01   
371     2.52102120e-04   5.93576994e-01   
372     2.52265960e-04   5.92604207e-01   
373     2.52429800e-04   5.91633015e-01   
374     2.52593640e-04   5.90663415e-01   
375     2.52757480e-04   5.89695403e-01   
376     2.52921320e-04   5.88728978e-01   
377     2.53085160e-04   5.87764137e-01   
378     2.53249000e-04   5.86800877e-01   
379     2.53412840e-04   5.85839195e-01   
380     2.53576680e-04   5.84879090e-01   
381     2.53740520e-04   5.83920558e-01   
382     2.53904360e-04   5.82963597e-01   
383     2.54068200e-04   5.82008204e-01   
384     2.54232040e-04   5.81054377e-01   
385     2.54395880e-04   5.80102113e-01   
386     2.54559720e-04   5.79151410e-01   
387     2.54723560e-04   5.78202265e-01   
388     2.54887400e-04   5.77254676e-01   
389     2.55051240e-04   5.76308639e-01   
390     2.55215080e-04   5.75364153e-01   
391     2.55378920e-04   5.74421215e-01   
392     2.55542760e-04   5.73479822e-01   
393     2.55706600e-04   5.72539972e-01   
394     2.55870440e-04   5.71601662e-01   
395     2.56034280e-04   5.70664890e-01   
396     2.56198120e-04   5.69729653e-01   
397     2.56361960e-04   5.68795948e-01   
398     2.56525800e-04   5.67863775e-01   
399     2.56689640e-04   5.66933128e-01   
400     2.56853480e-04   5.66004007e-01   
401     2.57017320e-04   5.65076409e-01   
402     2.57181160e-04   5.64150331e-01   
403     2.57345000e-04   5.63225770e-01   
404     2.57508840e-04   5.62302725e-01   
405     2.57672680e-04   5.61381192e-01   
406     2.57836520e-04   5.60461170e-01   
407     2.58000360e-04   5.59542656e-01   
408     2.58164200e-04   5.58625646e-01   
409     2.58328040e-04   5.57710140e-01   
410     2.58491880e-04   5.56796134e-01   
411     2.58655720e-04   5.55883626e-01   
412     2.58819560e-04   5.54972614e-01   
413     2.58983400e-04   5.54063094e-01   
414     2.59147240e-04   5.53155065e-01   
415     2.59311080e-04   5.52248524e-01   
416     2.59474920e-04   5.51343469e-01   
417     2.59638760e-04   5.50439897e-01   
418     2.59802600e-04   5.49537806e-01   
419     2.59966440e-04   5.48637194e-01   
420     2.60130280e-04   5.47738057e-01   
421     2.60294120e-04   5.46840394e-01   
422     2.60457960e-04   5.45944202e-01   
423     2.60621800e-04   5.45049479e-01   
424     2.60785640e-04   5.44156222e-01   
425     2.60949480e-04   5.43264429e-01   
426     2.61113320e-04   5.42374097e-01   
427     2.61277160e-04   5.41485225e-01   
428     2.61441000e-04   5.40597809e-01   
429     2.61604840e-04   5.39711848e-01   
430     2.61768680e-04   5.38827338e-01   
431     2.61932520e-04   5.37944279e-01   
432     2.62096360e-04   5.37062666e-01   
433     2.62260200e-04   5.36182498e-01   
434     2.62424040e-04   5.35303773e-01   
435     2.62587880e-04   5.34426488e-01   
436     2.62751720e-04   5.33550640e-01   
437     2.62915560e-04   5.32676228e-01   
438     2.63079400e-04   5.31803249e-01   
439     2.63243240e-04   5.30931701e-01   
440     2.63407080e-04   5.30061581e-01   
441     2.63570920e-04   5.29192887e-01   
442     2.63734760e-04   5.28325617e-01   
443     2.63898600e-04   5.27459768e-01   
444     2.64062440e-04   5.26595338e-01   
445     2.64226280e-04   5.25732325e-01   
446     2.64390120e-04   5.24870726e-01   
447     2.64553960e-04   5.24010539e-01   
448     2.64717800e-04   5.23151762e-01   
449     2.64881640e-04   5.22294392e-01   
450     2.65045480e-04   5.21438427e-01   
451     2.65209320e-04   5.20583865e-01   
452     2.65373160e-04   5.19730704e-01   
453     2.65537000e-04   5.18878941e-01   
454     2.65700840e-04   5.18028574e-01   
455     2.65864680e-04   5.17179600e-01   
456     2.66028520e-04   5.16332018e-01   
457     2.66192360e-04   5.15485825e-01   
458     2.66356200e-04   5.14641018e-01   
459     2.66520040e-04   5.13797596e-01   
460     2.66683880e-04   5.12955557e-01   
461     2.66847720e-04   5.12114897e-01   
462     2.67011560e-04   5.11275615e-01   
463     2.67175400e-04   5.10437708e-01   
464     2.67339240e-04   5.09601175e-01   
465     2.67503080e-04   5.08766013e-01   
466     2.67666920e-04   5.07932219e-01   
467     2.67830760e-04   5.07099792e-01   
468     2.67994600e-04   5.06268729e-01   
469     2.68158440e-04   5.05439028e-01   
470     2.68322280e-04   5.04610687e-01   
471     2.68486120e-04   5.03783703e-01   
472     2.68649960e-04   5.02958075e-01   
473     2.68813800e-04   5.02133800e-01   
474     2.68977640e-04   5.01310875e-01   
475     2.69141480e-04   5.00489300e-01   
476     2.69305320e-04   4.99669070e-01   
477     2.69469160e-04   4.98850185e-01   
478     2.69633000e-04   4.98032642e-01   
479     2.69796840e-04   4.97216439e-01   
480     2.69960680e-04   4.96401574e-01   
481     2.70124520e-04   4.95588044e-01   
482     2.70288360e-04   4.94775847e-01   
483     2.70452200e-04   4.93964981e-01   
484     2.70616040e-04   4.93155444e-01   
485     2.70779880e-04   4.92347234e-01   
486     2.70943720e-04   4.91540348e-01   
487     2.71107560e-04   4.90734785e-01   
488     2.71271400e-04   4.89930542e-01   
489     2.71435240e-04   4.89127617e-01   
490     2.71599080e-04   4.88326008e-01   
491     2.71762920e-04   4.87525712e-01   
492     2.71926760e-04   4.86726729e-01   
493     2.72090600e-04   4.85929054e-01   
494     2.72254440e-04   4.85132687e-01   
495     2.72418280e-04   4.84337625e-01   
496     2.72582120e-04   4.83543866e-01   
497     2.72745960e-04   4.82751408e-01   
498     2.72909800e-04   4.81960248e-01   
499     2.73073640e-04   4.81170385e-01   
500     2.73237480e-04   4.80381817e-01   
501     2.73401320e-04   4.79594541e-01   
502     2.73565160e-04   4.78808555e-01   
503     2.73729000e-04   4.78023858e-01   
504     2.73892840e-04   4.77240446e-01   
505     2.74056680e-04   4.76458318e-01   
506     2.74220520e-04   4.75677472e-01   
507     2.74384360e-04   4.74897906e-01   
508     2.74548200e-04   4.74119617e-01   
509     2.74712040e-04   4.73342604e-01   
510     2.74875880e-04   4.72566864e-01   
511     2.75039720e-04   4.71792396e-01   
512     2.75203560e-04   4.71019196e-01   
513     2.75367400e-04   4.70247264e-01   
514     2.75531240e-04   4.69476597e-01   
515     2.75695080e-04   4.68707193e-01   
516     2.75858920e-04   4.67939050e-01   
517     2.76022760e-04   4.67172166e-01   
518     2.76186600e-04   4.66406539e-01   
519     2.76350440e-04   4.65642166e-01   
520     2.76514280e-04   4.64879046e-01   
521     2.76678120e-04   4.64117177e-01   
522     2.76841960e-04   4.63356556e-01   
523     2.77005800e-04   4.62597182e-01   
524     2.77169640e-04   4.61839053e-01   
525     2.77333480e-04   4.61082166e-01   
526     2.77497320e-04   4.60326519e-01   
527     2.77661160e-04   4.59572110e-01   
528     2.77825000e-04   4.58818939e-01   
529     2.77988840e-04   4.58067001e-01   
