Index         TIME              V(VOUT)          {V(IN)+1.0}           V(1)
266     1.5051186103e-06   1.8692099610e+00   1.0031524084e+00   0.0000000000e+00   
267     1.5051259529e-06   1.8696329981e+00   1.0026996401e+00   0.0000000000e+00   
268     1.5051332955e-06   1.8699947381e+00   1.0023117561e+00   0.0000000000e+00   
269     1.5051406381e-06   1.8703041133e+00   1.0019794983e+00   0.0000000000e+00   
270     1.5051479806e-06   1.8705687369e+00   1.0016949170e+00   0.0000000000e+00   
271     1.5051553232e-06   1.8707951049e+00   1.0014511909e+00   0.0000000000e+00   
272     1.5051626658e-06   1.8709887633e+00   1.0012424689e+00   0.0000000000e+00   
273     1.5051700084e-06   1.8711544492e+00   1.0010637342e+00   0.0000000000e+00   
274     1.5051773510e-06   1.8712962103e+00   1.0009106860e+00   0.0000000000e+00   
275     1.5051846935e-06   1.8714175059e+00   1.0007796385e+00   0.0000000000e+00   
276     1.5051920361e-06   1.8715212935e+00   1.0006674332e+00   0.0000000000e+00   
277     1.5051993787e-06   1.8716101016e+00   1.0005713638e+00   0.0000000000e+00   
278     1.5052067213e-06   1.8716860928e+00   1.0004891122e+00   0.0000000000e+00   
279     1.5052140639e-06   1.8717511165e+00   1.0004186925e+00   0.0000000000e+00   
280     1.5052214064e-06   1.8718067550e+00   1.0003584038e+00   0.0000000000e+00   
281     1.5052287490e-06   1.8718543616e+00   1.0003067896e+00   0.0000000000e+00   
282     1.5052360916e-06   1.8718950945e+00   1.0002626022e+00   0.0000000000e+00   
283     1.5052434342e-06   1.8719299445e+00   1.0002247737e+00   0.0000000000e+00   
284     1.5052507768e-06   1.8719597593e+00   1.0001923891e+00   0.0000000000e+00   
285     1.5052581193e-06   1.8719852647e+00   1.0001646653e+00   0.0000000000e+00   
286     1.5052654619e-06   1.8720070815e+00   1.0001409318e+00   0.0000000000e+00   
287     1.5052728045e-06   1.8720257411e+00   1.0001206143e+00   0.0000000000e+00   
