Index       TIME              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
271      5.18689270e-05    1.23877004e+00    1.23877004e+00    0.00000000e+00    0.00000000e+00    1.23877004e+00    1.23877004e+00    0.00000000e+00    0.00000000e+00    1.85981387e+00    1.85981387e+00   -1.23867257e-03   -1.23867257e-03    0.00000000e+00    0.00000000e+00    1.23867257e-03    1.23867257e-03    1.80000000e+02    1.80000000e+02   -5.81408696e+01   -5.81408696e+01
272      5.20287327e-05    1.22320687e+00    1.22320687e+00    0.00000000e+00    0.00000000e+00    1.22320687e+00    1.22320687e+00    0.00000000e+00    0.00000000e+00    1.74999821e+00    1.74999821e+00   -1.22310948e-03   -1.22310948e-03    0.00000000e+00    0.00000000e+00    1.22310948e-03    1.22310948e-03    1.80000000e+02    1.80000000e+02   -5.82506934e+01   -5.82506934e+01
273      5.21885384e-05    1.20765527e+00    1.20765527e+00    0.00000000e+00    0.00000000e+00    1.20765527e+00    1.20765527e+00    0.00000000e+00    0.00000000e+00    1.63885961e+00    1.63885961e+00   -1.20755795e-03   -1.20755795e-03    0.00000000e+00    0.00000000e+00    1.20755795e-03    1.20755795e-03    1.80000000e+02    1.80000000e+02   -5.83618403e+01   -5.83618403e+01
274      5.23483441e-05    1.19211436e+00    1.19211436e+00    0.00000000e+00    0.00000000e+00    1.19211436e+00    1.19211436e+00    0.00000000e+00    0.00000000e+00    1.52635836e+00    1.52635836e+00   -1.19201711e-03   -1.19201711e-03    0.00000000e+00    0.00000000e+00    1.19201711e-03    1.19201711e-03    1.80000000e+02    1.80000000e+02   -5.84743502e+01   -5.84743502e+01
275      5.25081497e-05    1.17658341e+00    1.17658341e+00    0.00000000e+00    0.00000000e+00    1.17658341e+00    1.17658341e+00    0.00000000e+00    0.00000000e+00    1.41245439e+00    1.41245439e+00   -1.17648622e-03   -1.17648622e-03    0.00000000e+00    0.00000000e+00    1.17648622e-03    1.17648622e-03    1.80000000e+02    1.80000000e+02   -5.85882631e+01   -5.85882631e+01
276      5.26679554e-05    1.16106185e+00    1.16106185e+00    0.00000000e+00    0.00000000e+00    1.16106185e+00    1.16106185e+00    0.00000000e+00    0.00000000e+00    1.29710709e+00    1.29710709e+00   -1.16096472e-03   -1.16096472e-03    0.00000000e+00    0.00000000e+00    1.16096472e-03    1.16096472e-03    1.80000000e+02    1.80000000e+02   -5.87036195e+01   -5.87036195e+01
277      5.28277611e-05    1.14554922e+00    1.14554922e+00    0.00000000e+00    0.00000000e+00    1.14554922e+00    1.14554922e+00    0.00000000e+00    0.00000000e+00    1.18027508e+00    1.18027508e+00   -1.14545215e-03   -1.14545215e-03    0.00000000e+00    0.00000000e+00    1.14545215e-03    1.14545215e-03    1.80000000e+02    1.80000000e+02   -5.88204610e+01   -5.88204610e+01
278      5.31473725e-05    1.11455110e+00    1.11455110e+00    0.00000000e+00    0.00000000e+00    1.11455110e+00    1.11455110e+00    0.00000000e+00    0.00000000e+00    9.41999708e-01    9.41999708e-01   -1.11445411e-03   -1.11445411e-03    0.00000000e+00    0.00000000e+00    1.11445411e-03    1.11445411e-03    1.80000000e+02    1.80000000e+02   -5.90587562e+01   -5.90587562e+01
279      5.34669838e-05    1.08358450e+00    1.08358450e+00    0.00000000e+00    0.00000000e+00    1.08358450e+00    1.08358450e+00    0.00000000e+00    0.00000000e+00    6.97255701e-01    6.97255701e-01   -1.08348761e-03   -1.08348761e-03    0.00000000e+00    0.00000000e+00    1.08348761e-03    1.08348761e-03    1.80000000e+02    1.80000000e+02   -5.93035210e+01   -5.93035210e+01
280      5.37865952e-05    1.05264898e+00    1.05264898e+00    0.00000000e+00    0.00000000e+00    1.05264898e+00    1.05264898e+00    0.00000000e+00    0.00000000e+00    4.45671481e-01    4.45671481e-01   -1.05255219e-03   -1.05255219e-03    0.00000000e+00    0.00000000e+00    1.05255219e-03    1.05255219e-03    1.80000000e+02    1.80000000e+02   -5.95551272e+01   -5.95551272e+01
