Index       TIME          {V(6,2)+0.1}     {V(15,10)+0.1}     {V(5,3)+1.5}   
197      8.91821968e-07    7.94850385e-02    5.53834152e-02    1.67606810e+00
198      8.95235138e-07    7.56538046e-02    5.40247069e-02    1.76111491e+00
199      8.98648308e-07    7.20016151e-02    5.28562346e-02    1.85013803e+00
200      9.05474649e-07    6.53402887e-02    5.11085307e-02    2.02971471e+00
201      9.12300989e-07    5.96966513e-02    5.01692000e-02    2.19981218e+00
202      9.19127330e-07    5.52364130e-02    5.00537736e-02    2.34876622e+00
203      9.25271037e-07    5.23430287e-02    5.06561879e-02    2.45898573e+00
204      9.31414743e-07    5.05836209e-02    5.19196158e-02    2.54371371e+00
205      9.37558450e-07    5.00000539e-02    5.38271325e-02    2.60165875e+00
206      9.43702156e-07    5.06062135e-02    5.63531847e-02    2.63216071e+00
207      9.49845863e-07    5.23876763e-02    5.94639331e-02    2.63473382e+00
208      9.55989569e-07    5.53020532e-02    6.31177060e-02    2.60890090e+00
209      9.62133276e-07    5.92799979e-02    6.72655570e-02    2.55430434e+00
210      9.68276983e-07    6.42268570e-02    7.18519213e-02    2.47118109e+00
211      9.74420689e-07    7.00249221e-02    7.68153595e-02    2.36119927e+00
212      9.80564396e-07    7.65362310e-02    8.20893810e-02    2.22866295e+00
213      9.86708102e-07    8.36058498e-02    8.76033347e-02    2.08173979e+00
214      9.92851809e-07    9.10655601e-02    9.32833550e-02    1.93304989e+00
215      9.98995515e-07    9.87378615e-02    9.90533521e-02    1.79862271e+00
216      1.00000000e-06    1.00000000e-01    1.00000000e-01    1.77896734e+00
End of Xyce(TM) Simulation
