Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
253      2.53000000e+00    5.02246420e-06    1.23409787e-03    6.36530996e-01    6.18042602e-02
254      2.54000000e+00    5.04859275e-06    1.23910885e-03    6.36680533e-01    6.17822902e-02
255      2.55000000e+00    5.07477802e-06    1.24411735e-03    6.36808686e-01    6.17653085e-02
256      2.56000000e+00    5.10095602e-06    1.24912621e-03    6.36939582e-01    6.17475881e-02
257      2.57000000e+00    5.12709043e-06    1.25413707e-03    6.37086906e-01    6.17258694e-02
258      2.58000000e+00    5.15328080e-06    1.25914546e-03    6.37213138e-01    6.17090843e-02
259      2.59000000e+00    5.17946413e-06    1.26415421e-03    6.37342024e-01    6.16915822e-02
260      2.60000000e+00    5.20564415e-06    1.26916315e-03    6.37472157e-01    6.16736981e-02
261      2.61000000e+00    5.23178288e-06    1.27417399e-03    6.37617856e-01    6.16520116e-02
262      2.62000000e+00    5.25797825e-06    1.27918233e-03    6.37742199e-01    6.16353403e-02
263      2.63000000e+00    5.28416753e-06    1.28419098e-03    6.37868843e-01    6.16180376e-02
264      2.64000000e+00    5.31035394e-06    1.28919980e-03    6.37996565e-01    6.16003952e-02
265      2.65000000e+00    5.33653937e-06    1.29420871e-03    6.38124658e-01    6.15825822e-02
266      2.66000000e+00    5.36268512e-06    1.29921945e-03    6.38267710e-01    6.15611009e-02
267      2.67000000e+00    5.38888732e-06    1.30422768e-03    6.38389482e-01    6.15446405e-02
268      2.68000000e+00    5.41508416e-06    1.30923619e-03    6.38513271e-01    6.15276180e-02
269      2.69000000e+00    5.44127848e-06    1.31424486e-03    6.38638012e-01    6.15102882e-02
270      2.70000000e+00    5.46747194e-06    1.31925360e-03    6.38763080e-01    6.14928020e-02
271      2.71000000e+00    5.49366550e-06    1.32426238e-03    6.38888106e-01    6.14752483e-02
272      2.72000000e+00    5.51985976e-06    1.32927116e-03    6.39012872e-01    6.14576799e-02
273      2.73000000e+00    5.54605504e-06    1.33427994e-03    6.39137251e-01    6.14401282e-02
274      2.74000000e+00    5.57225154e-06    1.33928869e-03    6.39261169e-01    6.14226116e-02
275      2.75000000e+00    5.59844938e-06    1.34429743e-03    6.39384584e-01    6.14051411e-02
276      2.76000000e+00    5.62464861e-06    1.34930614e-03    6.39507472e-01    6.13877229e-02
277      2.77000000e+00    5.65084928e-06    1.35431482e-03    6.39629822e-01    6.13703607e-02
278      2.78000000e+00    5.67705139e-06    1.35932347e-03    6.39751628e-01    6.13530566e-02
279      2.79000000e+00    5.70325494e-06    1.36433209e-03    6.39872888e-01    6.13358116e-02
280      2.80000000e+00    5.72945994e-06    1.36934069e-03    6.39993604e-01    6.13186261e-02
281      2.81000000e+00    5.75566637e-06    1.37434925e-03    6.40113779e-01    6.13015002e-02
282      2.82000000e+00    5.78187423e-06    1.37935778e-03    6.40233415e-01    6.12844337e-02
283      2.83000000e+00    5.80808351e-06    1.38436629e-03    6.40352517e-01    6.12674265e-02
284      2.84000000e+00    5.83429419e-06    1.38937476e-03    6.40471089e-01    6.12504782e-02
285      2.85000000e+00    5.86050627e-06    1.39438321e-03    6.40589135e-01    6.12335883e-02
286      2.86000000e+00    5.88671974e-06    1.39939162e-03    6.40706659e-01    6.12167566e-02
287      2.87000000e+00    5.91293457e-06    1.40440001e-03    6.40823666e-01    6.11999825e-02
288      2.88000000e+00    5.93915077e-06    1.40940837e-03    6.40940160e-01    6.11832657e-02
289      2.89000000e+00    5.96536831e-06    1.41441670e-03    6.41056146e-01    6.11666058e-02
290      2.90000000e+00    5.99158719e-06    1.41942500e-03    6.41171628e-01    6.11500023e-02
291      2.91000000e+00    6.01780740e-06    1.42443327e-03    6.41286610e-01    6.11334547e-02
292      2.92000000e+00    6.04402892e-06    1.42944152e-03    6.41401097e-01    6.11169628e-02
293      2.93000000e+00    6.07025174e-06    1.43444974e-03    6.41515093e-01    6.11005260e-02
