Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
173      1.73000000e+00    2.98594050e-06    8.32606451e-04    6.04300430e-01    6.47870987e-02
174      1.74000000e+00    3.01184423e-06    8.37621246e-04    6.04534727e-01    6.47575078e-02
175      1.75000000e+00    3.03775313e-06    8.42635929e-04    6.04767069e-01    6.47281416e-02
176      1.76000000e+00    3.06366713e-06    8.47650502e-04    6.04997490e-01    6.46989959e-02
177      1.77000000e+00    3.08958615e-06    8.52664967e-04    6.05226021e-01    6.46700665e-02
178      1.78000000e+00    3.11551010e-06    8.57679325e-04    6.05452692e-01    6.46413492e-02
179      1.79000000e+00    3.14143891e-06    8.62693580e-04    6.05677533e-01    6.46128400e-02
180      1.80000000e+00    3.16737249e-06    8.67707732e-04    6.05900572e-01    6.45845352e-02
181      1.81000000e+00    3.19331078e-06    8.72721785e-04    6.06121838e-01    6.45564310e-02
182      1.82000000e+00    3.21925369e-06    8.77735738e-04    6.06341359e-01    6.45285237e-02
183      1.83000000e+00    3.24520116e-06    8.82749595e-04    6.06559161e-01    6.45008098e-02
184      1.84000000e+00    3.27115313e-06    8.87763357e-04    6.06775271e-01    6.44732859e-02
185      1.85000000e+00    3.29710951e-06    8.92777026e-04    6.06989716e-01    6.44459487e-02
186      1.86000000e+00    3.32307024e-06    8.97790603e-04    6.07202519e-01    6.44187949e-02
187      1.87000000e+00    3.34903526e-06    9.02804089e-04    6.07413706e-01    6.43918215e-02
188      1.88000000e+00    3.37500451e-06    9.07817487e-04    6.07623301e-01    6.43650252e-02
189      1.89000000e+00    3.40097791e-06    9.12830798e-04    6.07831327e-01    6.43384033e-02
190      1.90000000e+00    3.42695542e-06    9.17844024e-04    6.08037807e-01    6.43119527e-02
191      1.91000000e+00    3.45293696e-06    9.22857165e-04    6.08242765e-01    6.42856706e-02
192      1.92000000e+00    3.47892249e-06    9.27870223e-04    6.08446221e-01    6.42595544e-02
193      1.93000000e+00    3.50491194e-06    9.32883199e-04    6.08648198e-01    6.42336014e-02
194      1.94000000e+00    3.53090526e-06    9.37896096e-04    6.08848716e-01    6.42078089e-02
195      1.95000000e+00    3.55690239e-06    9.42908913e-04    6.09047797e-01    6.41821744e-02
196      1.96000000e+00    3.58290329e-06    9.47921652e-04    6.09245461e-01    6.41566955e-02
197      1.97000000e+00    3.60890789e-06    9.52934315e-04    6.09441727e-01    6.41313697e-02
198      1.98000000e+00    3.63491614e-06    9.57946903e-04    6.09636615e-01    6.41061948e-02
199      1.99000000e+00    3.66092800e-06    9.62959416e-04    6.09830144e-01    6.40811684e-02
200      2.00000000e+00    3.68694342e-06    9.67971856e-04    6.10022332e-01    6.40562883e-02
201      2.01000000e+00    3.71296234e-06    9.72984224e-04    6.10213198e-01    6.40315524e-02
202      2.02000000e+00    3.73898472e-06    9.77996521e-04    6.10402759e-01    6.40069585e-02
203      2.03000000e+00    3.76501052e-06    9.83008748e-04    6.10591034e-01    6.39825046e-02
204      2.04000000e+00    3.79103501e-06    9.88021104e-04    6.10779800e-01    6.39577922e-02
205      2.05000000e+00    3.81706745e-06    9.93033196e-04    6.10965573e-01    6.39336073e-02
206      2.06000000e+00    3.84310316e-06    9.98045222e-04    6.11150111e-01    6.39095561e-02
207      2.07000000e+00    3.86914210e-06    1.00305718e-03    6.11333428e-01    6.38856370e-02
208      2.08000000e+00    3.89518424e-06    1.00806908e-03    6.11515542e-01    6.38618482e-02
209      2.09000000e+00    3.92122953e-06    1.01308091e-03    6.11696466e-01    6.38381879e-02
210      2.10000000e+00    3.94727794e-06    1.01809267e-03    6.11876218e-01    6.38146544e-02
211      2.11000000e+00    3.97332941e-06    1.02310438e-03    6.12054811e-01    6.37912460e-02
212      2.12000000e+00    3.99938393e-06    1.02811602e-03    6.12232260e-01    6.37679609e-02
213      2.13000000e+00    4.02544143e-06    1.03312760e-03    6.12408580e-01    6.37447976e-02
214      2.14000000e+00    4.05150190e-06    1.03813912e-03    6.12583785e-01    6.37217544e-02
215      2.15000000e+00    4.07756528e-06    1.04315059e-03    6.12757889e-01    6.36988299e-02
216      2.16000000e+00    4.10363155e-06    1.04816199e-03    6.12930905e-01    6.36760224e-02
217      2.17000000e+00    4.12970067e-06    1.05317333e-03    6.13102847e-01    6.36533304e-02
218      2.18000000e+00    4.15577261e-06    1.05818462e-03    6.13273727e-01    6.36307526e-02
219      2.19000000e+00    4.18184732e-06    1.06319586e-03    6.13443559e-01    6.36082875e-02
220      2.20000000e+00    4.20792479e-06    1.06820703e-03    6.13612356e-01    6.35859336e-02
221      2.21000000e+00    4.23400496e-06    1.07321816e-03    6.13780129e-01    6.35636897e-02
222      2.22000000e+00    4.26008782e-06    1.07822922e-03    6.13946892e-01    6.35415543e-02
223      2.23000000e+00    4.28617333e-06    1.08324024e-03    6.14112655e-01    6.35195262e-02
224      2.24000000e+00    4.31226145e-06    1.08825120e-03    6.14277432e-01    6.34976040e-02
225      2.25000000e+00    4.33835217e-06    1.09326211e-03    6.14441232e-01    6.34757865e-02
226      2.26000000e+00    4.36444544e-06    1.09827296e-03    6.14604069e-01    6.34540725e-02
227      2.27000000e+00    4.39054124e-06    1.10328377e-03    6.14765952e-01    6.34324608e-02
228      2.28000000e+00    4.41663954e-06    1.10829452e-03    6.14926893e-01    6.34109501e-02
229      2.29000000e+00    4.44274031e-06    1.11330523e-03    6.15086903e-01    6.33895394e-02
230      2.30000000e+00    4.46884352e-06    1.11831589e-03    6.15245993e-01    6.33682274e-02
231      2.31000000e+00    4.49494915e-06    1.12332649e-03    6.15404172e-01    6.33470130e-02
232      2.32000000e+00    4.52105716e-06    1.12833705e-03    6.15561451e-01    6.33258952e-02
233      2.33000000e+00    4.54716753e-06    1.13334756e-03    6.15717840e-01    6.33048729e-02
234      2.34000000e+00    4.57328024e-06    1.13835803e-03    6.15873349e-01    6.32839450e-02
235      2.35000000e+00    4.59939526e-06    1.14336844e-03    6.16027988e-01    6.32631105e-02
236      2.36000000e+00    4.62551256e-06    1.14837882e-03    6.16181766e-01    6.32423671e-02
237      2.37000000e+00    4.65163211e-06    1.15338914e-03    6.16334693e-01    6.32217122e-02
238      2.38000000e+00    4.67775390e-06    1.15839943e-03    6.16486778e-01    6.32011477e-02
239      2.39000000e+00    4.70387790e-06    1.16340966e-03    6.16638031e-01    6.31806726e-02
240      2.40000000e+00    4.73000409e-06    1.16841986e-03    6.16788459e-01    6.31602861e-02
241      2.41000000e+00    4.75613243e-06    1.17343001e-03    6.16938073e-01    6.31399872e-02
242      2.42000000e+00    4.78226292e-06    1.17844011e-03    6.17086880e-01    6.31197750e-02
243      2.43000000e+00    4.80839552e-06    1.18345018e-03    6.17234889e-01    6.30996485e-02
244      2.44000000e+00    4.83453021e-06    1.18846020e-03    6.17382110e-01    6.30796070e-02
245      2.45000000e+00    4.86066698e-06    1.19347018e-03    6.17528549e-01    6.30596496e-02
246      2.46000000e+00    4.88680579e-06    1.19848011e-03    6.17674216e-01    6.30397754e-02
247      2.47000000e+00    4.91294664e-06    1.20349001e-03    6.17819117e-01    6.30199836e-02
248      2.48000000e+00    4.93908949e-06    1.20849986e-03    6.17963262e-01    6.30002733e-02
249      2.49000000e+00    4.96523433e-06    1.21350968e-03    6.18106658e-01    6.29806439e-02
250      2.50000000e+00    4.99138113e-06    1.21851945e-03    6.18249312e-01    6.29610944e-02
251      2.51000000e+00    5.01752989e-06    1.22352919e-03    6.18391233e-01    6.29416241e-02
252      2.52000000e+00    5.04368057e-06    1.22853888e-03    6.18532427e-01    6.29222322e-02
253      2.53000000e+00    5.06983315e-06    1.23354854e-03    6.18672902e-01    6.29029181e-02
254      2.54000000e+00    5.09598763e-06    1.23855816e-03    6.18812665e-01    6.28836809e-02
255      2.55000000e+00    5.12214397e-06    1.24356774e-03    6.18951724e-01    6.28645199e-02
256      2.56000000e+00    5.14830216e-06    1.24857728e-03    6.19090084e-01    6.28454345e-02
257      2.57000000e+00    5.17446219e-06    1.25358679e-03    6.19227754e-01    6.28264238e-02
258      2.58000000e+00    5.20062403e-06    1.25859626e-03    6.19364740e-01    6.28074874e-02
259      2.59000000e+00    5.22678767e-06    1.26360569e-03    6.19501049e-01    6.27886243e-02
260      2.60000000e+00    5.25295309e-06    1.26861508e-03    6.19636686e-01    6.27698340e-02
261      2.61000000e+00    5.27912027e-06    1.27362444e-03    6.19771660e-01    6.27511159e-02
262      2.62000000e+00    5.30528919e-06    1.27863377e-03    6.19905976e-01    6.27324692e-02
263      2.63000000e+00    5.33145984e-06    1.28364305e-03    6.20039640e-01    6.27138934e-02
264      2.64000000e+00    5.35763220e-06    1.28865231e-03    6.20172659e-01    6.26953878e-02
265      2.65000000e+00    5.38380626e-06    1.29366152e-03    6.20305039e-01    6.26769518e-02
266      2.66000000e+00    5.40998200e-06    1.29867071e-03    6.20436786e-01    6.26585847e-02
267      2.67000000e+00    5.43615940e-06    1.30367986e-03    6.20567906e-01    6.26402861e-02
268      2.68000000e+00    5.46233845e-06    1.30868897e-03    6.20698404e-01    6.26220553e-02
269      2.69000000e+00    5.48851913e-06    1.31369805e-03    6.20828288e-01    6.26038916e-02
270      2.70000000e+00    5.51470143e-06    1.31870710e-03    6.20957561e-01    6.25857947e-02
271      2.71000000e+00    5.54088533e-06    1.32371612e-03    6.21086231e-01    6.25677638e-02
272      2.72000000e+00    5.56707082e-06    1.32872510e-03    6.21214302e-01    6.25497984e-02
273      2.73000000e+00    5.59325788e-06    1.33373405e-03    6.21341780e-01    6.25318980e-02
274      2.74000000e+00    5.61944650e-06    1.33874297e-03    6.21468671e-01    6.25140621e-02
275      2.75000000e+00    5.64563666e-06    1.34375185e-03    6.21594979e-01    6.24962901e-02
276      2.76000000e+00    5.67182835e-06    1.34876071e-03    6.21720711e-01    6.24785814e-02
277      2.77000000e+00    5.69802156e-06    1.35376953e-03    6.21845871e-01    6.24609357e-02
278      2.78000000e+00    5.72421628e-06    1.35877832e-03    6.21970464e-01    6.24433523e-02
279      2.79000000e+00    5.75041248e-06    1.36378708e-03    6.22094496e-01    6.24258308e-02
280      2.80000000e+00    5.77661016e-06    1.36879581e-03    6.22217971e-01    6.24083706e-02
281      2.81000000e+00    5.80280930e-06    1.37380451e-03    6.22340894e-01    6.23909713e-02
282      2.82000000e+00    5.82900989e-06    1.37881318e-03    6.22463271e-01    6.23736325e-02
283      2.83000000e+00    5.85521192e-06    1.38382182e-03    6.22585106e-01    6.23563535e-02
284      2.84000000e+00    5.88141537e-06    1.38883043e-03    6.22706404e-01    6.23391340e-02
285      2.85000000e+00    5.90762024e-06    1.39383901e-03    6.22827169e-01    6.23219736e-02
286      2.86000000e+00    5.93382651e-06    1.39884756e-03    6.22947406e-01    6.23048716e-02
287      2.87000000e+00    5.96003416e-06    1.40385609e-03    6.23067120e-01    6.22878278e-02
288      2.88000000e+00    5.98624320e-06    1.40886458e-03    6.23186315e-01    6.22708416e-02
289      2.89000000e+00    6.01245359e-06    1.41387304e-03    6.23304995e-01    6.22539127e-02
290      2.90000000e+00    6.03866534e-06    1.41888148e-03    6.23423166e-01    6.22370405e-02
291      2.91000000e+00    6.06487843e-06    1.42388989e-03    6.23540831e-01    6.22202247e-02
292      2.92000000e+00    6.09109285e-06    1.42889827e-03    6.23657994e-01    6.22034648e-02
293      2.93000000e+00    6.11730859e-06    1.43390662e-03    6.23774660e-01    6.21867605e-02
