Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
129      6.19510000e-06   -6.82299545e-01    1.36549004e-03   -6.83665035e-04   -6.83665035e-04    6.83665035e-04
130      6.24630000e-06   -7.05461005e-01    1.34739575e-03   -7.06808401e-04   -7.06808401e-04    7.06808401e-04
131      6.29750000e-06   -7.27892444e-01    1.32872768e-03   -7.29221172e-04   -7.29221172e-04    7.29221172e-04
132      6.34870000e-06   -7.49570651e-01    1.30950515e-03   -7.50880156e-04   -7.50880156e-04    7.50880156e-04
133      6.39990000e-06   -7.70473191e-01    1.28974802e-03   -7.71762939e-04   -7.71762939e-04    7.71762939e-04
134      6.45110000e-06   -7.90578435e-01    1.26947671e-03   -7.91847911e-04   -7.91847911e-04    7.91847911e-04
135      6.50230000e-06   -8.09865577e-01    1.24871219e-03   -8.11114289e-04   -8.11114289e-04    8.11114289e-04
136      6.55350000e-06   -8.28314659e-01    1.22747591e-03   -8.29542135e-04   -8.29542135e-04    8.29542135e-04
137      6.60470000e-06   -8.45906590e-01    1.20578983e-03   -8.47112380e-04   -8.47112380e-04    8.47112380e-04
138      6.65590000e-06   -8.62623165e-01    1.18367638e-03   -8.63806842e-04   -8.63806842e-04    8.63806842e-04
139      6.70710000e-06   -8.78447086e-01    1.16115841e-03   -8.79608244e-04   -8.79608244e-04    8.79608244e-04
140      6.75830000e-06   -8.93361978e-01    1.13825920e-03   -8.94500237e-04   -8.94500237e-04    8.94500237e-04
141      6.80950000e-06   -9.07352406e-01    1.11500244e-03   -9.08467408e-04   -9.08467408e-04    9.08467408e-04
142      6.86070000e-06   -9.20403893e-01    1.09141216e-03   -9.21495306e-04   -9.21495306e-04    9.21495306e-04
143      6.91190000e-06   -9.32502934e-01    1.06751275e-03   -9.33570447e-04   -9.33570447e-04    9.33570447e-04
144      6.96310000e-06   -9.43637008e-01    1.04332894e-03   -9.44680337e-04   -9.44680337e-04    9.44680337e-04
145      7.01430000e-06   -9.53794594e-01    1.01888571e-03   -9.54813480e-04   -9.54813480e-04    9.54813480e-04
