Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
39       3.86138614e-05    1.42244444e+00    1.42244444e+00    0.00000000e+00    1.42244444e+00    0.00000000e+00    3.06070625e+00   -1.42244479e-03   -1.42244479e-03    0.00000000e+00    1.42244479e-03    1.80000000e+02   -5.69392916e+01    1.42244444e-03    1.42244444e-03    0.00000000e+00    1.42244444e-03    0.00000000e+00   -5.69392938e+01
40       3.96039604e-05    1.42244240e+00    1.42244240e+00    0.00000000e+00    1.42244240e+00    0.00000000e+00    3.06069376e+00   -1.42244202e-03   -1.42244202e-03    0.00000000e+00    1.42244202e-03    1.80000000e+02   -5.69393086e+01    1.42244240e-03    1.42244240e-03    0.00000000e+00    1.42244240e-03    0.00000000e+00   -5.69393062e+01
41       4.05940594e-05    1.42244465e+00    1.42244465e+00    0.00000000e+00    1.42244465e+00    0.00000000e+00    3.06070753e+00   -1.42244507e-03   -1.42244507e-03    0.00000000e+00    1.42244507e-03    1.80000000e+02   -5.69392899e+01    1.42244465e-03    1.42244465e-03    0.00000000e+00    1.42244465e-03    0.00000000e+00   -5.69392925e+01
42       4.15841584e-05    1.42244215e+00    1.42244215e+00    0.00000000e+00    1.42244215e+00    0.00000000e+00    3.06069223e+00   -1.42244167e-03   -1.42244167e-03    0.00000000e+00    1.42244167e-03    1.80000000e+02   -5.69393107e+01    1.42244215e-03    1.42244215e-03    0.00000000e+00    1.42244215e-03    0.00000000e+00   -5.69393078e+01
43       4.25742574e-05    1.42244496e+00    1.42244496e+00    0.00000000e+00    1.42244496e+00    0.00000000e+00    3.06070944e+00   -1.42244550e-03   -1.42244550e-03    0.00000000e+00    1.42244550e-03    1.80000000e+02   -5.69392873e+01    1.42244496e-03    1.42244496e-03    0.00000000e+00    1.42244496e-03    0.00000000e+00   -5.69392906e+01
44       4.35643564e-05    1.42244174e+00    1.42244174e+00    0.00000000e+00    1.42244174e+00    0.00000000e+00    3.06068974e+00   -1.42244111e-03   -1.42244111e-03    0.00000000e+00    1.42244111e-03    1.80000000e+02   -5.69393141e+01    1.42244174e-03    1.42244174e-03    0.00000000e+00    1.42244174e-03    0.00000000e+00   -5.69393103e+01
45       4.45544554e-05    1.42244553e+00    1.42244553e+00    0.00000000e+00    1.42244553e+00    0.00000000e+00    3.06071289e+00   -1.42244628e-03   -1.42244628e-03    0.00000000e+00    1.42244628e-03    1.80000000e+02   -5.69392825e+01    1.42244553e-03    1.42244553e-03    0.00000000e+00    1.42244553e-03    0.00000000e+00   -5.69392871e+01
46       4.55445545e-05    1.42244089e+00    1.42244089e+00    0.00000000e+00    1.42244089e+00    0.00000000e+00    3.06068454e+00   -1.42243993e-03   -1.42243993e-03    0.00000000e+00    1.42243993e-03    1.80000000e+02   -5.69393213e+01    1.42244089e-03    1.42244089e-03    0.00000000e+00    1.42244089e-03    0.00000000e+00   -5.69393155e+01
47       4.65346535e-05    1.42244695e+00    1.42244695e+00    0.00000000e+00    1.42244695e+00    0.00000000e+00    3.06072156e+00   -1.42244828e-03   -1.42244828e-03    0.00000000e+00    1.42244828e-03    1.80000000e+02   -5.69392703e+01    1.42244695e-03    1.42244695e-03    0.00000000e+00    1.42244695e-03    0.00000000e+00   -5.69392784e+01
48       4.75247525e-05    1.42243816e+00    1.42243816e+00    0.00000000e+00    1.42243816e+00    0.00000000e+00    3.06066790e+00   -1.42243603e-03   -1.42243603e-03    0.00000000e+00    1.42243603e-03    1.80000000e+02   -5.69393451e+01    1.42243816e-03    1.42243816e-03    0.00000000e+00    1.42243816e-03    0.00000000e+00   -5.69393321e+01
49       4.85148515e-05    1.42245347e+00    1.42245347e+00    0.00000000e+00    1.42245347e+00    0.00000000e+00    3.06076140e+00   -1.42245788e-03   -1.42245788e-03    0.00000000e+00    1.42245788e-03    1.80000000e+02   -5.69392117e+01    1.42245347e-03    1.42245347e-03    0.00000000e+00    1.42245347e-03    0.00000000e+00   -5.69392386e+01
50       4.95049505e-05    1.42241476e+00    1.42241476e+00    0.00000000e+00    1.42241476e+00    0.00000000e+00    3.06052498e+00   -1.42239898e-03   -1.42239898e-03    0.00000000e+00    1.42239898e-03    1.80000000e+02   -5.69395714e+01    1.42241476e-03    1.42241476e-03    0.00000000e+00    1.42241476e-03    0.00000000e+00   -5.69394750e+01
51       5.04950495e-05    1.37339338e+00    1.37339338e+00    0.00000000e+00    1.37339338e+00    0.00000000e+00    2.75589901e+00   -1.37331034e-03   -1.37331034e-03    0.00000000e+00    1.37331034e-03    1.80000000e+02   -5.72446262e+01    1.37339338e-03    1.37339338e-03    0.00000000e+00    1.37339338e-03    0.00000000e+00   -5.72441010e+01
