Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
37       3.66336634e-05    1.39647278e+00    1.39647278e+00    0.00000000e+00    1.39647278e+00    0.00000000e+00    2.90064951e+00   -2.79294585e-03   -2.79294585e-03    0.00000000e+00    2.79294585e-03    1.80000000e+02   -5.10787497e+01    2.79294557e-03    2.79294557e-03    0.00000000e+00    2.79294557e-03    0.00000000e+00   -5.10787506e+01
38       3.76237624e-05    1.39647106e+00    1.39647106e+00    0.00000000e+00    1.39647106e+00    0.00000000e+00    2.90063882e+00   -2.79294181e-03   -2.79294181e-03    0.00000000e+00    2.79294181e-03    1.80000000e+02   -5.10787622e+01    2.79294213e-03    2.79294213e-03    0.00000000e+00    2.79294213e-03    0.00000000e+00   -5.10787613e+01
39       3.86138614e-05    1.39647295e+00    1.39647295e+00    0.00000000e+00    1.39647295e+00    0.00000000e+00    2.90065057e+00   -2.79294625e-03   -2.79294625e-03    0.00000000e+00    2.79294625e-03    1.80000000e+02   -5.10787485e+01    2.79294590e-03    2.79294590e-03    0.00000000e+00    2.79294590e-03    0.00000000e+00   -5.10787495e+01
40       3.96039604e-05    1.39647088e+00    1.39647088e+00    0.00000000e+00    1.39647088e+00    0.00000000e+00    2.90063765e+00   -2.79294137e-03   -2.79294137e-03    0.00000000e+00    2.79294137e-03    1.80000000e+02   -5.10787636e+01    2.79294175e-03    2.79294175e-03    0.00000000e+00    2.79294175e-03    0.00000000e+00   -5.10787624e+01
41       4.05940594e-05    1.39647317e+00    1.39647317e+00    0.00000000e+00    1.39647317e+00    0.00000000e+00    2.90065190e+00   -2.79294675e-03   -2.79294675e-03    0.00000000e+00    2.79294675e-03    1.80000000e+02   -5.10787469e+01    2.79294633e-03    2.79294633e-03    0.00000000e+00    2.79294633e-03    0.00000000e+00   -5.10787482e+01
42       4.15841584e-05    1.39647062e+00    1.39647062e+00    0.00000000e+00    1.39647062e+00    0.00000000e+00    2.90063606e+00   -2.79294077e-03   -2.79294077e-03    0.00000000e+00    2.79294077e-03    1.80000000e+02   -5.10787655e+01    2.79294124e-03    2.79294124e-03    0.00000000e+00    2.79294124e-03    0.00000000e+00   -5.10787640e+01
43       4.25742574e-05    1.39647348e+00    1.39647348e+00    0.00000000e+00    1.39647348e+00    0.00000000e+00    2.90065388e+00   -2.79294751e-03   -2.79294751e-03    0.00000000e+00    2.79294751e-03    1.80000000e+02   -5.10787445e+01    2.79294697e-03    2.79294697e-03    0.00000000e+00    2.79294697e-03    0.00000000e+00   -5.10787462e+01
44       4.35643564e-05    1.39647020e+00    1.39647020e+00    0.00000000e+00    1.39647020e+00    0.00000000e+00    2.90063348e+00   -2.79293979e-03   -2.79293979e-03    0.00000000e+00    2.79293979e-03    1.80000000e+02   -5.10787685e+01    2.79294041e-03    2.79294041e-03    0.00000000e+00    2.79294041e-03    0.00000000e+00   -5.10787666e+01
45       4.45544554e-05    1.39647406e+00    1.39647406e+00    0.00000000e+00    1.39647406e+00    0.00000000e+00    2.90065747e+00   -2.79294888e-03   -2.79294888e-03    0.00000000e+00    2.79294888e-03    1.80000000e+02   -5.10787403e+01    2.79294812e-03    2.79294812e-03    0.00000000e+00    2.79294812e-03    0.00000000e+00   -5.10787426e+01
46       4.55445545e-05    1.39646934e+00    1.39646934e+00    0.00000000e+00    1.39646934e+00    0.00000000e+00    2.90062808e+00   -2.79293771e-03   -2.79293771e-03    0.00000000e+00    2.79293771e-03    1.80000000e+02   -5.10787750e+01    2.79293867e-03    2.79293867e-03    0.00000000e+00    2.79293867e-03    0.00000000e+00   -5.10787720e+01
47       4.65346535e-05    1.39647551e+00    1.39647551e+00    0.00000000e+00    1.39647551e+00    0.00000000e+00    2.90066647e+00   -2.79295235e-03   -2.79295235e-03    0.00000000e+00    2.79295235e-03    1.80000000e+02   -5.10787295e+01    2.79295102e-03    2.79295102e-03    0.00000000e+00    2.79295102e-03    0.00000000e+00   -5.10787336e+01
