Index    TIME    V(1)    VR(1)    VI(1)    I(V1)    
99   1.63138340e-005   1.42244706e+000   1.42244706e+000   0.00000000e-001   -1.42244706e-003   
100   1.75726185e-005   1.42244485e+000   1.42244485e+000   0.00000000e-001   -1.42244484e-003   
101   2.00901875e-005   1.42244379e+000   1.42244379e+000   0.00000000e-001   -1.42244379e-003   
102   2.51253256e-005   1.42244351e+000   1.42244351e+000   0.00000000e-001   -1.42244351e-003   
103   3.51253256e-005   1.42244347e+000   1.42244347e+000   0.00000000e-001   -1.42244347e-003   
104   4.51253256e-005   1.42244347e+000   1.42244347e+000   0.00000000e-001   -1.42244347e-003   
105   5.00000000e-005   1.42244347e+000   1.42244347e+000   0.00000000e-001   -1.42244347e-003   
106   5.00156250e-005   1.42088199e+000   1.42088199e+000   0.00000000e-001   -1.42078206e-003   
107   5.00267226e-005   1.41977335e+000   1.41977335e+000   0.00000000e-001   -1.41967345e-003   
108   5.00489179e-005   1.41755762e+000   1.41755762e+000   0.00000000e-001   -1.41745779e-003   
109   5.00933083e-005   1.41313201e+000   1.41313201e+000   0.00000000e-001   -1.41303231e-003   
110   5.01820893e-005   1.40430188e+000   1.40430188e+000   0.00000000e-001   -1.40420242e-003   
111   5.02708702e-005   1.39549078e+000   1.39549078e+000   0.00000000e-001   -1.39539154e-003   
112   5.03596511e-005   1.38669687e+000   1.38669687e+000   0.00000000e-001   -1.38659782e-003   
113   5.04484321e-005   1.37791851e+000   1.37791851e+000   0.00000000e-001   -1.37781963e-003   
114   5.05372130e-005   1.36915425e+000   1.36915425e+000   0.00000000e-001   -1.36905553e-003   
115   5.06259939e-005   1.36040280e+000   1.36040280e+000   0.00000000e-001   -1.36030422e-003   
116   5.07147749e-005   1.35166300e+000   1.35166300e+000   0.00000000e-001   -1.35156456e-003   
117   5.08035558e-005   1.34293384e+000   1.34293384e+000   0.00000000e-001   -1.34283551e-003   
118   5.08923367e-005   1.33421438e+000   1.33421438e+000   0.00000000e-001   -1.33411617e-003   
119   5.10698986e-005   1.31680746e+000   1.31680746e+000   0.00000000e-001   -1.31670943e-003   
120   5.12297043e-005   1.30116433e+000   1.30116433e+000   0.00000000e-001   -1.30106644e-003   
121   5.13895100e-005   1.28554122e+000   1.28554122e+000   0.00000000e-001   -1.28544346e-003   
122   5.15493156e-005   1.26993573e+000   1.26993573e+000   0.00000000e-001   -1.26983808e-003   
123   5.17091213e-005   1.25434588e+000   1.25434588e+000   0.00000000e-001   -1.25424833e-003   
124   5.18689270e-005   1.23877004e+000   1.23877004e+000   0.00000000e-001   -1.23867257e-003   
125   5.20287327e-005   1.22320687e+000   1.22320687e+000   0.00000000e-001   -1.22310948e-003   
126   5.21885384e-005   1.20765527e+000   1.20765527e+000   0.00000000e-001   -1.20755795e-003   
127   5.23483441e-005   1.19211436e+000   1.19211436e+000   0.00000000e-001   -1.19201711e-003   
128   5.25081497e-005   1.17658341e+000   1.17658341e+000   0.00000000e-001   -1.17648622e-003   
129   5.26679554e-005   1.16106185e+000   1.16106185e+000   0.00000000e-001   -1.16096472e-003   
130   5.28277611e-005   1.14554922e+000   1.14554922e+000   0.00000000e-001   -1.14545215e-003   
131   5.31473725e-005   1.11455110e+000   1.11455110e+000   0.00000000e-001   -1.11445411e-003   
132   5.34669838e-005   1.08358450e+000   1.08358450e+000   0.00000000e-001   -1.08348761e-003   
133   5.37865952e-005   1.05264898e+000   1.05264898e+000   0.00000000e-001   -1.05255219e-003   
134   5.41062066e-005   1.02174467e+000   1.02174467e+000   0.00000000e-001   -1.02164798e-003   
135   5.44258179e-005   9.90872178e-001   9.90872178e-001   0.00000000e-001   -9.90775584e-004   
136   5.47454293e-005   9.60032478e-001   9.60032478e-001   0.00000000e-001   -9.59935987e-004   
137   5.50650407e-005   9.29226874e-001   9.29226874e-001   0.00000000e-001   -9.29130489e-004   
138   5.53526909e-005   9.01532296e-001   9.01532296e-001   0.00000000e-001   -9.01436017e-004   
139   5.56403411e-005   8.73867983e-001   8.73867983e-001   0.00000000e-001   -8.73771810e-004   
140   5.59279913e-005   8.46235456e-001   8.46235456e-001   0.00000000e-001   -8.46139393e-004   
141   5.61868766e-005   8.21394784e-001   8.21394784e-001   0.00000000e-001   -8.21298832e-004   
142   5.64457618e-005   7.96582602e-001   7.96582602e-001   0.00000000e-001   -7.96486760e-004   
143   5.67046470e-005   7.71800406e-001   7.71800406e-001   0.00000000e-001   -7.71704679e-004   
144   5.69376437e-005   7.49523451e-001   7.49523451e-001   0.00000000e-001   -7.49427841e-004   
145   5.71706403e-005   7.27273404e-001   7.27273404e-001   0.00000000e-001   -7.27177909e-004   
146   5.74036370e-005   7.05051668e-001   7.05051668e-001   0.00000000e-001   -7.04956294e-004   
147   5.76133340e-005   6.85077608e-001   6.85077608e-001   0.00000000e-001   -6.84982356e-004   
148   5.78230311e-005   6.65128911e-001   6.65128911e-001   0.00000000e-001   -6.65033780e-004   
149   5.80327281e-005   6.45206867e-001   6.45206867e-001   0.00000000e-001   -6.45111864e-004   
150   5.82214554e-005   6.27301011e-001   6.27301011e-001   0.00000000e-001   -6.27206134e-004   
151   5.84101827e-005   6.09418966e-001   6.09418966e-001   0.00000000e-001   -6.09324215e-004   
152   5.85989100e-005   5.91561908e-001   5.91561908e-001   0.00000000e-001   -5.91467290e-004   
153   5.87876373e-005   5.73731103e-001   5.73731103e-001   0.00000000e-001   -5.73636624e-004   
154   5.89574919e-005   5.57706994e-001   5.57706994e-001   0.00000000e-001   -5.57612654e-004   
155   5.91273465e-005   5.41706316e-001   5.41706316e-001   0.00000000e-001   -5.41612114e-004   
156   5.92972011e-005   5.25730214e-001   5.25730214e-001   0.00000000e-001   -5.25636157e-004   
157   5.94500702e-005   5.11373796e-001   5.11373796e-001   0.00000000e-001   -5.11279883e-004   
158   5.96029393e-005   4.97039237e-001   4.97039237e-001   0.00000000e-001   -4.96945467e-004   
159   5.97558085e-005   4.82727565e-001   4.82727565e-001   0.00000000e-001   -4.82633945e-004   
160   5.98933907e-005   4.69867585e-001   4.69867585e-001   0.00000000e-001   -4.69774114e-004   
161   6.00000000e-005   4.59916660e-001   4.59916660e-001   0.00000000e-001   -4.59823320e-004   
162   6.00067815e-005   4.59961695e-001   4.59961695e-001   0.00000000e-001   -4.59968335e-004   
163   6.00126140e-005   4.60000203e-001   4.60000203e-001   0.00000000e-001   -4.60006805e-004   
164   6.00242789e-005   4.60076160e-001   4.60076160e-001   0.00000000e-001   -4.60082672e-004   
165   6.00476087e-005   4.60223947e-001   4.60223947e-001   0.00000000e-001   -4.60230282e-004   
166   6.00709385e-005   4.60367845e-001   4.60367845e-001   0.00000000e-001   -4.60374013e-004   
167   6.01175981e-005   4.60640341e-001   4.60640341e-001   0.00000000e-001   -4.60646181e-004   
168   6.01642577e-005   4.60898729e-001   4.60898729e-001   0.00000000e-001   -4.60904267e-004   
