Index       FREQ            Re(V(1))          Im(V(1))            VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)           Re(I(V1))         Im(I(V1))          IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)          Re(I(R1))         Im(I(R1))          IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
39      -1.10000000e+05   -7.09726733e-04    2.34378317e-03   -7.09726733e-04    2.34378317e-03    2.44888374e-03    1.06846966e+02   -5.22206366e+01    1.41783356e-06   -4.68805687e-06    1.41783356e-06   -4.68805687e-06    4.89776778e-06   -7.31728340e+01   -1.06200036e+02   -1.41945347e-06    4.68756634e-06   -1.41945347e-06    4.68756634e-06    4.89776749e-06    1.06846966e+02   -1.06200037e+02
40      -1.00000000e+05    1.39174229e-04    7.56017442e-05    1.39174229e-04    7.56017442e-05    1.58382732e-04    2.85115415e+01   -7.60058434e+01   -2.78395959e-07   -1.51116043e-07   -2.78395959e-07   -1.51116043e-07    3.16765479e-07   -1.51506459e+02   -1.29985243e+02    2.78348457e-07    1.51203488e-07    2.78348457e-07    1.51203488e-07    3.16765463e-07    2.85115415e+01   -1.29985244e+02
41      -9.00000000e+04   -1.23536013e-03   -3.60687756e-03   -1.23536013e-03   -3.60687756e-03    3.81256874e-03   -1.08906397e+02   -4.83756463e+01    2.47275990e-06    7.21305654e-06    2.47275990e-06    7.21305654e-06    7.62513779e-06    7.10774030e+01   -1.02355046e+02   -2.47072026e-06   -7.21375512e-06   -2.47072026e-06   -7.21375512e-06    7.62513748e-06   -1.08906397e+02   -1.02355046e+02
42      -8.00000000e+04    2.43989165e-04   -1.65157176e-04    2.43989165e-04   -1.65157176e-04    2.94631304e-04   -3.40942178e+01   -7.06144222e+01   -4.87895314e-07    3.30436994e-07   -4.87895314e-07    3.30436994e-07    5.89262628e-07    1.45891382e+02   -1.24593822e+02    4.87978331e-07   -3.30314352e-07    4.87978331e-07   -3.30314352e-07    5.89262609e-07   -3.40942178e+01   -1.24593822e+02
43      -7.00000000e+04   -1.32164257e-02   -9.33596307e-03   -1.32164257e-02   -9.33596307e-03    1.61812891e-02   -1.44762964e+02   -3.58197377e+01    2.64369576e-05    1.86661133e-05    2.64369576e-05    1.86661133e-05    3.23625789e-05    3.52244364e+01   -8.97991376e+01   -2.64328515e-05   -1.86719261e-05   -2.64328515e-05   -1.86719261e-05    3.23625781e-05   -1.44762964e+02   -8.97991378e+01
44      -6.00000000e+04    1.16896091e-04   -4.73737306e-04    1.16896091e-04   -4.73737306e-04    4.87946443e-04   -7.61389870e+01   -6.62325569e+01   -2.33613587e-07    9.47518681e-07   -2.33613587e-07    9.47518681e-07    9.75892903e-07    1.03850213e+02   -1.20211957e+02    2.33792181e-07   -9.47474612e-07    2.33792181e-07   -9.47474612e-07    9.75892886e-07   -7.61389870e+01   -1.20211957e+02
45      -5.00000000e+04   -3.89467427e-02    3.89502644e-04   -3.89467427e-02    3.89502644e-04    3.89486904e-02    1.79427009e+02   -2.81901428e+01    7.78933631e-05   -7.91240769e-07    7.78933631e-05   -7.91240769e-07    7.78973817e-05   -5.81990502e-01   -8.21695428e+01   -7.78934854e-05    7.79005289e-07   -7.78934854e-05    7.79005289e-07    7.78973807e-05    1.79427009e+02   -8.21695429e+01
46      -4.00000000e+04   -2.55283513e-04   -6.27742979e-04   -2.55283513e-04   -6.27742979e-04    6.77665788e-04   -1.12130044e+02   -6.33796888e+01    5.10724794e-07    1.25542180e-06    5.10724794e-07    1.25542180e-06    1.35533159e-06    6.78627562e+01   -1.17359089e+02   -5.10567025e-07   -1.25548596e-06   -5.10567025e-07   -1.25548596e-06    1.35533158e-06   -1.12130044e+02   -1.17359089e+02
47      -3.00000000e+04   -7.02347563e-02    5.16984866e-02   -7.02347563e-02    5.16984866e-02    8.72104037e-02    1.43643913e+02   -2.11886341e+01    1.40459768e-04   -1.03410212e-04    1.40459768e-04   -1.03410212e-04    1.74420808e-04   -3.63614875e+01   -7.51680341e+01   -1.40469513e-04    1.03396973e-04   -1.40469513e-04    1.03396973e-04    1.74420807e-04    1.43643913e+02   -7.51680342e+01
48      -2.00000000e+04   -6.78855697e-04   -4.52370470e-04   -6.78855697e-04   -4.52370470e-04    8.15772088e-04   -1.46321620e+02   -6.17686232e+01    1.35776824e-06    9.04655633e-07    1.35776824e-06    9.04655633e-07    1.63154418e-06    3.36747801e+01   -1.15748023e+02   -1.35771139e-06   -9.04740941e-07   -1.35771139e-06   -9.04740941e-07    1.63154418e-06   -1.46321620e+02   -1.15748023e+02
