TIME,V(1),V(2),I(V1)
1.50000000e-09,9.42477657e-04,4.86946583e-10,-9.42477170e-07
3.10000000e-09,1.94778621e-03,2.04517392e-09,-1.94778417e-06
6.30000000e-09,3.95839641e-03,8.37859476e-09,-3.95838803e-06
1.27000000e-08,7.97956066e-03,3.39130803e-08,-7.97952674e-06
2.55000000e-08,1.60214370e-02,1.36449404e-07,-1.60213006e-05
5.11000000e-08,3.21015609e-02,5.47342377e-07,-3.21010135e-05
1.02300000e-07,6.42327344e-02,2.19164427e-06,-6.42305428e-05
1.53500000e-07,9.62974391e-02,4.65673950e-06,-9.62927824e-05
2.04700000e-07,1.28262494e-01,7.94005608e-06,-1.28254554e-04
2.55900000e-07,1.60094821e-01,1.20381753e-05,-1.60082783e-04
3.07100000e-07,1.91761479e-01,1.69468353e-05,-1.91744533e-04
3.58300000e-07,2.23229701e-01,2.26609356e-05,-2.23207040e-04
4.09500000e-07,2.54466921e-01,2.91745419e-05,-2.54437746e-04
4.60700000e-07,2.85440815e-01,3.64808928e-05,-2.85404334e-04
5.11900000e-07,3.16119331e-01,4.45724066e-05,-3.16074758e-04
5.63100000e-07,3.46470722e-01,5.34406890e-05,-3.46417282e-04
6.14300000e-07,3.76463581e-01,6.30765420e-05,-3.76400504e-04
6.65500000e-07,4.06066870e-01,7.34699730e-05,-4.05993400e-04
7.16700000e-07,4.35249956e-01,8.46102058e-05,-4.35165345e-04
7.67900000e-07,4.63982638e-01,9.64856913e-05,-4.63886153e-04
8.19100000e-07,4.92235185e-01,1.09084120e-04,-4.92126101e-04
8.70300000e-07,5.19978361e-01,1.22392432e-04,-5.19855968e-04
9.21500000e-07,5.47183456e-01,1.36396837e-04,-5.47047059e-04
9.72700000e-07,5.73822317e-01,1.51082821e-04,-5.73671234e-04
1.02390000e-06,5.99867380e-01,1.66435165e-04,-5.99700944e-04
1.07510000e-06,6.25291691e-01,1.82437962e-04,-6.25109253e-04
1.12630000e-06,6.50068942e-01,1.99074630e-04,-6.49869867e-04
1.17750000e-06,6.74173493e-01,2.16327934e-04,-6.73957165e-04
1.22870000e-06,6.97580399e-01,2.34179997e-04,-6.97346219e-04
1.27990000e-06,7.20265440e-01,2.52612325e-04,-7.20012828e-04
1.33110000e-06,7.42205140e-01,2.71605824e-04,-7.41933534e-04
1.38230000e-06,7.63376796e-01,2.91140817e-04,-7.63085655e-04
1.43350000e-06,7.83758499e-01,3.11197067e-04,-7.83447302e-04
1.48470000e-06,8.03329159e-01,3.31753801e-04,-8.02997405e-04
1.53590000e-06,8.22068522e-01,3.52789724e-04,-8.21715732e-04
1.58710000e-06,8.39957197e-01,3.74283046e-04,-8.39582914e-04
1.63830000e-06,8.56976673e-01,3.96211506e-04,-8.56580461e-04
1.68950000e-06,8.73109338e-01,4.18552390e-04,-8.72690785e-04
1.74070000e-06,8.88338497e-01,4.41282559e-04,-8.87897214e-04
1.79190000e-06,9.02648391e-01,4.64378470e-04,-9.02184012e-04
1.84310000e-06,9.16024212e-01,4.87816201e-04,-9.15536396e-04
1.89430000e-06,9.28452119e-01,5.11571479e-04,-9.27940547e-04
1.94550000e-06,9.39919250e-01,5.35619700e-04,-9.39383631e-04
1.99670000e-06,9.50413741e-01,5.59935958e-04,-9.49853805e-04
2.04790000e-06,9.59924730e-01,5.84495068e-04,-9.59340235e-04
2.09910000e-06,9.68442375e-01,6.09271595e-04,-9.67833104e-04
2.15030000e-06,9.75957864e-01,6.34239880e-04,-9.75323624e-04
2.20150000e-06,9.82463417e-01,6.59374064e-04,-9.81804043e-04
2.25270000e-06,9.87952304e-01,6.84648116e-04,-9.87267656e-04
2.30390000e-06,9.92418844e-01,7.10035861e-04,-9.91708808e-04
2.35510000e-06,9.95858416e-01,7.35511007e-04,-9.95122905e-04
2.40630000e-06,9.98267459e-01,7.61047172e-04,-9.97506412e-04
2.45750000e-06,9.99643482e-01,7.86617907e-04,-9.98856864e-04
2.50870000e-06,9.99985059e-01,8.12196733e-04,-9.99172863e-04
2.55990000e-06,9.99291839e-01,8.37757157e-04,-9.98454082e-04
2.61110000e-06,9.97564537e-01,8.63272709e-04,-9.96701265e-04
2.66230000e-06,9.94804942e-01,8.88716965e-04,-9.93916225e-04
2.71350000e-06,9.91015909e-01,9.14063572e-04,-9.90101846e-04
2.76470000e-06,9.86201359e-01,9.39286281e-04,-9.85262073e-04
2.81590000e-06,9.80366275e-01,9.64358970e-04,-9.79401916e-04
2.86710000e-06,9.73516693e-01,9.89255673e-04,-9.72527438e-04
2.91830000e-06,9.65659704e-01,1.01395060e-03,-9.64645753e-04
2.96950000e-06,9.56803436e-01,1.03841819e-03,-9.55765018e-04
3.02070000e-06,9.46957055e-01,1.06263309e-03,-9.45894422e-04
3.07190000e-06,9.36130750e-01,1.08657022e-03,-9.35044180e-04
3.12310000e-06,9.24335724e-01,1.11020479e-03,-9.23225519e-04
3.17430000e-06,9.11584182e-01,1.13351233e-03,-9.10450670e-04
3.22550000e-06,8.97889320e-01,1.15646869e-03,-8.96732852e-04
