Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
156      9.71302007e-07   -3.92698542e-05   -7.09503170e-01   -7.09503170e-01
157      9.72087624e-07   -2.12825153e-05   -6.93667384e-01   -6.93667384e-01
158      9.72873241e-07   -1.08704183e-05   -6.76299543e-01   -6.76299543e-01
159      9.73658858e-07   -5.34298671e-06   -6.57938237e-01   -6.57938237e-01
160      9.75230092e-07   -1.22108938e-06   -6.19781336e-01   -6.19781336e-01
161      9.76801326e-07   -2.71703603e-07   -5.80929504e-01   -5.80929504e-01
162      9.79943794e-07   -1.31692639e-08   -5.02731729e-01   -5.02731729e-01
163      9.83086263e-07   -6.59593146e-10   -4.24288763e-01   -4.24288763e-01
164      9.89371199e-07    2.28140492e-11   -2.66932394e-01   -2.66932394e-01
165      1.00194107e-06   -2.44686646e-11    4.87832378e-02    4.87832378e-02
166      1.00822601e-06    3.16821445e-12    2.06650082e-01    2.06650082e-01
167      1.01034545e-06    2.34335262e-11    2.59826347e-01    2.59826347e-01
168      1.01458432e-06    1.41038425e-09    3.66030958e-01    3.66030958e-01
169      1.02306208e-06    4.86373354e-06    5.76614235e-01    5.76614235e-01
170      1.02496957e-06    2.58612998e-05    6.19810248e-01    6.19810248e-01
171      1.02562538e-06    4.26301093e-05    6.32730983e-01    6.32730983e-01
172      1.02628119e-06    6.64916756e-05    6.44222278e-01    6.44222278e-01
173      1.02687142e-06    9.43706704e-05    6.53274189e-01    6.53274189e-01
174      1.02740262e-06    1.24422565e-04    6.60420852e-01    6.60420852e-01
175      1.02793383e-06    1.58709595e-04    6.66712853e-01    6.66712853e-01
176      1.02899624e-06    2.37813553e-04    6.77167386e-01    6.77167386e-01
177      1.03005865e-06    3.27619414e-04    6.85449246e-01    6.85449246e-01
178      1.03112106e-06    4.25023067e-04    6.92178083e-01    6.92178083e-01
179      1.03324588e-06    6.34750225e-04    7.02546729e-01    7.02546729e-01
180      1.03749552e-06    1.08615156e-03    7.16441776e-01    7.16441776e-01
181      1.04174517e-06    1.55708655e-03    7.25764463e-01    7.25764463e-01
182      1.04599481e-06    2.03642607e-03    7.32666819e-01    7.32666819e-01
183      1.05449410e-06    3.00131442e-03    7.42718910e-01    7.42718910e-01
184      1.06299338e-06    3.96143394e-03    7.49895710e-01    7.49895710e-01
185      1.07149267e-06    4.90786494e-03    7.55413211e-01    7.55413211e-01
186      1.07999195e-06    5.83467847e-03    7.59901781e-01    7.59901781e-01
187      1.08849124e-06    6.73793056e-03    7.63608919e-01    7.63608919e-01
188      1.09699052e-06    7.61377061e-03    7.66779114e-01    7.66779114e-01
189      1.10548981e-06    8.45925922e-03    7.69491774e-01    7.69491774e-01
190      1.11398910e-06    9.27133348e-03    7.71869623e-01    7.71869623e-01
191      1.12248838e-06    1.00475042e-02    7.73940645e-01    7.73940645e-01
192      1.13098767e-06    1.07851598e-02    7.75778676e-01    7.75778676e-01
193      1.13948695e-06    1.14821318e-02    7.77391486e-01    7.77391486e-01
194      1.14798624e-06    1.21361602e-02    7.78829099e-01    7.78829099e-01
195      1.15648552e-06    1.27453668e-02    7.80090089e-01    7.80090089e-01
196      1.16498481e-06    1.33078125e-02    7.81211263e-01    7.81211263e-01
197      1.17348410e-06    1.38219082e-02    7.82186544e-01    7.82186544e-01
198      1.18198338e-06    1.42860306e-02    7.83044683e-01    7.83044683e-01
199      1.19048267e-06    1.46988872e-02    7.83777015e-01    7.83777015e-01
200      1.19898195e-06    1.50591734e-02    7.84407011e-01    7.84407011e-01
201      1.20748124e-06    1.53659041e-02    7.84924405e-01    7.84924405e-01
202      1.21598052e-06    1.56180985e-02    7.85348993e-01    7.85348993e-01
203      1.22447981e-06    1.58150886e-02    7.85669361e-01    7.85669361e-01
204      1.23297910e-06    1.59562225e-02    7.85902608e-01    7.85902608e-01
205      1.24147838e-06    1.60411567e-02    7.86036337e-01    7.86036337e-01
206      1.24997767e-06    1.60695720e-02    7.86085551e-01    7.86085551e-01
207      1.25847695e-06    1.60414538e-02    7.86036852e-01    7.86036852e-01
208      1.26697624e-06    1.59568164e-02    7.85903497e-01    7.85903497e-01
209      1.27547552e-06    1.58159761e-02    7.85670924e-01    7.85670924e-01
210      1.28397481e-06    1.56192793e-02    7.85350796e-01    7.85350796e-01
211      1.29247410e-06    1.53673717e-02    7.84927072e-01    7.84927072e-01
212      1.30097338e-06    1.50609273e-02    7.84409780e-01    7.84409780e-01
213      1.30947267e-06    1.47009175e-02    7.83780885e-01    7.83780885e-01
214      1.31797195e-06    1.42883371e-02    7.83048503e-01    7.83048503e-01
215      1.32647124e-06    1.38244770e-02    7.82191777e-01    7.82191777e-01
216      1.33497052e-06    1.33106444e-02    7.81216265e-01    7.81216265e-01
217      1.34346981e-06    1.27484432e-02    7.80096934e-01    7.80096934e-01
218      1.35196910e-06    1.21394840e-02    7.78835476e-01    7.78835476e-01
219      1.36046838e-06    1.14856786e-02    7.77400336e-01    7.77400336e-01
220      1.36896767e-06    1.07889357e-02    7.75786722e-01    7.75786722e-01
221      1.37746695e-06    1.00514771e-02    7.73952147e-01    7.73952147e-01
222      1.38596624e-06    9.27551576e-03    7.71879798e-01    7.71879798e-01
223      1.39446552e-06    8.46360652e-03    7.69507084e-01    7.69507084e-01
224      1.40296481e-06    7.61830708e-03    7.66792205e-01    7.66792205e-01
225      1.41146410e-06    6.74258998e-03    7.63630411e-01    7.63630411e-01
226      1.41996338e-06    5.83950833e-03    7.59919458e-01    7.59919458e-01
227      1.42846267e-06    4.91275119e-03    7.55447078e-01    7.55447078e-01
228      1.43696195e-06    3.96646097e-03    7.49926009e-01    7.49926009e-01
229      1.44546124e-06    3.00637366e-03    7.42764397e-01    7.42764397e-01
230      1.45396052e-06    2.04112310e-03    7.32803366e-01    7.32803366e-01
231      1.46245981e-06    1.09157196e-03    7.16449200e-01    7.16449200e-01
232      1.46354540e-06    9.73057709e-04    7.13602029e-01    7.13602029e-01
233      1.46571659e-06    7.42083878e-04    7.06571224e-01    7.06571224e-01
234      1.47005897e-06    3.17128231e-04    6.84643805e-01    6.84643805e-01
235      1.47049320e-06    2.79852352e-04    6.81375333e-01    6.81375333e-01
236      1.47092743e-06    2.43948081e-04    6.77827051e-01    6.77827051e-01
237      1.47179589e-06    1.77611488e-04    6.69619950e-01    6.69619950e-01
238      1.47266436e-06    1.20383053e-04    6.59570222e-01    6.59570222e-01
239      1.47353282e-06    7.46336947e-05    6.47204322e-01    6.47204322e-01
240      1.47440128e-06    4.18067264e-05    6.32234228e-01    6.32234228e-01
241      1.47526974e-06    2.13011636e-05    6.14780780e-01    6.14780780e-01
242      1.47613821e-06    1.00683821e-05    5.95454342e-01    5.95454342e-01
243      1.47700667e-06    4.57469422e-06    5.74962296e-01    5.74962296e-01
244      1.47874360e-06    8.69768210e-07    5.32470917e-01    5.32470917e-01
245      1.48048052e-06    1.78127851e-07    4.89313441e-01    4.89313441e-01
246      1.48395437e-06   -6.23916305e-09    4.02589023e-01    4.02589023e-01
