Index       TIME              V(1)              V(2)              V(3)              V(4)              V(5)              V(6)       
377      2.10084347e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.26519791e-02   -8.43465270e-03
378      2.10168029e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    2.52043604e-02   -1.68029069e-02
379      2.10335394e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    5.03091230e-02   -3.35394153e-02
380      2.10670124e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.00518648e-01   -6.70124321e-02
381      2.11339585e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    2.00937699e-01   -1.33958466e-01
382      2.12678505e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    4.01775799e-01   -2.67850533e-01
383      2.15356347e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    8.03452001e-01   -5.35634667e-01
384      2.20000000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50000000e+00   -1.00000000e+00
385      2.20000625e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50009375e+00   -9.68750000e-01
386      2.20001250e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50018750e+00   -9.37500000e-01
387      2.20002500e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50037500e+00   -8.75000000e-01
388      2.20005000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50075000e+00   -7.50000000e-01
389      2.20010000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50150000e+00   -5.00000000e-01
390      2.20020000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50300000e+00   -5.32907052e-13
391      2.20040000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50600000e+00    1.00000000e+00
392      2.20080000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.51200000e+00    3.00000000e+00
393      2.20100000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.51500000e+00    4.00000000e+00
394      2.20108000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.51620000e+00    3.99919192e+00
395      2.20124000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.51860000e+00    3.99757576e+00
396      2.20156000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.52340000e+00    3.99434343e+00
397      2.20220000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.53300000e+00    3.98787879e+00
398      2.20348000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.55220000e+00    3.97494949e+00
399      2.20604000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.59060000e+00    3.94909091e+00
400      2.21116000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.66740000e+00    3.89737374e+00
401      2.22140000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.82100000e+00    3.79393939e+00
402      2.24188000e+01    3.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    2.12820000e+00    3.58707071e+00
