Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
378	2.83901949e+00	2.60166080e+02	1.14060630e+02
379	2.84688381e+00	2.61043489e+02	1.14693003e+02
380	2.85474813e+00	2.61917306e+02	1.15332852e+02
381	2.86261245e+00	2.62787397e+02	1.15980248e+02
382	2.87047677e+00	2.63653627e+02	1.16635259e+02
383	2.87834109e+00	2.64515860e+02	1.17297956e+02
384	2.88620541e+00	2.65373957e+02	1.17968408e+02
385	2.89406973e+00	2.66227777e+02	1.18646685e+02
386	2.90193405e+00	2.67077180e+02	1.19332858e+02
387	2.90979837e+00	2.67922022e+02	1.20026998e+02
388	2.91766269e+00	2.68762158e+02	1.20729175e+02
389	2.92552701e+00	2.69597442e+02	1.21439460e+02
390	2.93339133e+00	2.70427725e+02	1.22157924e+02
391	2.94125565e+00	2.71252857e+02	1.22884638e+02
392	2.94911997e+00	2.72072688e+02	1.23619674e+02
393	2.95698429e+00	2.72887065e+02	1.24363101e+02
394	2.96484861e+00	2.73695832e+02	1.25114993e+02
395	2.97271293e+00	2.74498835e+02	1.25875418e+02
396	2.98057725e+00	2.75295915e+02	1.26644450e+02
397	2.98844157e+00	2.76086914e+02	1.27422159e+02
398	2.99630589e+00	2.76871671e+02	1.28208615e+02
399	3.00417021e+00	2.77650023e+02	1.29003889e+02
400	3.01203453e+00	2.78421809e+02	1.29808053e+02
401	3.01989885e+00	2.79186862e+02	1.30621177e+02
402	3.02776317e+00	2.79945017e+02	1.31443330e+02
403	3.03562749e+00	2.80696106e+02	1.32274583e+02
404	3.04349181e+00	2.81439960e+02	1.33115006e+02
405	3.05135613e+00	2.82176409e+02	1.33964667e+02
406	3.05922045e+00	2.82905281e+02	1.34823635e+02
407	3.06708477e+00	2.83626404e+02	1.35691979e+02
408	3.07494909e+00	2.84339603e+02	1.36569767e+02
409	3.08281341e+00	2.85044703e+02	1.37457067e+02
410	3.09067773e+00	2.85741528e+02	1.38353944e+02
411	3.09854205e+00	2.86429901e+02	1.39260467e+02
412	3.10640637e+00	2.87109643e+02	1.40176699e+02
413	3.11427069e+00	2.87780575e+02	1.41102706e+02
414	3.12213501e+00	2.88442515e+02	1.42038553e+02
415	3.12999933e+00	2.89095284e+02	1.42984302e+02
416	3.13786365e+00	2.89738698e+02	1.43940017e+02
417	3.14572797e+00	2.90372574e+02	1.44905759e+02
418	3.15359229e+00	2.90996728e+02	1.45881588e+02
419	3.16145661e+00	2.91610976e+02	1.46867564e+02
420	3.16932093e+00	2.92215133e+02	1.47863747e+02
421	3.17718525e+00	2.92809013e+02	1.48870193e+02
422	3.18504957e+00	2.93392428e+02	1.49886958e+02
423	3.19291389e+00	2.93965193e+02	1.50914099e+02
424	3.20077821e+00	2.94527120e+02	1.51951668e+02
425	3.20864253e+00	2.95078021e+02	1.52999718e+02
426	3.21650685e+00	2.95617709e+02	1.54058299e+02
427	3.22437117e+00	2.96145995e+02	1.55127463e+02
428	3.23223549e+00	2.96662690e+02	1.56207255e+02
