Index       TIME        N(YRXN!R1_000_CONC_ZSPEC)
463      1.51584375e-05    1.00000601e+00
464      1.54784375e-05    1.00000605e+00
465      1.57984375e-05    1.00000608e+00
466      1.61184375e-05    1.00000611e+00
467      1.64384375e-05    1.00000614e+00
468      1.67584375e-05    1.00000617e+00
469      1.70784375e-05    1.00000620e+00
470      1.73984375e-05    1.00000623e+00
471      1.77184375e-05    1.00000626e+00
472      1.80384375e-05    1.00000628e+00
473      1.83584375e-05    1.00000631e+00
474      1.86784375e-05    1.00000634e+00
475      1.89984375e-05    1.00000636e+00
476      1.93184375e-05    1.00000639e+00
477      1.96384375e-05    1.00000642e+00
478      1.99584375e-05    1.00000644e+00
479      2.02784375e-05    1.00000647e+00
480      2.05984375e-05    1.00000649e+00
481      2.09184375e-05    1.00000651e+00
482      2.12384375e-05    1.00000654e+00
483      2.15584375e-05    1.00000656e+00
484      2.18784375e-05    1.00000658e+00
485      2.21984375e-05    1.00000661e+00
486      2.25184375e-05    1.00000663e+00
487      2.28384375e-05    1.00000665e+00
488      2.31584375e-05    1.00000667e+00
489      2.34784375e-05    1.00000669e+00
490      2.37984375e-05    1.00000671e+00
491      2.41184375e-05    1.00000673e+00
492      2.44384375e-05    1.00000675e+00
493      2.47584375e-05    1.00000677e+00
494      2.53984375e-05    1.00000681e+00
495      2.60384375e-05    1.00000685e+00
496      2.66784375e-05    1.00000689e+00
497      2.73184375e-05    1.00000692e+00
498      2.79584375e-05    1.00000696e+00
499      2.85984375e-05    1.00000699e+00
500      2.92384375e-05    1.00000703e+00
501      2.98784375e-05    1.00000706e+00
502      3.05184375e-05    1.00000709e+00
503      3.11584375e-05    1.00000712e+00
504      3.17984375e-05    1.00000716e+00
505      3.24384375e-05    1.00000719e+00
506      3.30784375e-05    1.00000721e+00
507      3.37184375e-05    1.00000724e+00
508      3.43584375e-05    1.00000727e+00
509      3.49984375e-05    1.00000730e+00
510      3.56384375e-05    1.00000733e+00
511      3.62784375e-05    1.00000735e+00
512      3.69184375e-05    1.00000738e+00
513      3.75584375e-05    1.00000740e+00
514      3.81984375e-05    1.00000743e+00
515      3.88384375e-05    1.00000745e+00
516      3.94784375e-05    1.00000748e+00
517      4.01184375e-05    1.00000750e+00
518      4.07584375e-05    1.00000753e+00
519      4.13984375e-05    1.00000755e+00
520      4.20384375e-05    1.00000757e+00
521      4.26784375e-05    1.00000759e+00
522      4.39584375e-05    1.00000764e+00
523      4.52384375e-05    1.00000768e+00
524      4.65184375e-05    1.00000772e+00
525      4.77984375e-05    1.00000776e+00
526      4.90784375e-05    1.00000780e+00
527      5.03584375e-05    1.00000783e+00
528      5.16384375e-05    1.00000787e+00
529      5.29184375e-05    1.00000790e+00
530      5.41984375e-05    1.00000794e+00
531      5.54784375e-05    1.00000797e+00
532      5.67584375e-05    1.00000800e+00
533      5.80384375e-05    1.00000803e+00
534      5.93184375e-05    1.00000806e+00
535      6.05984375e-05    1.00000809e+00
536      6.18784375e-05    1.00000812e+00
537      6.31584375e-05    1.00000815e+00
538      6.44384375e-05    1.00000818e+00
539      6.57184375e-05    1.00000821e+00
540      6.69984375e-05    1.00000823e+00
541      6.82784375e-05    1.00000826e+00
542      6.95584375e-05    1.00000828e+00
543      7.08384375e-05    1.00000831e+00
544      7.21184375e-05    1.00000833e+00
545      7.46784375e-05    1.00000838e+00
546      7.72384375e-05    1.00000842e+00
547      7.97984375e-05    1.00000847e+00
548      8.23584375e-05    1.00000851e+00
549      8.49184375e-05    1.00000855e+00
550      8.74784375e-05    1.00000858e+00
551      9.00384375e-05    1.00000862e+00
552      9.25984375e-05    1.00000866e+00
553      9.51584375e-05    1.00000869e+00
554      9.77184375e-05    1.00000872e+00
555      1.00278438e-04    1.00000876e+00
556      1.02838438e-04    1.00000879e+00
557      1.05398438e-04    1.00000882e+00
558      1.07958438e-04    1.00000884e+00
559      1.10518438e-04    1.00000887e+00
560      1.13078438e-04    1.00000890e+00
561      1.15638438e-04    1.00000893e+00
562      1.18198438e-04    1.00000895e+00
563      1.20758438e-04    1.00000898e+00
564      1.23318438e-04    1.00000900e+00
565      1.28438438e-04    1.00000905e+00
566      1.33558438e-04    1.00000909e+00
567      1.38678438e-04    1.00000913e+00
568      1.43798438e-04    1.00000917e+00
569      1.48918438e-04    1.00000920e+00
570      1.54038438e-04    1.00000924e+00
571      1.59158438e-04    1.00000927e+00
572      1.64278438e-04    1.00000930e+00
573      1.69398438e-04    1.00000933e+00
574      1.74518438e-04    1.00000936e+00
575      1.79638438e-04    1.00000939e+00
576      1.84758438e-04    1.00000941e+00
577      1.89878438e-04    1.00000944e+00
578      1.94998438e-04    1.00000946e+00
579      2.00118438e-04    1.00000948e+00
580      2.05238438e-04    1.00000950e+00
581      2.15478438e-04    1.00000954e+00
582      2.25718438e-04    1.00000958e+00
583      2.35958438e-04    1.00000961e+00
584      2.46198438e-04    1.00000964e+00
585      2.56438438e-04    1.00000967e+00
586      2.66678438e-04    1.00000969e+00
587      2.76918438e-04    1.00000972e+00
588      2.87158438e-04    1.00000974e+00
589      2.97398438e-04    1.00000976e+00
590      3.07638438e-04    1.00000977e+00
591      3.17878438e-04    1.00000979e+00
592      3.28118438e-04    1.00000980e+00
593      3.38358438e-04    1.00000982e+00
