Index        TIME               V(OUT)               V(IN)               V(1)        
1173     1.9565470688e-05    4.5753995932e+00    4.7177142522e-01    0.0000000000e+00
1174     1.9565573783e-05    4.3617093832e+00    4.4443118309e-01    0.0000000000e+00
1175     1.9565586272e-05    4.3301783127e+00    4.4182626510e-01    0.0000000000e+00
1176     1.9565611250e-05    4.2627552164e+00    4.3688525374e-01    0.0000000000e+00
1177     1.9565636227e-05    4.1854375958e+00    4.3242612533e-01    0.0000000000e+00
1178     1.9565661205e-05    4.0910066679e+00    4.2858534097e-01    0.0000000000e+00
1179     1.9565686183e-05    3.9493802501e+00    4.2616766758e-01    0.0000000000e+00
1180     1.9565708437e-05    3.7503146144e+00    4.2620326721e-01    0.0000000000e+00
1181     1.9565727507e-05    3.5525601149e+00    4.2720267326e-01    0.0000000000e+00
1182     1.9565746578e-05    3.3525933491e+00    4.2846042944e-01    0.0000000000e+00
1183     1.9565765649e-05    3.1410224568e+00    4.2988210720e-01    0.0000000000e+00
1184     1.9565784719e-05    2.9225026771e+00    4.3137170347e-01    0.0000000000e+00
1185     1.9565803790e-05    2.6961130271e+00    4.3293592734e-01    0.0000000000e+00
1186     1.9565822860e-05    2.4634525806e+00    4.3450496294e-01    0.0000000000e+00
1187     1.9565861001e-05    1.9883832714e+00    4.3749444101e-01    0.0000000000e+00
1188     1.9565867085e-05    1.9151927100e+00    4.3785837966e-01    0.0000000000e+00
1189     1.9565879251e-05    1.7833227779e+00    4.3827243369e-01    0.0000000000e+00
1190     1.9565891417e-05    1.6651414982e+00    4.3816003251e-01    0.0000000000e+00
1191     1.9565903583e-05    1.5551161710e+00    4.3761195131e-01    0.0000000000e+00
1192     1.9565927915e-05    1.3578952225e+00    4.3561449392e-01    0.0000000000e+00
1193     1.9565952247e-05    1.1829536705e+00    4.3293013104e-01    0.0000000000e+00
1194     1.9565976579e-05    1.0286683604e+00    4.3000062261e-01    0.0000000000e+00
1195     1.9566000911e-05    8.9155970569e-01    4.2709645340e-01    0.0000000000e+00
1196     1.9566025244e-05    7.7149756896e-01    4.2435120974e-01    0.0000000000e+00
1197     1.9566049576e-05    6.6592794254e-01    4.2184916631e-01    0.0000000000e+00
1198     1.9566073908e-05    5.7456909460e-01    4.1961459227e-01    0.0000000000e+00
1199     1.9566098240e-05    4.9514971251e-01    4.1765601097e-01    0.0000000000e+00
1200     1.9566122572e-05    4.2716619584e-01    4.1595153682e-01    0.0000000000e+00
1201     1.9566146905e-05    3.6861710389e-01    4.1447627227e-01    0.0000000000e+00
1202     1.9566171237e-05    3.1892904768e-01    4.1319088172e-01    0.0000000000e+00
1203     1.9566219901e-05    2.4011463208e-01    4.1102223728e-01    0.0000000000e+00
1204     1.9566268565e-05    1.8392471550e-01    4.0916372034e-01    0.0000000000e+00
1205     1.9566317230e-05    1.4379874480e-01    4.0735594007e-01    0.0000000000e+00
1206     1.9566365894e-05    1.1576489954e-01    4.0546220605e-01    0.0000000000e+00
1207     1.9566463223e-05    8.1457015038e-02    4.0136102371e-01    0.0000000000e+00
1208     1.9566657880e-05    4.9700584132e-02    3.8760539128e-01    0.0000000000e+00
1209     1.9566833072e-05    3.3834251931e-02    3.6533420140e-01    0.0000000000e+00
1210     1.9566990744e-05    2.4150451683e-02    3.3935224215e-01    0.0000000000e+00
1211     1.9567148417e-05    1.7956591440e-02    3.1177666674e-01    0.0000000000e+00
1212     1.9567463762e-05    1.1270713115e-02    2.5827328887e-01    0.0000000000e+00
1213     1.9567779107e-05    7.4329248179e-03    2.1019530659e-01    0.0000000000e+00
1214     1.9568094452e-05    4.9052950350e-03    1.6863159103e-01    0.0000000000e+00
1215     1.9568409797e-05    3.1745079479e-03    1.3381953614e-01    0.0000000000e+00
1216     1.9569040487e-05    1.4317317329e-03    8.1891214143e-02    0.0000000000e+00
1217     1.9569671177e-05    6.0449586982e-04    4.8929358684e-02    0.0000000000e+00
1218     1.9570301867e-05    3.6744941305e-04    2.8852941401e-02    0.0000000000e+00
1219     1.9571563247e-05    3.7037044208e-05    9.0312161968e-03    0.0000000000e+00
1220     1.9572824627e-05    6.7598324166e-05    2.7684152423e-03    0.0000000000e+00
1221     1.9575347386e-05   -4.3177590776e-05   -7.8082048462e-05    0.0000000000e+00
1222     1.9577870146e-05    4.2361225340e-05    2.2943660269e-07    0.0000000000e+00
1223     1.9582915666e-05   -4.2300702420e-05    1.1661702962e-06    0.0000000000e+00
1224     1.9587961186e-05    4.2259572474e-05   -1.6279246472e-06    0.0000000000e+00
1225     1.9598052225e-05   -4.2236595699e-05    1.7123628542e-06    0.0000000000e+00
1226     1.9618234304e-05    4.2230356432e-05   -1.7378397035e-06    0.0000000000e+00
1227     1.9658598462e-05   -4.2222418929e-05    1.7476141889e-06    0.0000000000e+00
1228     1.9739326778e-05    4.2223355836e-05   -1.7518729372e-06    0.0000000000e+00
1229     1.9900783410e-05   -4.2218938391e-05    1.7538573631e-06    0.0000000000e+00
1230     2.0201783410e-05    4.2221578299e-05   -1.7548835730e-06    0.0000000000e+00
1231     2.0502783410e-05   -4.2217699209e-05    1.7558837263e-06    0.0000000000e+00
1232     2.0803783410e-05    4.2220340541e-05   -1.7568582617e-06    0.0000000000e+00
1233     2.1065000000e-05   -4.2216368754e-05    1.7579500271e-06    0.0000000000e+00
1234     2.1065031250e-05    3.5604239568e-05    1.0566927729e-03    3.1250000004e-02
1235     2.1065093750e-05    2.3149804489e-04    6.6855941348e-03    9.3750000005e-02
1236     2.1065156250e-05    4.7010069565e-04    1.3983187065e-02    1.5625000001e-01
1237     2.1065281250e-05    1.0460012661e-03    3.7876484189e-02    2.8125000000e-01
1238     2.1065406250e-05    1.5530355718e-03    7.2988420085e-02    4.0625000000e-01
1239     2.1065656250e-05    2.1584328604e-03    1.7124741243e-01    6.5625000000e-01
1240     2.1065906250e-05    2.3829919069e-03    3.0078143694e-01    9.0625000000e-01
1241     2.1066156250e-05    2.4200536260e-03    4.5492316630e-01    1.1562500000e+00
1242     2.1066406250e-05    2.3859273846e-03    6.2855319528e-01    1.4062500000e+00
1243     2.1066906250e-05    2.3771524929e-03    1.0210076661e+00    1.9062500000e+00
1244     2.1067406250e-05    2.9186855011e-03    1.4791724202e+00    2.4062500000e+00
1245     2.1067906250e-05    2.1511084242e-03    1.9708257712e+00    2.9062500000e+00
1246     2.1068406250e-05   -2.5415562035e-03    2.4492982379e+00    3.4062500000e+00
1247     2.1068856250e-05   -9.3346751586e-03    2.8661711481e+00    3.8562500000e+00
1248     2.1069251967e-05   -1.9009175127e-02    3.2146420321e+00    4.2519669601e+00
1249     2.1069293342e-05   -2.0482027714e-02    3.2504772754e+00    4.2933421617e+00
1250     2.1069334717e-05   -2.2396821747e-02    3.2874695582e+00    4.3347173633e+00
1251     2.1069417468e-05   -3.0249747636e-02    3.3801453727e+00    4.4174677665e+00
1252     2.1069500218e-05   -4.2635306685e-02    3.4982315870e+00    4.5002181697e+00
1253     2.1069582969e-05   -5.5521703788e-02    3.6173839736e+00    4.5829685728e+00
1254     2.1069665719e-05   -7.3688346136e-02    3.7418338310e+00    4.6657189760e+00
1255     2.1069740194e-05   -9.2587966965e-02    3.8439141001e+00    4.7401943389e+00
1256     2.1069814670e-05   -1.0458825572e-01    3.9302512820e+00    4.8146697017e+00
1257     2.1069889145e-05   -1.1315003729e-01    4.0063686277e+00    4.8891450646e+00
1258     2.1069963620e-05   -1.1866168001e-01    4.0759644732e+00    4.9636204275e+00
1259     2.1070000000e-05   -1.1952813371e-01    4.1086835505e+00    5.0000000000e+00
1260     2.1070007448e-05   -1.1943141795e-01    4.1153663812e+00    5.0000000000e+00
1261     2.1070012936e-05   -1.1932768807e-01    4.1202567277e+00    5.0000000000e+00
1262     2.1070023912e-05   -1.1904496480e-01    4.1299777313e+00    5.0000000000e+00
1263     2.1070045866e-05   -1.1795714995e-01    4.1490902645e+00    5.0000000000e+00
1264     2.1070089772e-05   -1.1342239478e-01    4.1860662412e+00    5.0000000000e+00
1265     2.1070177585e-05   -9.3173540941e-02    4.2552768563e+00    5.0000000000e+00
1266     2.1070265398e-05   -5.4705263667e-02    4.3185722372e+00    5.0000000000e+00
1267     2.1070353211e-05    7.5393851605e-03    4.3764546060e+00    5.0000000000e+00
1268     2.1070441024e-05    1.0220910696e-01    4.4293851955e+00    5.0000000000e+00
1269     2.1070528837e-05    2.4738469230e-01    4.4725866163e+00    5.0000000000e+00
1270     2.1070607868e-05    4.5521056207e-01    4.5006927626e+00    5.0000000000e+00
1271     2.1070616605e-05    4.8564733980e-01    4.5032614937e+00    5.0000000000e+00
1272     2.1070625342e-05    5.1823258683e-01    4.5057403954e+00    5.0000000000e+00
1273     2.1070642816e-05    5.9674877981e-01    4.5103298961e+00    5.0000000000e+00
1274     2.1070660290e-05    7.0466544059e-01    4.5142307640e+00    5.0000000000e+00
1275     2.1070677764e-05    8.4051569894e-01    4.5175227666e+00    5.0000000000e+00
1276     2.1070695238e-05    9.8516290509e-01    4.5206111280e+00    5.0000000000e+00
1277     2.1070712712e-05    1.1387531132e+00    4.5234691236e+00    5.0000000000e+00
1278     2.1070730186e-05    1.3009099949e+00    4.5261663502e+00    5.0000000000e+00
1279     2.1070747660e-05    1.4707430089e+00    4.5287213041e+00    5.0000000000e+00
1280     2.1070782608e-05    1.8319203811e+00    4.5335278890e+00    5.0000000000e+00
1281     2.1070817555e-05    2.2171839904e+00    4.5380806553e+00    5.0000000000e+00
1282     2.1070852503e-05    2.5916169483e+00    4.5433956999e+00    5.0000000000e+00
1283     2.1070883956e-05    2.8635789757e+00    4.5500780106e+00    5.0000000000e+00
1284     2.1070909481e-05    3.0329924747e+00    4.5565374176e+00    5.0000000000e+00
1285     2.1070935006e-05    3.1782760019e+00    4.5633203347e+00    5.0000000000e+00
1286     2.1070986056e-05    3.4255388768e+00    4.5770101350e+00    5.0000000000e+00
1287     2.1071037105e-05    3.6299721051e+00    4.5903428533e+00    5.0000000000e+00
1288     2.1071088155e-05    3.8026818339e+00    4.6029842867e+00    5.0000000000e+00
1289     2.1071139204e-05    3.9482197199e+00    4.6148634230e+00    5.0000000000e+00
1290     2.1071190254e-05    4.0712162664e+00    4.6259970732e+00    5.0000000000e+00
1291     2.1071241303e-05    4.1746124247e+00    4.6364623481e+00    5.0000000000e+00
1292     2.1071292353e-05    4.2617210447e+00    4.6463606396e+00    5.0000000000e+00
1293     2.1071343403e-05    4.3351139380e+00    4.6558779271e+00    5.0000000000e+00
1294     2.1071394452e-05    4.3976598197e+00    4.6652019136e+00    5.0000000000e+00
1295     2.1071445502e-05    4.4509360761e+00    4.6743997811e+00    5.0000000000e+00
1296     2.1071547601e-05    4.5358971614e+00    4.6925121709e+00    5.0000000000e+00
1297     2.1071649700e-05    4.5979709258e+00    4.7102957485e+00    5.0000000000e+00
1298     2.1071751799e-05    4.6439940230e+00    4.7277554871e+00    5.0000000000e+00
1299     2.1071853898e-05    4.6782118945e+00    4.7447819681e+00    5.0000000000e+00
1300     2.1071955998e-05    4.7041713695e+00    4.7613053040e+00    5.0000000000e+00
1301     2.1072160196e-05    4.7404312807e+00    4.7927120428e+00    5.0000000000e+00
1302     2.1072364394e-05    4.7632636243e+00    4.8216276120e+00    5.0000000000e+00
1303     2.1072568593e-05    4.7779986058e+00    4.8476927331e+00    5.0000000000e+00
1304     2.1072772791e-05    4.7877182924e+00    4.8707468082e+00    5.0000000000e+00
1305     2.1073181188e-05    4.7984119914e+00    4.9082750673e+00    5.0000000000e+00
1306     2.1073589584e-05    4.8028303681e+00    4.9357399833e+00    5.0000000000e+00
1307     2.1073997981e-05    4.8045579615e+00    4.9553014664e+00    5.0000000000e+00
1308     2.1074814774e-05    4.8057860383e+00    4.9791282710e+00    5.0000000000e+00
1309     2.1075631567e-05    4.8059078466e+00    4.9903338037e+00    5.0000000000e+00
1310     2.1077265154e-05    4.8060570907e+00    4.9985207241e+00    5.0000000000e+00
1311     2.1078898741e-05    4.8060194018e+00    4.9997741498e+00    5.0000000000e+00
1312     2.1082165914e-05    4.8060741503e+00    5.0000427396e+00    5.0000000000e+00
1313     2.1085433087e-05    4.8060220037e+00    4.9999920496e+00    5.0000000000e+00
1314     2.1091967433e-05    4.8060736656e+00    5.0000038104e+00    5.0000000000e+00
1315     2.1105036126e-05    4.8060220744e+00    4.9999973555e+00    5.0000000000e+00
1316     2.1131173511e-05    4.8060736436e+00    5.0000021990e+00    5.0000000000e+00
1317     2.1183448281e-05    4.8060220832e+00    4.9999979964e+00    5.0000000000e+00
1318     2.1287997822e-05    4.8060736397e+00    5.0000019120e+00    5.0000000000e+00
1319     2.1497096904e-05    4.8060220851e+00    4.9999981324e+00    5.0000000000e+00
1320     2.1798096904e-05    4.8060736386e+00    5.0000018374e+00    5.0000000000e+00
1321     2.2099096904e-05    4.8060220859e+00    4.9999981925e+00    5.0000000000e+00
1322     2.2400096904e-05    4.8060736378e+00    5.0000017782e+00    5.0000000000e+00
1323     2.2570000000e-05    4.8060220870e+00    4.9999982728e+00    5.0000000000e+00
1324     2.2570031250e-05    4.8060029730e+00    4.9991043128e+00    4.9687500000e+00
1325     2.2570093750e-05    4.8057796952e+00    4.9940014799e+00    4.9062500000e+00
1326     2.2570156250e-05    4.8055086764e+00    4.9872914329e+00    4.8437500000e+00
1327     2.2570281250e-05    4.8048584209e+00    4.9647781980e+00    4.7187500000e+00
1328     2.2570406250e-05    4.8042864294e+00    4.9311660906e+00    4.5937500000e+00
1329     2.2570656250e-05    4.8036790986e+00    4.8358866755e+00    4.3437500000e+00
1330     2.2570906250e-05    4.8036254712e+00    4.7090129068e+00    4.0937500000e+00
1331     2.2571156250e-05    4.8038382490e+00    4.5570426962e+00    3.8437500000e+00
1332     2.2571406250e-05    4.8041235342e+00    4.3851035472e+00    3.5937500000e+00
1333     2.2571656250e-05    4.8043914594e+00    4.1972589762e+00    3.3437500000e+00
1334     2.2572156250e-05    4.8032707686e+00    3.7221762948e+00    2.8437500000e+00
1335     2.2572585957e-05    4.8038640884e+00    3.2513167304e+00    2.4140434121e+00
1336     2.2573015663e-05    4.8114048181e+00    2.8260928075e+00    1.9843368242e+00
1337     2.2573381867e-05    4.8213475069e+00    2.4670677518e+00    1.6181333809e+00
1338     2.2573748070e-05    4.8373559029e+00    2.1144529552e+00    1.2519299375e+00
1339     2.2573799455e-05    4.8403868596e+00    2.0650828183e+00    1.2005452295e+00
1340     2.2573850839e-05    4.8436525192e+00    2.0157744326e+00    1.1491605215e+00
1341     2.2573953609e-05    4.8522331605e+00    1.9149534537e+00    1.0463911055e+00
1342     2.2574056378e-05    4.8659761415e+00    1.8036720044e+00    9.4362168949e-01
1343     2.2574159148e-05    4.8843340474e+00    1.6839314285e+00    8.4085227347e-01
1344     2.2574261917e-05    4.9031046368e+00    1.5658058261e+00    7.3808285745e-01
1345     2.2574364687e-05    4.9238057850e+00    1.4469953714e+00    6.3531344143e-01
1346     2.2574467456e-05    4.9457619138e+00    1.3271585032e+00    5.3254402542e-01
1347     2.2574570225e-05    4.9650247917e+00    1.2122614688e+00    4.2977460940e-01
1348     2.2574672995e-05    4.9809335641e+00    1.1065667341e+00    3.2700519338e-01
1349     2.2574775764e-05    4.9907801375e+00    1.0074763309e+00    2.2423577737e-01
1350     2.2574878534e-05    4.9903333377e+00    9.1114865435e-01    1.2146636135e-01
1351     2.2574981303e-05    4.9758517401e+00    8.1436564242e-01    1.8696945331e-02
1352     2.2575000000e-05    4.9714962080e+00    7.9672124459e-01   -7.9936057773e-13
1353     2.2575010277e-05    4.9687627953e+00    7.8712064420e-01    0.0000000000e+00
1354     2.2575017585e-05    4.9667267175e+00    7.8036081602e-01    0.0000000000e+00
1355     2.2575032201e-05    4.9624585683e+00    7.6696064982e-01    0.0000000000e+00
1356     2.2575061434e-05    4.9527157811e+00    7.4084866438e-01    0.0000000000e+00
1357     2.2575119899e-05    4.9280518435e+00    6.9125398230e-01    0.0000000000e+00
1358     2.2575236828e-05    4.8548376944e+00    6.0173308258e-01    0.0000000000e+00
1359     2.2575353758e-05    4.7431039544e+00    5.2442971885e-01    0.0000000000e+00
1360     2.2575470688e-05    4.5753995932e+00    4.7177142522e-01    0.0000000000e+00
1361     2.2575573783e-05    4.3617093832e+00    4.4443118309e-01    0.0000000000e+00
1362     2.2575586272e-05    4.3301783127e+00    4.4182626510e-01    0.0000000000e+00
1363     2.2575611250e-05    4.2627552164e+00    4.3688525374e-01    0.0000000000e+00
1364     2.2575636227e-05    4.1854375958e+00    4.3242612533e-01    0.0000000000e+00
1365     2.2575661205e-05    4.0910066679e+00    4.2858534097e-01    0.0000000000e+00
1366     2.2575686183e-05    3.9493802501e+00    4.2616766758e-01    0.0000000000e+00
1367     2.2575708437e-05    3.7503146143e+00    4.2620326721e-01    0.0000000000e+00
1368     2.2575727507e-05    3.5525601148e+00    4.2720267326e-01    0.0000000000e+00
1369     2.2575746578e-05    3.3525933490e+00    4.2846042944e-01    0.0000000000e+00
1370     2.2575765649e-05    3.1410224567e+00    4.2988210720e-01    0.0000000000e+00
1371     2.2575784719e-05    2.9225026770e+00    4.3137170347e-01    0.0000000000e+00
1372     2.2575803790e-05    2.6961130270e+00    4.3293592734e-01    0.0000000000e+00
1373     2.2575822860e-05    2.4634525804e+00    4.3450496294e-01    0.0000000000e+00
1374     2.2575861001e-05    1.9883832712e+00    4.3749444101e-01    0.0000000000e+00
1375     2.2575867085e-05    1.9151927099e+00    4.3785837966e-01    0.0000000000e+00
1376     2.2575879251e-05    1.7833227778e+00    4.3827243369e-01    0.0000000000e+00
1377     2.2575891417e-05    1.6651414981e+00    4.3816003250e-01    0.0000000000e+00
1378     2.2575903583e-05    1.5551161708e+00    4.3761195131e-01    0.0000000000e+00
1379     2.2575927915e-05    1.3578952224e+00    4.3561449392e-01    0.0000000000e+00
1380     2.2575952247e-05    1.1829536703e+00    4.3293013104e-01    0.0000000000e+00
1381     2.2575976579e-05    1.0286683602e+00    4.3000062260e-01    0.0000000000e+00
1382     2.2576000911e-05    8.9155970552e-01    4.2709645340e-01    0.0000000000e+00
