Index         TIME             V(3)         {V(2)-V(27)}   {V(3)-(V(2)-V(27))}
126     2.11422259e-04   -8.66317411e-01  -8.66317411e-01  0.00000000e+00   
127     2.11949737e-04   -1.00062753e+00  -1.00062753e+00  0.00000000e+00   
128     2.12477215e-04   -1.13078816e+00  -1.13078816e+00  0.00000000e+00   
129     2.13532171e-04   -1.37842873e+00  -1.37842873e+00  0.00000000e+00   
130     2.14587128e-04   -1.60881034e+00  -1.60881034e+00  0.00000000e+00   
131     2.15642084e-04   -1.82156215e+00  -1.82156215e+00  0.00000000e+00   
132     2.16697040e-04   -2.01637209e+00  -2.01637209e+00  0.00000000e+00   
133     2.17751997e-04   -2.19298756e+00  -2.19298756e+00  0.00000000e+00   
134     2.18806953e-04   -2.35121589e+00  -2.35121589e+00  0.00000000e+00   
135     2.19861909e-04   -2.49092470e+00  -2.49092470e+00  0.00000000e+00   
136     2.20916866e-04   -2.61204207e+00  -2.61204207e+00  0.00000000e+00   
137     2.21971822e-04   -2.71455645e+00  -2.71455645e+00  0.00000000e+00   
138     2.23026778e-04   -2.79851653e+00  -2.79851653e+00  0.00000000e+00   
139     2.24081735e-04   -2.86403084e+00  -2.86403084e+00  0.00000000e+00   
140     2.25136691e-04   -2.91126721e+00  -2.91126721e+00  0.00000000e+00   
141     2.26191647e-04   -2.94045201e+00  -2.94045201e+00  0.00000000e+00   
142     2.27246603e-04   -2.95186933e+00  -2.95186933e+00  0.00000000e+00   
143     2.28301560e-04   -2.94585987e+00  -2.94585987e+00  0.00000000e+00   
144     2.29356516e-04   -2.92281975e+00  -2.92281975e+00  0.00000000e+00   
145     2.30411472e-04   -2.88319909e+00  -2.88319909e+00  0.00000000e+00   
146     2.31466429e-04   -2.82750055e+00  -2.82750055e+00  0.00000000e+00   
147     2.32521385e-04   -2.75627755e+00  -2.75627755e+00  0.00000000e+00   
148     2.33576341e-04   -2.67013251e+00  -2.67013251e+00  0.00000000e+00   
149     2.34631298e-04   -2.56971481e+00  -2.56971481e+00  0.00000000e+00   
150     2.35686254e-04   -2.45571875e+00  -2.45571875e+00  0.00000000e+00   
151     2.36741210e-04   -2.32888123e+00  -2.32888123e+00  0.00000000e+00   
152     2.37796167e-04   -2.18997946e+00  -2.18997946e+00  0.00000000e+00   
153     2.38851123e-04   -2.03982843e+00  -2.03982843e+00  0.00000000e+00   
154     2.39906079e-04   -1.87927832e+00  -1.87927832e+00  0.00000000e+00   
155     2.40961036e-04   -1.70921184e+00  -1.70921184e+00  0.00000000e+00   
156     2.42015992e-04   -1.53054144e+00  -1.53054144e+00  0.00000000e+00   
157     2.43070948e-04   -1.34420640e+00  -1.34420640e+00  0.00000000e+00   
158     2.44125905e-04   -1.15116993e+00  -1.15116993e+00  0.00000000e+00   
159     2.45180861e-04   -9.52416139e-01  -9.52416139e-01  0.00000000e+00   
160     2.46235817e-04   -7.48946935e-01  -7.48946935e-01  0.00000000e+00   
161     2.47290774e-04   -5.41778926e-01  -5.41778926e-01  0.00000000e+00   
162     2.48345730e-04   -3.31940237e-01  -3.31940237e-01  0.00000000e+00   
163     2.49400686e-04   -1.20467307e-01  -1.20467307e-01  0.00000000e+00   
164     2.50455642e-04   9.15983371e-02   9.15983371e-02   0.00000000e+00   
165     2.51510599e-04   3.03213324e-01   3.03213324e-01   0.00000000e+00   
166     2.52565555e-04   5.13335686e-01   5.13335686e-01   0.00000000e+00   
167     2.53620511e-04   7.20928100e-01   7.20928100e-01   0.00000000e+00   
168     2.54675468e-04   9.24961120e-01   9.24961120e-01   0.00000000e+00   
169     2.55730424e-04   1.12441638e+00   1.12441638e+00   0.00000000e+00   
170     2.56785380e-04   1.31828979e+00   1.31828979e+00   0.00000000e+00   
171     2.57840337e-04   1.50559463e+00   1.50559463e+00   0.00000000e+00   
172     2.58895293e-04   1.68536467e+00   1.68536467e+00   0.00000000e+00   
173     2.59950249e-04   1.85665719e+00   1.85665719e+00   0.00000000e+00   
174     2.61005206e-04   2.01855591e+00   2.01855591e+00   0.00000000e+00   
175     2.62060162e-04   2.17017393e+00   2.17017393e+00   0.00000000e+00   
176     2.63115118e-04   2.31065646e+00   2.31065646e+00   0.00000000e+00   
177     2.64170075e-04   2.43918355e+00   2.43918355e+00   0.00000000e+00   
178     2.65225031e-04   2.55497272e+00   2.55497272e+00   0.00000000e+00   
179     2.66279987e-04   2.65728143e+00   2.65728143e+00   0.00000000e+00   
180     2.67334944e-04   2.74540944e+00   2.74540944e+00   0.00000000e+00   
181     2.68389900e-04   2.81870113e+00   2.81870113e+00   0.00000000e+00   
182     2.69444856e-04   2.87654757e+00   2.87654757e+00   0.00000000e+00   
183     2.70499812e-04   2.91838853e+00   2.91838853e+00   0.00000000e+00   
184     2.71554769e-04   2.94371438e+00   2.94371438e+00   0.00000000e+00   
185     2.72609725e-04   2.95206771e+00   2.95206771e+00   0.00000000e+00   
186     2.73664681e-04   2.94304498e+00   2.94304498e+00   0.00000000e+00   
187     2.74719638e-04   2.91629786e+00   2.91629786e+00   0.00000000e+00   
188     2.75774594e-04   2.87153450e+00   2.87153450e+00   0.00000000e+00   
189     2.76829550e-04   2.80852059e+00   2.80852059e+00   0.00000000e+00   
190     2.77884507e-04   2.72708029e+00   2.72708029e+00   0.00000000e+00   
191     2.78939463e-04   2.62709696e+00   2.62709696e+00   0.00000000e+00   
192     2.79994419e-04   2.50851375e+00   2.50851375e+00   0.00000000e+00   
193     2.81049376e-04   2.37133397e+00   2.37133397e+00   0.00000000e+00   
194     2.82104332e-04   2.21562132e+00   2.21562132e+00   0.00000000e+00   
195     2.83159288e-04   2.04149995e+00   2.04149995e+00   0.00000000e+00   
196     2.84214245e-04   1.84915433e+00   1.84915433e+00   0.00000000e+00   
197     2.85269201e-04   1.63882893e+00   1.63882893e+00   0.00000000e+00   
198     2.86324157e-04   1.41082776e+00   1.41082776e+00   0.00000000e+00   
199     2.87379114e-04   1.16551370e+00   1.16551370e+00   0.00000000e+00   
200     2.88434070e-04   9.03307692e-01   9.03307692e-01   0.00000000e+00   
201     2.89489026e-04   6.24687729e-01   6.24687729e-01   0.00000000e+00   
202     2.90543983e-04   3.30187706e-01   3.30187706e-01   0.00000000e+00   
203     2.91441933e-04   6.74454953e-02   6.74454953e-02   0.00000000e+00   
204     2.91781630e-04   -3.47586642e-02  -3.47586642e-02  0.00000000e+00   
205     2.92121327e-04   -1.38470137e-01  -1.38470137e-01  0.00000000e+00   
206     2.92372873e-04   -2.16226508e-01  -2.16226508e-01  0.00000000e+00   
207     2.92624418e-04   -2.94787400e-01  -2.94787400e-01  0.00000000e+00   
208     2.93127510e-04   -4.54284039e-01  -4.54284039e-01  0.00000000e+00   
209     2.93630602e-04   -6.16881030e-01  -6.16881030e-01  0.00000000e+00   
210     2.94133694e-04   -7.82496824e-01  -7.82496824e-01  0.00000000e+00   
211     2.94636786e-04   -9.51047397e-01  -9.51047397e-01  0.00000000e+00   
212     2.95642969e-04   -1.29660471e+00  -1.29660471e+00  0.00000000e+00   
213     2.96649153e-04   -1.65283320e+00  -1.65283320e+00  0.00000000e+00   
214     2.97655337e-04   -2.01897686e+00  -2.01897686e+00  0.00000000e+00   
215     2.98661520e-04   -2.39424530e+00  -2.39424530e+00  0.00000000e+00   
216     2.99667704e-04   -2.77781564e+00  -2.77781564e+00  0.00000000e+00   
217     3.01680071e-04   -3.56642036e+00  -3.56642036e+00  0.00000000e+00   
218     3.03692438e-04   -4.37763727e+00  -4.37763727e+00  0.00000000e+00   
219     3.05704806e-04   -5.20393038e+00  -5.20393038e+00  0.00000000e+00   
220     3.07717173e-04   -6.03745658e+00  -6.03745658e+00  0.00000000e+00   
221     3.09729540e-04   -6.87014425e+00  -6.87014425e+00  0.00000000e+00   
222     3.11741907e-04   -7.69377464e+00  -7.69377464e+00  0.00000000e+00   
223     3.13754275e-04   -8.50006515e+00  -8.50006515e+00  0.00000000e+00   
224     3.15766642e-04   -9.28075361e+00  -9.28075361e+00  0.00000000e+00   
225     3.17779009e-04   -1.00276829e+01  -1.00276829e+01  0.00000000e+00   
226     3.19791376e-04   -1.07328845e+01  -1.07328845e+01  0.00000000e+00   
227     3.21803744e-04   -1.13886614e+01  -1.13886614e+01  0.00000000e+00   
228     3.23816111e-04   -1.19876674e+01  -1.19876674e+01  0.00000000e+00   
229     3.25828478e-04   -1.25229840e+01  -1.25229840e+01  0.00000000e+00   
230     3.27840846e-04   -1.29881935e+01  -1.29881935e+01  0.00000000e+00   
231     3.29853213e-04   -1.33774468e+01  -1.33774468e+01  0.00000000e+00   
232     3.31865580e-04   -1.36855258e+01  -1.36855258e+01  0.00000000e+00   
233     3.33877947e-04   -1.39079002e+01  -1.39079002e+01  0.00000000e+00   
234     3.35890315e-04   -1.40407773e+01  -1.40407773e+01  0.00000000e+00   
235     3.37902682e-04   -1.40811446e+01  -1.40811446e+01  0.00000000e+00   
236     3.39915049e-04   -1.40268046e+01  -1.40268046e+01  0.00000000e+00   
237     3.41927416e-04   -1.38764025e+01  -1.38764025e+01  0.00000000e+00   
238     3.43939784e-04   -1.36294440e+01  -1.36294440e+01  0.00000000e+00   
239     3.45952151e-04   -1.32863065e+01  -1.32863065e+01  0.00000000e+00   
240     3.47964518e-04   -1.28482400e+01  -1.28482400e+01  0.00000000e+00   
241     3.49976885e-04   -1.23173604e+01  -1.23173604e+01  0.00000000e+00   
242     3.51989253e-04   -1.16966340e+01  -1.16966340e+01  0.00000000e+00   
243     3.54001620e-04   -1.09898533e+01  -1.09898533e+01  0.00000000e+00   
244     3.56013987e-04   -1.02016047e+01  -1.02016047e+01  0.00000000e+00   
245     3.58026354e-04   -9.33722880e+00  -9.33722880e+00  0.00000000e+00   
246     3.60038722e-04   -8.40277205e+00  -8.40277205e+00  0.00000000e+00   
247     3.62051089e-04   -7.40493267e+00  -7.40493267e+00  0.00000000e+00   
248     3.64063456e-04   -6.35099920e+00  -6.35099920e+00  0.00000000e+00   
249     3.66075824e-04   -5.24878350e+00  -5.24878350e+00  0.00000000e+00   
250     3.68088191e-04   -4.10654845e+00  -4.10654845e+00  0.00000000e+00   
251     3.70100558e-04   -2.93293118e+00  -2.93293118e+00  0.00000000e+00   
252     3.72112925e-04   -1.73686253e+00  -1.73686253e+00  0.00000000e+00   
253     3.74125293e-04   -5.27483612e-01  -5.27483612e-01  0.00000000e+00   
254     3.76137660e-04   6.85939780e-01   6.85939780e-01   0.00000000e+00   
255     3.78150027e-04   1.89410394e+00   1.89410394e+00   0.00000000e+00   
256     3.80162394e-04   3.08775444e+00   3.08775444e+00   0.00000000e+00   
257     3.82174762e-04   4.25777283e+00   4.25777283e+00   0.00000000e+00   
258     3.84187129e-04   5.39526196e+00   5.39526196e+00   0.00000000e+00   
259     3.86199496e-04   6.49162912e+00   6.49162912e+00   0.00000000e+00   
260     3.88211863e-04   7.53866606e+00   7.53866606e+00   0.00000000e+00   
261     3.90224231e-04   8.52862533e+00   8.52862533e+00   0.00000000e+00   
262     3.92236598e-04   9.45429182e+00   9.45429182e+00   0.00000000e+00   
263     3.94248965e-04   1.03090492e+01   1.03090492e+01   0.00000000e+00   
264     3.96261332e-04   1.10869401e+01   1.10869401e+01   0.00000000e+00   
265     3.98273700e-04   1.17827201e+01   1.17827201e+01   0.00000000e+00   
266     4.00286067e-04   1.23919044e+01   1.23919044e+01   0.00000000e+00   
267     4.02298434e-04   1.29108067e+01   1.29108067e+01   0.00000000e+00   
268     4.04310802e-04   1.33365708e+01   1.33365708e+01   0.00000000e+00   
269     4.06323169e-04   1.36671931e+01   1.36671931e+01   0.00000000e+00   
270     4.08335536e-04   1.39015375e+01   1.39015375e+01   0.00000000e+00   
271     4.10347903e-04   1.40393407e+01   1.40393407e+01   0.00000000e+00   
272     4.12360271e-04   1.40812102e+01   1.40812102e+01   0.00000000e+00   
273     4.14372638e-04   1.40286123e+01   1.40286123e+01   0.00000000e+00   
274     4.16385005e-04   1.38838526e+01   1.38838526e+01   0.00000000e+00   
275     4.18397372e-04   1.36500476e+01   1.36500476e+01   0.00000000e+00   
276     4.20409740e-04   1.33310892e+01   1.33310892e+01   0.00000000e+00   
277     4.22422107e-04   1.29316004e+01   1.29316004e+01   0.00000000e+00   
278     4.24434474e-04   1.24568850e+01   1.24568850e+01   0.00000000e+00   
279     4.26446841e-04   1.19128703e+01   1.19128703e+01   0.00000000e+00   
280     4.28459209e-04   1.13060434e+01   1.13060434e+01   0.00000000e+00   
281     4.30471576e-04   1.06433827e+01   1.06433827e+01   0.00000000e+00   
282     4.32483943e-04   9.93228476e+00   9.93228476e+00   0.00000000e+00   
283     4.34496310e-04   9.18048680e+00   9.18048680e+00   0.00000000e+00   
284     4.36508678e-04   8.39598657e+00   8.39598657e+00   0.00000000e+00   
285     4.38521045e-04   7.58695975e+00   7.58695975e+00   0.00000000e+00   
286     4.40533412e-04   6.76167596e+00   6.76167596e+00   0.00000000e+00   
287     4.42545779e-04   5.92841424e+00   5.92841424e+00   0.00000000e+00   
288     4.44558147e-04   5.09537882e+00   5.09537882e+00   0.00000000e+00   
289     4.46570514e-04   4.27061602e+00   4.27061602e+00   0.00000000e+00   
290     4.48582881e-04   3.46193323e+00   3.46193323e+00   0.00000000e+00   
291     4.50595249e-04   2.67682067e+00   2.67682067e+00   0.00000000e+00   
292     4.52607616e-04   1.92237681e+00   1.92237681e+00   0.00000000e+00   
293     4.54619983e-04   1.20523817e+00   1.20523817e+00   0.00000000e+00   
294     4.56420936e-04   6.00083968e-01   6.00083968e-01   0.00000000e+00   
295     4.57386100e-04   2.91486294e-01   2.91486294e-01   0.00000000e+00   
296     4.58060454e-04   8.27852306e-02   8.27852306e-02   0.00000000e+00   
297     4.58437980e-04   -3.14887297e-02  -3.14887297e-02  0.00000000e+00   
298     4.58676817e-04   -1.02813801e-01  -1.02813801e-01  0.00000000e+00   
299     4.58915653e-04   -1.73378928e-01  -1.73378928e-01  0.00000000e+00   
300     4.59154489e-04   -2.43176588e-01  -2.43176588e-01  0.00000000e+00   
301     4.59632162e-04   -3.80440102e-01  -3.80440102e-01  0.00000000e+00   
302     4.60109835e-04   -5.14546928e-01  -5.14546928e-01  0.00000000e+00   
303     4.60587508e-04   -6.45441893e-01  -6.45441893e-01  0.00000000e+00   
304     4.61065181e-04   -7.73072093e-01  -7.73072093e-01  0.00000000e+00   
305     4.61542854e-04   -8.97386927e-01  -8.97386927e-01  0.00000000e+00   
306     4.62498200e-04   -1.13587973e+00  -1.13587973e+00  0.00000000e+00   
307     4.63453546e-04   -1.36056241e+00  -1.36056241e+00  0.00000000e+00   
308     4.64408892e-04   -1.57111536e+00  -1.57111536e+00  0.00000000e+00   
309     4.65364237e-04   -1.76725789e+00  -1.76725789e+00  0.00000000e+00   
