Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
69       1.00011000e-01    7.13595869e-01    9.18142983e-01    9.18142983e-01    2.86404131e-04    8.18570168e-05    8.18570168e-05    2.04376805e-04    7.51564456e-05    7.51564456e-05
70       1.00011006e-01    7.13595891e-01    9.18142995e-01    9.18142995e-01    2.80154110e-04    7.56070044e-05    7.56070044e-05    1.99916821e-04    6.94180414e-05    6.94180414e-05
71       1.00011013e-01    7.13595912e-01    9.18143006e-01    9.18143006e-01    2.73904087e-04    6.93569952e-05    6.93569952e-05    1.95456837e-04    6.36796400e-05    6.36796400e-05
72       1.00011025e-01    7.13595954e-01    9.18143026e-01    9.18143026e-01    2.61404046e-04    5.68569736e-05    5.68569736e-05    1.86536870e-04    5.22028337e-05    5.22028337e-05
73       1.00011050e-01    7.13596032e-01    9.18143053e-01    9.18143053e-01    2.36403968e-04    3.18569471e-05    3.18569471e-05    1.68696934e-04    2.92492347e-05    2.92492347e-05
74       1.00011100e-01    7.13596164e-01    9.18143062e-01    9.18143062e-01    1.86403836e-04   -1.81430625e-05   -1.81430625e-05    1.33017062e-04   -1.66579269e-05   -1.66579269e-05
75       1.00011200e-01    7.13596334e-01    9.18142892e-01    9.18142892e-01    8.64036654e-05   -1.18142891e-04   -1.18142891e-04    6.16573389e-05   -1.08472056e-04   -1.08472056e-04
76       1.00011400e-01    7.13596300e-01    9.18141801e-01    9.18141801e-01   -1.13596300e-04   -3.18141801e-04   -3.18141801e-04   -8.10618997e-05   -2.92099286e-04   -2.92099286e-04
77       1.00011800e-01    7.13594733e-01    9.18136619e-01    9.18136619e-01   -5.13594733e-04   -7.18136619e-04   -7.18136619e-04   -3.66498496e-04   -6.59347528e-04   -6.59347528e-04
78       1.00012000e-01    7.13593199e-01    9.18132529e-01    9.18132529e-01   -7.13593198e-04   -9.18132529e-04   -9.18132529e-04   -5.09215253e-04   -8.42967341e-04   -8.42967341e-04
79       1.00012080e-01    7.13592485e-01    9.18130692e-01    9.18130692e-01   -7.13592485e-04   -9.18130692e-04   -9.18130692e-04   -5.09214235e-04   -8.42963968e-04   -8.42963968e-04
80       1.00012240e-01    7.13591058e-01    9.18127020e-01    9.18127020e-01   -7.13591058e-04   -9.18127020e-04   -9.18127020e-04   -5.09212198e-04   -8.42957225e-04   -8.42957225e-04
81       1.00012560e-01    7.13588203e-01    9.18119675e-01    9.18119675e-01   -7.13588203e-04   -9.18119675e-04   -9.18119675e-04   -5.09208124e-04   -8.42943738e-04   -8.42943738e-04
82       1.00013200e-01    7.13582495e-01    9.18104985e-01    9.18104985e-01   -7.13582495e-04   -9.18104985e-04   -9.18104985e-04   -5.09199977e-04   -8.42916764e-04   -8.42916764e-04
83       1.00014480e-01    7.13571077e-01    9.18075606e-01    9.18075606e-01   -7.13571077e-04   -9.18075606e-04   -9.18075606e-04   -5.09183683e-04   -8.42862819e-04   -8.42862819e-04
84       1.00017040e-01    7.13548244e-01    9.18016851e-01    9.18016851e-01   -7.13548244e-04   -9.18016851e-04   -9.18016851e-04   -5.09151096e-04   -8.42754939e-04   -8.42754939e-04
85       1.00022160e-01    7.13502578e-01    9.17899353e-01    9.17899353e-01   -7.13502578e-04   -9.17899353e-04   -9.17899353e-04   -5.09085929e-04   -8.42539222e-04   -8.42539222e-04
86       1.00032400e-01    7.13411255e-01    9.17664401e-01    9.17664401e-01   -7.13411255e-04   -9.17664401e-04   -9.17664401e-04   -5.08955619e-04   -8.42107952e-04   -8.42107952e-04
87       1.00052880e-01    7.13228646e-01    9.17194677e-01    9.17194677e-01   -7.13228646e-04   -9.17194677e-04   -9.17194677e-04   -5.08695101e-04   -8.41246075e-04   -8.41246075e-04
