Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
91       1.02633360e-01    6.90606497e-01    8.59927656e-01    8.59927656e-01   -6.90606497e-04   -8.59927656e-04   -8.59927656e-04   -4.76937334e-04   -7.39475573e-04   -7.39475573e-04
92       1.05254800e-01    6.68341493e-01    8.05359525e-01    8.05359525e-01   -6.68341493e-04   -8.05359525e-04   -8.05359525e-04   -4.46680351e-04   -6.48603965e-04   -6.48603965e-04
93       1.07876240e-01    6.46794308e-01    7.54254106e-01    7.54254106e-01   -6.46794308e-04   -7.54254106e-04   -7.54254106e-04   -4.18342877e-04   -5.68899256e-04   -5.68899256e-04
94       1.10497680e-01    6.25941800e-01    7.06391665e-01    7.06391665e-01   -6.25941800e-04   -7.06391665e-04   -7.06391665e-04   -3.91803137e-04   -4.98989185e-04   -4.98989185e-04
95       1.13119120e-01    6.05761572e-01    6.61566415e-01    6.61566415e-01   -6.05761572e-04   -6.61566415e-04   -6.61566415e-04   -3.66947082e-04   -4.37670121e-04   -4.37670121e-04
96       1.15740560e-01    5.86231950e-01    6.19585625e-01    6.19585625e-01   -5.86231950e-04   -6.19585625e-04   -6.19585625e-04   -3.43667899e-04   -3.83886347e-04   -3.83886347e-04
97       1.18362000e-01    5.67331959e-01    5.80268795e-01    5.80268795e-01   -5.67331959e-04   -5.80268795e-04   -5.80268795e-04   -3.21865551e-04   -3.36711875e-04   -3.36711875e-04
98       1.20983440e-01    5.49041299e-01    5.43446880e-01    5.43446880e-01   -5.49041299e-04   -5.43446880e-04   -5.43446880e-04   -3.01446348e-04   -2.95334511e-04   -2.95334511e-04
99       1.23604880e-01    5.31340327e-01    5.08961560e-01    5.08961560e-01   -5.31340327e-04   -5.08961560e-04   -5.08961560e-04   -2.82322543e-04   -2.59041870e-04   -2.59041870e-04
100      1.26226320e-01    5.14210030e-01    4.76664563e-01    4.76664563e-01   -5.14210030e-04   -4.76664563e-04   -4.76664563e-04   -2.64411955e-04   -2.27209106e-04   -2.27209106e-04
