Index       TIME              V(1A)             V(2A)             I(C1)             I(C2)             P(C1)             P(C2)      
132      2.21184600e-01    3.96366266e-03    3.96366266e-03   -3.96366265e-06   -3.96366265e-06   -1.57106217e-08   -1.57106217e-08
133      2.23027800e-01    3.78513047e-03    3.78513047e-03   -3.78513048e-06   -3.78513048e-06   -1.43272127e-08   -1.43272127e-08
134      2.24871000e-01    3.61463976e-03    3.61463976e-03   -3.61463975e-06   -3.61463975e-06   -1.30656206e-08   -1.30656206e-08
135      2.26714200e-01    3.45182834e-03    3.45182834e-03   -3.45182834e-06   -3.45182834e-06   -1.19151189e-08   -1.19151189e-08
136      2.28557400e-01    3.29635030e-03    3.29635030e-03   -3.29635029e-06   -3.29635029e-06   -1.08659253e-08   -1.08659253e-08
137      2.30400600e-01    3.14787534e-03    3.14787534e-03   -3.14787535e-06   -3.14787535e-06   -9.90911919e-09   -9.90911919e-09
138      2.32243800e-01    3.00608803e-03    3.00608803e-03   -3.00608802e-06   -3.00608802e-06   -9.03656519e-09   -9.03656519e-09
139      2.34087000e-01    2.87068713e-03    2.87068713e-03   -2.87068713e-06   -2.87068713e-06   -8.24084460e-09   -8.24084460e-09
140      2.35930200e-01    2.74138498e-03    2.74138498e-03   -2.74138498e-06   -2.74138498e-06   -7.51519161e-09   -7.51519161e-09
141      2.37773400e-01    2.61790690e-03    2.61790690e-03   -2.61790691e-06   -2.61790691e-06   -6.85343656e-09   -6.85343656e-09
142      2.41459800e-01    2.38726842e-03    2.38726842e-03   -2.38726841e-06   -2.38726841e-06   -5.69905049e-09   -5.69905049e-09
143      2.45146200e-01    2.17694927e-03    2.17694927e-03   -2.17694928e-06   -2.17694928e-06   -4.73910814e-09   -4.73910814e-09
144      2.48832600e-01    1.98515931e-03    1.98515931e-03   -1.98515930e-06   -1.98515930e-06   -3.94085745e-09   -3.94085745e-09
145      2.52519000e-01    1.81026610e-03    1.81026610e-03   -1.81026611e-06   -1.81026611e-06   -3.27706338e-09   -3.27706338e-09
146      2.56205400e-01    1.65078105e-03    1.65078105e-03   -1.65078104e-06   -1.65078104e-06   -2.72507806e-09   -2.72507806e-09
147      2.59891800e-01    1.50534668e-03    1.50534668e-03   -1.50534669e-06   -1.50534669e-06   -2.26606865e-09   -2.26606865e-09
