Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
421     -8.10000000e-02    4.00000000e-01   -7.78730298e-05
422     -8.00000000e-02    4.00000000e-01   -7.69701814e-05
423     -7.90000000e-02    4.00000000e-01   -7.60664365e-05
424     -7.80000000e-02    4.00000000e-01   -7.51617614e-05
425     -7.70000000e-02    4.00000000e-01   -7.42561219e-05
426     -7.60000000e-02    4.00000000e-01   -7.33494835e-05
427     -7.50000000e-02    4.00000000e-01   -7.24418113e-05
428     -7.40000000e-02    4.00000000e-01   -7.15330702e-05
429     -7.30000000e-02    4.00000000e-01   -7.06232246e-05
430     -7.20000000e-02    4.00000000e-01   -6.97122386e-05
431     -7.10000000e-02    4.00000000e-01   -6.88000758e-05
432     -7.00000000e-02    4.00000000e-01   -6.78866996e-05
433     -6.90000000e-02    4.00000000e-01   -6.69720731e-05
434     -6.80000000e-02    4.00000000e-01   -6.60561588e-05
435     -6.70000000e-02    4.00000000e-01   -6.51389190e-05
436     -6.60000000e-02    4.00000000e-01   -6.42203160e-05
437     -6.50000000e-02    4.00000000e-01   -6.33003115e-05
438     -6.40000000e-02    4.00000000e-01   -6.23788672e-05
439     -6.30000000e-02    4.00000000e-01   -6.14559447e-05
440     -6.20000000e-02    4.00000000e-01   -6.05315058e-05
441     -6.10000000e-02    4.00000000e-01   -5.96055120e-05
442     -6.00000000e-02    4.00000000e-01   -5.86779253e-05
443     -5.90000000e-02    4.00000000e-01   -5.77487081e-05
444     -5.80000000e-02    4.00000000e-01   -5.68178231e-05
445     -5.70000000e-02    4.00000000e-01   -5.58852338e-05
446     -5.60000000e-02    4.00000000e-01   -5.49509046e-05
447     -5.50000000e-02    4.00000000e-01   -5.40148008e-05
448     -5.40000000e-02    4.00000000e-01   -5.30768891e-05
449     -5.30000000e-02    4.00000000e-01   -5.21371376e-05
450     -5.20000000e-02    4.00000000e-01   -5.11955163e-05
451     -5.10000000e-02    4.00000000e-01   -5.02519969e-05
452     -5.00000000e-02    4.00000000e-01   -4.93065535e-05
453     -4.90000000e-02    4.00000000e-01   -4.83591627e-05
454     -4.80000000e-02    4.00000000e-01   -4.74098037e-05
455     -4.70000000e-02    4.00000000e-01   -4.64584586e-05
456     -4.60000000e-02    4.00000000e-01   -4.55051130e-05
457     -4.50000000e-02    4.00000000e-01   -4.45497557e-05
458     -4.40000000e-02    4.00000000e-01   -4.35923792e-05
459     -4.30000000e-02    4.00000000e-01   -4.26329799e-05
