Index        TIME             R1:R            R1:TEMP           I(R1)            R2:R            R2:TEMP           I(R2)           R3:TEMP          R4:TEMP          R5:TEMP
101     1.58334083e-02   3.47504976e-04   2.85179337e+02   1.43882832e+04   4.79576689e-04   1.28930427e+02   1.04258612e+04   2.79184605e+01   3.06777347e+01   2.79184605e+01   
102     1.62850861e-02   3.50830536e-04   2.89485553e+02   1.42518951e+04   4.82912598e-04   1.31101482e+02   1.03538405e+04   2.79444512e+01   3.07819210e+01   2.79444512e+01   
103     1.67159324e-02   3.53844887e-04   2.93527040e+02   1.41304854e+04   4.85952075e-04   1.33148421e+02   1.02890805e+04   2.79692322e+01   3.08812638e+01   2.79692322e+01   
104     1.71562602e-02   3.56673928e-04   2.97595516e+02   1.40184062e+04   4.88817789e-04   1.35217681e+02   1.02287603e+04   2.79945477e+01   3.09827553e+01   2.79945477e+01   
105     1.76382861e-02   3.59521861e-04   3.01982526e+02   1.39073601e+04   4.91714753e-04   1.37458157e+02   1.01684970e+04   2.80222485e+01   3.10938159e+01   2.80222485e+01   
106     1.81859043e-02   3.62592768e-04   3.06886644e+02   1.37895745e+04   4.94851419e-04   1.39973597e+02   1.01040430e+04   2.80537038e+01   3.12199371e+01   2.80537038e+01   
107     1.88001759e-02   3.66025651e-04   3.12290053e+02   1.36602448e+04   4.98373036e-04   1.42758235e+02   1.00326455e+04   2.80889686e+01   3.13613430e+01   2.80889686e+01   
108     1.94487374e-02   3.69808037e-04   3.17884682e+02   1.35205282e+04   5.02271529e-04   1.45655996e+02   9.95477489e+03   2.81261793e+01   3.15105641e+01   2.81261793e+01   
109     2.00819919e-02   3.73724278e-04   3.23238919e+02   1.33788472e+04   5.06328394e-04   1.48443307e+02   9.87501404e+03   2.81624887e+01   3.16561826e+01   2.81624887e+01   
110     2.06704270e-02   3.77472244e-04   3.28120629e+02   1.32460071e+04   5.10230629e-04   1.50996568e+02   9.79949010e+03   2.81962071e+01   3.17914216e+01   2.81962071e+01   
111     2.12212464e-02   3.80889440e-04   3.32612552e+02   1.31271689e+04   5.13805195e-04   1.53355719e+02   9.73131462e+03   2.82277519e+01   3.19179520e+01   2.82277519e+01   
112     2.17663763e-02   3.84033786e-04   3.36989018e+02   1.30196878e+04   5.17108006e-04   1.55662777e+02   9.66915990e+03   2.82589539e+01   3.20431166e+01   2.82589539e+01   
113     2.23459912e-02   3.87097313e-04   3.41572437e+02   1.29166487e+04   5.20337888e-04   1.58087460e+02   9.60914074e+03   2.82921120e+01   3.21761374e+01   2.82921120e+01   
114     2.29960337e-02   3.90305706e-04   3.46632551e+02   1.28104712e+04   5.23732443e-04   1.60773967e+02   9.54685940e+03   2.83292779e+01   3.23252475e+01   2.83292779e+01   
115     2.37328172e-02   3.93847786e-04   3.52269945e+02   1.26952599e+04   5.27493553e-04   1.63778558e+02   9.47878883e+03   2.83713763e+01   3.24941614e+01   2.83713763e+01   
116     2.45350289e-02   3.97793962e-04   3.58292346e+02   1.25693210e+04   5.31699981e-04   1.67001800e+02   9.40379946e+03   2.84171802e+01   3.26779601e+01   2.84171802e+01   
117     2.53462146e-02   4.02009642e-04   3.64260843e+02   1.24375126e+04   5.36212520e-04   1.70210038e+02   9.32466105e+03   2.84634600e+01   3.28636882e+01   2.84634600e+01   
118     2.61139637e-02   4.06187590e-04   3.69799347e+02   1.23095833e+04   5.40704054e-04   1.73199505e+02   9.24720273e+03   2.85072270e+01   3.30393502e+01   2.85072270e+01   
119     2.68270109e-02   4.10064543e-04   3.74850755e+02   1.21932025e+04   5.44889306e-04   1.75936222e+02   9.17617568e+03   2.85478452e+01   3.32023902e+01   2.85478452e+01   
120     2.75136682e-02   4.13600529e-04   3.79636065e+02   1.20889594e+04   5.48720710e-04   1.78537326e+02   9.11210368e+03   2.85869329e+01   3.33593012e+01   2.85869329e+01   
121     2.82210903e-02   4.16950246e-04   3.84490665e+02   1.19918385e+04   5.52362257e-04   1.81184115e+02   9.05203051e+03   2.86271757e+01   3.35208634e+01   2.86271757e+01   
122     2.89979935e-02   4.20348465e-04   3.89739972e+02   1.18948930e+04   5.56067761e-04   1.84054698e+02   8.99170992e+03   2.86713405e+01   3.36981877e+01   2.86713405e+01   
123     2.98781388e-02   4.24022980e-04   3.95588684e+02   1.17918137e+04   5.60086578e-04   1.87263174e+02   8.92719126e+03   2.87213367e+01   3.38989446e+01   2.87213367e+01   
124     3.08578787e-02   4.28117079e-04   4.01980618e+02   1.16790482e+04   5.64578444e-04   1.90781641e+02   8.85616525e+03   2.87769427e+01   3.41222526e+01   2.87769427e+01   
125     3.18835218e-02   4.32591432e-04   4.08540185e+02   1.15582502e+04   5.69504298e-04   1.94405446e+02   8.77956500e+03   2.88350986e+01   3.43558301e+01   2.88350986e+01   
126     3.28809676e-02   4.37183129e-04   4.14791733e+02   1.14368549e+04   5.74577624e-04   1.97871471e+02   8.70204440e+03   2.88915996e+01   3.45827898e+01   2.88915996e+01   
127     3.38109288e-02   4.41559213e-04   4.20510163e+02   1.13235096e+04   5.79430060e-04   2.01052386e+02   8.62916915e+03   2.89442270e+01   3.47942165e+01   2.89442270e+01   
128     3.46890421e-02   4.45562114e-04   4.25817193e+02   1.12217800e+04   5.83883340e-04   2.04013081e+02   8.56335445e+03   2.89938756e+01   3.49936996e+01   2.89938756e+01   
129     3.55662218e-02   4.49277035e-04   4.31034865e+02   1.11289908e+04   5.88028314e-04   2.06931585e+02   8.50299192e+03   2.90434295e+01   3.51928238e+01   2.90434295e+01   
130     3.65042136e-02   4.52929406e-04   4.36528302e+02   1.10392479e+04   5.92114219e-04   2.10012069e+02   8.44431672e+03   2.90963740e+01   3.54055960e+01   2.90963740e+01   
131     3.75559620e-02   4.56774812e-04   4.42588875e+02   1.09463129e+04   5.96426897e-04   2.13419336e+02   8.38325707e+03   2.91556859e+01   3.56439852e+01   2.91556859e+01   
