 TITLE = " Xyce homotopy data, homotopy-step-tecplot.cir", 
	VARIABLES = " Vtest:DCV0" 
" IVAR" 
" I(VTEST)" 
DATASETAUXDATA TIME= " 12:03:40 PM Oct 09, 2017 " 
ZONE F=POINT T= "  IVAR = 1.00e+00 A = 3.00e+00" 
    6.05988309e-01   1.50000000e+00    1.71761741e+00
    5.27003329e-01   1.50000000e+00    1.78076153e+00
    4.65511360e-01   1.50000000e+00    1.86256354e+00
    4.81517230e-01   1.50000000e+00    1.97887812e+00
    5.59668962e-01   1.50000000e+00    2.04637000e+00
    6.49250238e-01   1.50000000e+00    2.09351222e+00
    7.43023982e-01   1.50000000e+00    2.13102362e+00
    8.38859801e-01   1.50000000e+00    2.16273197e+00
    9.35892404e-01   1.50000000e+00    2.19049939e+00
    1.03369618e+00   1.50000000e+00    2.21538489e+00
    1.13203367e+00   1.50000000e+00    2.23805392e+00
    1.23076010e+00   1.50000000e+00    2.25895485e+00
    1.32978127e+00   1.50000000e+00    2.27840581e+00
    1.42903269e+00   1.50000000e+00    2.29664165e+00
    1.52846846e+00   1.50000000e+00    2.31384131e+00
    1.62805480e+00   1.50000000e+00    2.33014467e+00
    1.72776621e+00   1.50000000e+00    2.34566337e+00
    1.82758298e+00   1.50000000e+00    2.36048821e+00
    1.92748960e+00   1.50000000e+00    2.37469420e+00
    2.00001988e+00   1.50000000e+00    2.38464890e+00
    2.00000000e+00   1.50000000e+00    2.38464618e+00
End of Xyce(TM) Homotopy Simulation
