Index    TIME    {V(DRAIN)}_regr_pce_mean    {V(DRAIN)}_regr_pce_meanPlus    {V(DRAIN)}_regr_pce_meanMinus    {V(DRAIN)}_regr_pce_stddev    {V(DRAIN)}_regr_pce_variance    
211   9.65346500e-07   7.74713300e-01   1.12453400e+00   4.24892800e-01   3.49820500e-01   1.22374400e-01   
212   9.65654200e-07   7.85220100e-01   1.12727100e+00   4.43169300e-01   3.42050800e-01   1.16998700e-01   
213   9.65961900e-07   7.95860400e-01   1.13022600e+00   4.61494700e-01   3.34365700e-01   1.11800400e-01   
214   9.66269600e-07   8.06297100e-01   1.13302600e+00   4.79567900e-01   3.26729100e-01   1.06751900e-01   
215   9.66577300e-07   8.16208100e-01   1.13515600e+00   4.97260700e-01   3.18947500e-01   1.01727500e-01   
216   9.66885000e-07   8.25477600e-01   1.13632600e+00   5.14629200e-01   3.10848500e-01   9.66267700e-02   
217   9.67192700e-07   8.34409400e-01   1.13682000e+00   5.31998400e-01   3.02411000e-01   9.14524300e-02   
218   9.67500400e-07   8.43261500e-01   1.13687100e+00   5.49652500e-01   2.93609000e-01   8.62062600e-02   
219   9.67808100e-07   8.52062800e-01   1.13645100e+00   5.67674100e-01   2.84388600e-01   8.08769000e-02   
220   9.68115800e-07   8.60931400e-01   1.13573500e+00   5.86128300e-01   2.74803200e-01   7.55167700e-02   
221   9.68423500e-07   8.70054700e-01   1.13505100e+00   6.05057900e-01   2.64996800e-01   7.02233000e-02   
222   9.68731200e-07   8.79419300e-01   1.13447300e+00   6.24365700e-01   2.55053700e-01   6.50523700e-02   
223   9.69038900e-07   8.88677200e-01   1.13355900e+00   6.43795600e-01   2.44881600e-01   5.99670200e-02   
224   9.69346600e-07   8.97419300e-01   1.13162400e+00   6.63215100e-01   2.34204200e-01   5.48516200e-02   
225   9.69654300e-07   9.05390800e-01   1.12821100e+00   6.82570300e-01   2.22820500e-01   4.96490000e-02   
226   9.69962000e-07   9.12403500e-01   1.12321600e+00   7.01591200e-01   2.10812400e-01   4.44418500e-02   
227   9.70269700e-07   9.18673600e-01   1.11698500e+00   7.20361700e-01   1.98311800e-01   3.93275900e-02   
228   9.70577400e-07   9.24695700e-01   1.11007000e+00   7.39320900e-01   1.85374800e-01   3.43638000e-02   
229   9.70885100e-07   9.30761300e-01   1.10275300e+00   7.58769800e-01   1.71991500e-01   2.95810800e-02   
230   9.71192800e-07   9.36983900e-01   1.09514900e+00   7.78819200e-01   1.58164700e-01   2.50160800e-02   
231   9.71500500e-07   9.43292900e-01   1.08731800e+00   7.99267700e-01   1.44025200e-01   2.07432600e-02   
232   9.71808200e-07   9.49663000e-01   1.07928500e+00   8.20041300e-01   1.29621700e-01   1.68017800e-02   
233   9.72115900e-07   9.56131900e-01   1.07110400e+00   8.41160000e-01   1.14971900e-01   1.32185500e-02   
234   9.72731300e-07   9.68042400e-01   1.05460000e+00   8.81484800e-01   8.65575900e-02   7.49221700e-03   
