Index    TIME    v(5)quad_pce_mean    v(5)quad_pce_meanPlus    v(5)quad_pce_meanMinus    v(5)quad_pce_stddev    v(5)quad_pce_variance    v(2)quad_pce_mean    v(2)quad_pce_meanPlus    v(2)quad_pce_meanMinus    v(2)quad_pce_stddev    v(2)quad_pce_variance    
54   4.46984300e-09   2.10438300e+00   2.17180900e+00   2.03695700e+00   6.74258700e-02   4.54624700e-03   2.65933800e+00   2.70194500e+00   2.61673000e+00   4.26075600e-02   1.81540400e-03   
55   4.86055600e-09   2.08947000e+00   2.15528700e+00   2.02365300e+00   6.58170900e-02   4.33188900e-03   2.70605300e+00   2.75078600e+00   2.66131900e+00   4.47333300e-02   2.00107100e-03   
56   5.25126900e-09   2.07800400e+00   2.14278600e+00   2.01322200e+00   6.47821300e-02   4.19672400e-03   2.74547600e+00   2.79138100e+00   2.69957200e+00   4.59043600e-02   2.10721000e-03   
57   6.03269500e-09   2.05921000e+00   2.12184100e+00   1.99657900e+00   6.26308500e-02   3.92262300e-03   2.80613600e+00   2.85247500e+00   2.75979600e+00   4.63396100e-02   2.14736000e-03   
58   6.81412200e-09   2.04271400e+00   2.10368600e+00   1.98174300e+00   6.09715800e-02   3.71753300e-03   2.84745800e+00   2.89178400e+00   2.80313100e+00   4.43267700e-02   1.96486300e-03   
59   7.59554800e-09   2.02808900e+00   2.08739000e+00   1.96878700e+00   5.93014600e-02   3.51666300e-03   2.87573900e+00   2.91671700e+00   2.83476200e+00   4.09778500e-02   1.67918400e-03   
60   9.15840000e-09   2.00613400e+00   2.06346800e+00   1.94880100e+00   5.73339100e-02   3.28717700e-03   2.91111300e+00   2.94280700e+00   2.87941800e+00   3.16942200e-02   1.00452300e-03   
61   1.07212500e-08   1.99391400e+00   2.05053400e+00   1.93729300e+00   5.66202800e-02   3.20585600e-03   2.93150000e+00   2.95298900e+00   2.91001000e+00   2.14895900e-02   4.61802500e-04   
62   1.20000000e-08   1.98850900e+00   2.04600500e+00   1.93101300e+00   5.74959400e-02   3.30578300e-03   2.94229600e+00   2.95708500e+00   2.92750600e+00   1.47897000e-02   2.18735200e-04   
63   1.20269000e-08   1.98509600e+00   2.04306300e+00   1.92712900e+00   5.79672400e-02   3.36020100e-03   2.92798300e+00   2.94208700e+00   2.91387900e+00   1.41038400e-02   1.98918300e-04   
64   1.20511100e-08   1.98037500e+00   2.03929700e+00   1.92145400e+00   5.89217400e-02   3.47177200e-03   2.90866800e+00   2.92202400e+00   2.89531300e+00   1.33552000e-02   1.78361400e-04   
65   1.20753200e-08   1.97513100e+00   2.03525500e+00   1.91500600e+00   6.01244100e-02   3.61494500e-03   2.88685000e+00   2.89946700e+00   2.87423300e+00   1.26171400e-02   1.59192200e-04   
66   1.21237500e-08   1.96356400e+00   2.02747900e+00   1.89965000e+00   6.39142800e-02   4.08503600e-03   2.83332800e+00   2.84467200e+00   2.82198300e+00   1.13444500e-02   1.28696500e-04   
67   1.21721700e-08   1.95333500e+00   2.02271300e+00   1.88395800e+00   6.93776700e-02   4.81326100e-03   2.77231900e+00   2.78293000e+00   2.76170800e+00   1.06110900e-02   1.12595200e-04   
68   1.22205900e-08   1.94639300e+00   2.02249600e+00   1.87029000e+00   7.61029200e-02   5.79165400e-03   2.71390600e+00   2.72460600e+00   2.70320600e+00   1.07001000e-02   1.14492100e-04   
69   1.22690100e-08   1.94232300e+00   2.02577100e+00   1.85887500e+00   8.34483800e-02   6.96363100e-03   2.70497500e+00   2.72057500e+00   2.68937600e+00   1.55996700e-02   2.43349700e-04   
70   1.23076300e-08   1.94125800e+00   2.03077800e+00   1.85173800e+00   8.95201300e-02   8.01385300e-03   2.71261700e+00   2.73365300e+00   2.69158100e+00   2.10360600e-02   4.42516000e-04   
71   1.23462500e-08   1.94075800e+00   2.03633800e+00   1.84517900e+00   9.55796800e-02   9.13547400e-03   2.71658900e+00   2.74235100e+00   2.69082800e+00   2.57616300e-02   6.63661400e-04   
72   1.23848600e-08   1.93879600e+00   2.04020800e+00   1.83738500e+00   1.01411600e-01   1.02843200e-02   2.72506800e+00   2.75589800e+00   2.69423900e+00   3.08295600e-02   9.50461600e-04   
73   1.24234800e-08   1.93548400e+00   2.04249200e+00   1.82847700e+00   1.07007600e-01   1.14506300e-02   2.73241000e+00   2.76795200e+00   2.69686800e+00   3.55421400e-02   1.26324300e-03   
74   1.25007100e-08   1.92480700e+00   2.04245300e+00   1.80716200e+00   1.17645500e-01   1.38404600e-02   2.75252200e+00   2.79676800e+00   2.70827600e+00   4.42462900e-02   1.95773500e-03   
75   1.25779500e-08   1.90967900e+00   2.03938300e+00   1.77997400e+00   1.29704500e-01   1.68232600e-02   2.77365900e+00   2.81711700e+00   2.73020100e+00   4.34582300e-02   1.88861800e-03   
76   1.26551800e-08   1.89148000e+00   2.03250500e+00   1.75045500e+00   1.41025000e-01   1.98880400e-02   2.79622400e+00   2.84267400e+00   2.74977500e+00   4.64498200e-02   2.15758600e-03   
77   1.27246900e-08   1.87352400e+00   2.02262700e+00   1.72442200e+00   1.49102400e-01   2.22315100e-02   2.81473400e+00   2.86525900e+00   2.76420900e+00   5.05245700e-02   2.55273200e-03   
78   1.27942000e-08   1.85449800e+00   2.01158500e+00   1.69741100e+00   1.57086800e-01   2.46762800e-02   2.83357400e+00   2.88795100e+00   2.77919800e+00   5.43761200e-02   2.95676200e-03   
79   1.28637100e-08   1.83478000e+00   2.00106400e+00   1.66849500e+00   1.66284400e-01   2.76504900e-02   2.84964800e+00   2.91379200e+00   2.78550500e+00   6.41434500e-02   4.11438300e-03   
80   1.29332200e-08   1.81462900e+00   1.99283300e+00   1.63642500e+00   1.78204200e-01   3.17567200e-02   2.86464300e+00   2.94454500e+00   2.78474100e+00   7.99023200e-02   6.38438000e-03   
81   1.30000000e-08   1.79586300e+00   1.98171700e+00   1.61000900e+00   1.85853800e-01   3.45416500e-02   2.87715900e+00   2.97028600e+00   2.78403200e+00   9.31266500e-02   8.67257300e-03   
82   1.30069500e-08   1.79423700e+00   1.98006600e+00   1.60840800e+00   1.85829000e-01   3.45324000e-02   2.87951500e+00   2.97359000e+00   2.78544000e+00   9.40750400e-02   8.85011300e-03   
83   1.30139000e-08   1.79285300e+00   1.97830500e+00   1.60740100e+00   1.85451800e-01   3.43923500e-02   2.88219100e+00   2.97722900e+00   2.78715400e+00   9.50374000e-02   9.03210700e-03   
84   1.30208500e-08   1.79158000e+00   1.97645100e+00   1.60670900e+00   1.84870900e-01   3.41772400e-02   2.88494600e+00   2.98091500e+00   2.78897600e+00   9.59696000e-02   9.21016300e-03   
85   1.30347600e-08   1.78950000e+00   1.97224800e+00   1.60675200e+00   1.82747900e-01   3.33968000e-02   2.89042800e+00   2.98754200e+00   2.79331400e+00   9.71142400e-02   9.43117600e-03   
86   1.30486600e-08   1.78774200e+00   1.96764000e+00   1.60784300e+00   1.79898800e-01   3.23635600e-02   2.89546300e+00   2.99281500e+00   2.79811100e+00   9.73521600e-02   9.47744300e-03   
87   1.30764600e-08   1.78453300e+00   1.95820800e+00   1.61085700e+00   1.73675200e-01   3.01630700e-02   2.90466400e+00   3.00109500e+00   2.80823300e+00   9.64313100e-02   9.29899700e-03   
88   1.31042700e-08   1.78155200e+00   1.94893100e+00   1.61417400e+00   1.67378100e-01   2.80154200e-02   2.91318400e+00   3.00745000e+00   2.81891900e+00   9.42657400e-02   8.88603000e-03   
89   1.31598700e-08   1.77607400e+00   1.93143700e+00   1.62071100e+00   1.55362800e-01   2.41375900e-02   2.92843900e+00   3.01703400e+00   2.83984300e+00   8.85953500e-02   7.84913600e-03   
90   1.32154800e-08   1.77135500e+00   1.91557800e+00   1.62713100e+00   1.44223600e-01   2.08004600e-02   2.94143100e+00   3.02377000e+00   2.85909200e+00   8.23389200e-02   6.77969700e-03   
91   1.33267000e-08   1.76463400e+00   1.88954900e+00   1.63972000e+00   1.24914500e-01   1.56036200e-02   2.96164300e+00   3.03165300e+00   2.89163400e+00   7.00095900e-02   4.90134200e-03   
92   1.34379200e-08   1.76132700e+00   1.87045700e+00   1.65219600e+00   1.09130500e-01   1.19094600e-02   2.97583200e+00   3.03425700e+00   2.91740700e+00   5.84248400e-02   3.41346200e-03   
93   1.35491300e-08   1.76065300e+00   1.85699000e+00   1.66431500e+00   9.63371700e-02   9.28085000e-03   2.98568000e+00   3.03417000e+00   2.93718900e+00   4.84907400e-02   2.35135200e-03   
94   1.37715700e-08   1.76400600e+00   1.84359300e+00   1.68441900e+00   7.95871800e-02   6.33411900e-03   2.99714900e+00   3.03309100e+00   2.96120600e+00   3.59422800e-02   1.29184800e-03   
95   1.39940000e-08   1.77124500e+00   1.84311300e+00   1.69937800e+00   7.18673200e-02   5.16491200e-03   3.00167200e+00   3.03249400e+00   2.97084900e+00   3.08225100e-02   9.50027200e-04   
96   1.42164300e-08   1.78099700e+00   1.85034600e+00   1.71164900e+00   6.93485700e-02   4.80922400e-03   3.00228400e+00   3.03173100e+00   2.97283700e+00   2.94465900e-02   8.67101700e-04   
97   1.44388700e-08   1.79300500e+00   1.86135200e+00   1.72465700e+00   6.83478000e-02   4.67142200e-03   3.00056700e+00   3.02929600e+00   2.97183800e+00   2.87292000e-02   8.25367200e-04   
98   1.46613000e-08   1.80687000e+00   1.87433800e+00   1.73940100e+00   6.74686100e-02   4.55201300e-03   2.99747700e+00   3.02516700e+00   2.96978800e+00   2.76891500e-02   7.66689000e-04   
99   1.51061700e-08   1.83733800e+00   1.90238400e+00   1.77229100e+00   6.50462900e-02   4.23102000e-03   2.99044900e+00   3.01391500e+00   2.96698400e+00   2.34652500e-02   5.50617900e-04   
100   1.55510400e-08   1.86774400e+00   1.92466500e+00   1.81082300e+00   5.69210200e-02   3.24000300e-03   2.98591000e+00   3.00439500e+00   2.96742500e+00   1.84849700e-02   3.41694200e-04   
101   1.59959000e-08   1.89453900e+00   1.93799300e+00   1.85108600e+00   4.34533100e-02   1.88819000e-03   2.98468900e+00   3.01232000e+00   2.95705800e+00   2.76312600e-02   7.63486700e-04   
102   1.64407700e-08   1.91635100e+00   1.94757400e+00   1.88512800e+00   3.12229900e-02   9.74875000e-04   2.98526100e+00   3.03135600e+00   2.93916600e+00   4.60948800e-02   2.12473800e-03   
103   1.68856400e-08   1.93366700e+00   1.95883600e+00   1.90849900e+00   2.51683600e-02   6.33446300e-04   2.98655100e+00   3.05329200e+00   2.91980900e+00   6.67417000e-02   4.45445500e-03   
104   1.73305100e-08   1.94746200e+00   1.97747500e+00   1.91744900e+00   3.00133200e-02   9.00799100e-04   2.98804700e+00   3.07652300e+00   2.89957100e+00   8.84761200e-02   7.82802300e-03   
105   1.77753700e-08   1.95847400e+00   2.00115300e+00   1.91579500e+00   4.26788800e-02   1.82148700e-03   2.98950800e+00   3.10009200e+00   2.87892300e+00   1.10584500e-01   1.22289200e-02   
106   1.86651100e-08   1.97359800e+00   2.03709300e+00   1.91010300e+00   6.34947600e-02   4.03158400e-03   2.99059600e+00   3.12828700e+00   2.85290500e+00   1.37691000e-01   1.89588200e-02   
107   1.93928400e-08   1.98005100e+00   2.04586500e+00   1.91423700e+00   6.58143600e-02   4.33153000e-03   2.98809400e+00   3.11725800e+00   2.85893100e+00   1.29163400e-01   1.66831900e-02   
108   2.00000000e-08   1.98238300e+00   2.03882200e+00   1.92594400e+00   5.64387500e-02   3.18533300e-03   2.98356400e+00   3.08349700e+00   2.88363100e+00   9.99330800e-02   9.98662100e-03   
109   2.00250600e-08   1.98461000e+00   2.04114600e+00   1.92807400e+00   5.65357300e-02   3.19628800e-03   2.98435800e+00   3.08269300e+00   2.88602200e+00   9.83353100e-02   9.66983400e-03   
110   2.00465200e-08   1.98562100e+00   2.04225000e+00   1.92899200e+00   5.66289700e-02   3.20684100e-03   2.98533900e+00   3.08230300e+00   2.88837400e+00   9.69646200e-02   9.40213800e-03   
111   2.00679900e-08   1.98621400e+00   2.04291300e+00   1.92951600e+00   5.66988900e-02   3.21476400e-03   2.98640200e+00   3.08199000e+00   2.89081500e+00   9.55877800e-02   9.13702300e-03   
112   2.01109200e-08   1.98620800e+00   2.04272500e+00   1.92969100e+00   5.65166900e-02   3.19413600e-03   2.98877900e+00   3.08157200e+00   2.89598600e+00   9.27929700e-02   8.61053600e-03   
113   2.01967800e-08   1.98592100e+00   2.04142700e+00   1.93041500e+00   5.55058300e-02   3.08089700e-03   2.99423500e+00   3.08126400e+00   2.90720600e+00   8.70293700e-02   7.57411100e-03   
114   2.02826400e-08   1.98576100e+00   2.04030900e+00   1.93121400e+00   5.45477900e-02   2.97546100e-03   3.00077400e+00   3.08187300e+00   2.91967400e+00   8.10992400e-02   6.57708700e-03   
115   2.04543600e-08   1.98486300e+00   2.03719900e+00   1.93252700e+00   5.23355900e-02   2.73901400e-03   3.01713100e+00   3.08624400e+00   2.94801700e+00   6.91138100e-02   4.77671900e-03   
116   2.06260800e-08   1.98327200e+00   2.03356000e+00   1.93298500e+00   5.02877800e-02   2.52886100e-03   3.03771300e+00   3.09533500e+00   2.98009200e+00   5.76215700e-02   3.32024600e-03   
117   2.07977900e-08   1.98120700e+00   2.03039400e+00   1.93202000e+00   4.91866500e-02   2.41932700e-03   3.06226800e+00   3.10963800e+00   3.01489900e+00   4.73694900e-02   2.24386800e-03   
118   2.08208600e-08   1.98163400e+00   2.03133400e+00   1.93193400e+00   4.96999000e-02   2.47008000e-03   3.06578000e+00   3.11190200e+00   3.01965800e+00   4.61218400e-02   2.12722400e-03   
119   2.08669900e-08   1.98809100e+00   2.04040400e+00   1.93577800e+00   5.23129800e-02   2.73664700e-03   3.07177700e+00   3.11547100e+00   3.02808300e+00   4.36936000e-02   1.90913000e-03   
120   2.09131300e-08   1.99650800e+00   2.05283100e+00   1.94018500e+00   5.63230200e-02   3.17228300e-03   3.07483500e+00   3.11619200e+00   3.03347800e+00   4.13569600e-02   1.71039800e-03   
