STEPNUM  Index       TIME              R1:R              R2:R              V(1)              V(2)       
1        64       6.40000000e-01    2.00000000e+00    3.00000000e+00   -7.70287826e-01   -4.62172696e-01
1        65       6.50000000e-01    2.00000000e+00    3.00000000e+00   -8.08799990e-01   -4.85279994e-01
1        66       6.60000000e-01    2.00000000e+00    3.00000000e+00   -8.44273089e-01   -5.06563853e-01
1        67       6.70000000e-01    2.00000000e+00    3.00000000e+00   -8.76125111e-01   -5.25675067e-01
1        68       6.80000000e-01    2.00000000e+00    3.00000000e+00   -9.04551546e-01   -5.42730928e-01
1        69       6.90000000e-01    2.00000000e+00    3.00000000e+00   -9.29571387e-01   -5.57742832e-01
1        70       7.00000000e-01    2.00000000e+00    3.00000000e+00   -9.51018061e-01   -5.70610837e-01
1        71       7.10000000e-01    2.00000000e+00    3.00000000e+00   -9.68331687e-01   -5.80999012e-01
1        72       7.20000000e-01    2.00000000e+00    3.00000000e+00   -9.81995829e-01   -5.89197498e-01
1        73       7.30000000e-01    2.00000000e+00    3.00000000e+00   -9.91963066e-01   -5.95177839e-01
1        74       7.40000000e-01    2.00000000e+00    3.00000000e+00   -9.97893221e-01   -5.98735932e-01
1        75       7.50000000e-01    2.00000000e+00    3.00000000e+00   -9.99708018e-01   -5.99824811e-01
1        76       7.60000000e-01    2.00000000e+00    3.00000000e+00   -9.97758243e-01   -5.98654946e-01
1        77       7.70000000e-01    2.00000000e+00    3.00000000e+00   -9.92050595e-01   -5.95230357e-01
1        78       7.80000000e-01    2.00000000e+00    3.00000000e+00   -9.82084461e-01   -5.89250677e-01
1        79       7.90000000e-01    2.00000000e+00    3.00000000e+00   -9.68288295e-01   -5.80972977e-01
1        80       8.00000000e-01    2.00000000e+00    3.00000000e+00   -9.50846011e-01   -5.70507607e-01
1        81       8.10000000e-01    2.00000000e+00    3.00000000e+00   -9.29738279e-01   -5.57842968e-01
1        82       8.20000000e-01    2.00000000e+00    3.00000000e+00   -9.04592798e-01   -5.42755679e-01
1        83       8.30000000e-01    2.00000000e+00    3.00000000e+00   -8.76046358e-01   -5.25627815e-01
1        84       8.40000000e-01    2.00000000e+00    3.00000000e+00   -8.44198450e-01   -5.06519070e-01
1        85       8.50000000e-01    2.00000000e+00    3.00000000e+00   -8.08909106e-01   -4.85345463e-01
1        86       8.60000000e-01    2.00000000e+00    3.00000000e+00   -7.70288699e-01   -4.62173219e-01
1        87       8.70000000e-01    2.00000000e+00    3.00000000e+00   -7.28771850e-01   -4.37263110e-01
1        88       8.80000000e-01    2.00000000e+00    3.00000000e+00   -6.84503002e-01   -4.10701801e-01
1        89       8.90000000e-01    2.00000000e+00    3.00000000e+00   -6.37293217e-01   -3.82375930e-01
1        90       9.00000000e-01    2.00000000e+00    3.00000000e+00   -5.87606360e-01   -3.52563816e-01
1        91       9.10000000e-01    2.00000000e+00    3.00000000e+00   -5.35707253e-01   -3.21424352e-01
1        92       9.20000000e-01    2.00000000e+00    3.00000000e+00   -4.81733792e-01   -2.89040275e-01
1        93       9.30000000e-01    2.00000000e+00    3.00000000e+00   -4.25670016e-01   -2.55402010e-01
1        94       9.40000000e-01    2.00000000e+00    3.00000000e+00   -3.68014684e-01   -2.20808810e-01
1        95       9.50000000e-01    2.00000000e+00    3.00000000e+00   -3.08968535e-01   -1.85381121e-01
1        96       9.60000000e-01    2.00000000e+00    3.00000000e+00   -2.48657811e-01   -1.49194687e-01
1        97       9.70000000e-01    2.00000000e+00    3.00000000e+00   -1.87327456e-01   -1.12396474e-01
1        98       9.80000000e-01    2.00000000e+00    3.00000000e+00   -1.25298117e-01   -7.51788701e-02
1        99       9.90000000e-01    2.00000000e+00    3.00000000e+00   -6.27856893e-02   -3.76714136e-02
1        100      1.00000000e+00    2.00000000e+00    3.00000000e+00   -2.44929741e-16   -3.21817886e-16

2        0        0.00000000e+00    1.00000000e+00    4.00000000e+00    0.00000000e+00    0.00000000e+00
2        1        1.00000000e-02    1.00000000e+00    4.00000000e+00    6.27765091e-02    5.02212073e-02
2        2        2.00000000e-02    1.00000000e+00    4.00000000e+00    1.25331306e-01    1.00265044e-01
2        3        3.00000000e-02    1.00000000e+00    4.00000000e+00    1.87339637e-01    1.49871710e-01
2        4        4.00000000e-02    1.00000000e+00    4.00000000e+00    2.48681917e-01    1.98945533e-01
2        5        5.00000000e-02    1.00000000e+00    4.00000000e+00    3.08948700e-01    2.47158960e-01
2        6        6.00000000e-02    1.00000000e+00    4.00000000e+00    3.68106870e-01    2.94485496e-01
2        7        7.00000000e-02    1.00000000e+00    4.00000000e+00    4.25686097e-01    3.40548877e-01
2        8        8.00000000e-02    1.00000000e+00    4.00000000e+00    4.81723163e-01    3.85378530e-01
2        9        9.00000000e-02    1.00000000e+00    4.00000000e+00    5.35711030e-01    4.28568824e-01
2        10       1.00000000e-01    1.00000000e+00    4.00000000e+00    5.87739438e-01    4.70191551e-01
2        11       1.10000000e-01    1.00000000e+00    4.00000000e+00    6.37288532e-01    5.09830825e-01
2        12       1.20000000e-01    1.00000000e+00    4.00000000e+00    6.84484222e-01    5.47587378e-01
2        13       1.30000000e-01    1.00000000e+00    4.00000000e+00    7.28816811e-01    5.83053449e-01
2        14       1.40000000e-01    1.00000000e+00    4.00000000e+00    7.70432271e-01    6.16345817e-01
2        15       1.50000000e-01    1.00000000e+00    4.00000000e+00    8.08852515e-01    6.47082012e-01
2        16       1.60000000e-01    1.00000000e+00    4.00000000e+00    8.44228616e-01    6.75382893e-01
2        17       1.70000000e-01    1.00000000e+00    4.00000000e+00    8.76133480e-01    7.00906784e-01
2        18       1.80000000e-01    1.00000000e+00    4.00000000e+00    9.04709918e-01    7.23767935e-01
2        19       1.90000000e-01    1.00000000e+00    4.00000000e+00    9.29598637e-01    7.43678909e-01
2        20       2.00000000e-01    1.00000000e+00    4.00000000e+00    9.50922805e-01    7.60738244e-01
2        21       2.10000000e-01    1.00000000e+00    4.00000000e+00    9.68404738e-01    7.74723790e-01
2        22       2.20000000e-01    1.00000000e+00    4.00000000e+00    9.82138896e-01    7.85711116e-01
2        23       2.30000000e-01    1.00000000e+00    4.00000000e+00    9.91939658e-01    7.93551726e-01
2        24       2.40000000e-01    1.00000000e+00    4.00000000e+00    9.97866277e-01    7.98293022e-01
2        25       2.50000000e-01    1.00000000e+00    4.00000000e+00    9.99832045e-01    7.99865636e-01
2        26       2.60000000e-01    1.00000000e+00    4.00000000e+00    9.97857259e-01    7.98285807e-01
2        27       2.70000000e-01    1.00000000e+00    4.00000000e+00    9.91957181e-01    7.93565745e-01
2        28       2.80000000e-01    1.00000000e+00    4.00000000e+00    9.82112267e-01    7.85689814e-01
2        29       2.90000000e-01    1.00000000e+00    4.00000000e+00    9.68438951e-01    7.74751161e-01
2        30       3.00000000e-01    1.00000000e+00    4.00000000e+00    9.50879839e-01    7.60703871e-01
2        31       3.10000000e-01    1.00000000e+00    4.00000000e+00    9.29647896e-01    7.43718317e-01
2        32       3.20000000e-01    1.00000000e+00    4.00000000e+00    9.04652695e-01    7.23722156e-01
2        33       3.30000000e-01    1.00000000e+00    4.00000000e+00    8.76195376e-01    7.00956301e-01
2        34       3.40000000e-01    1.00000000e+00    4.00000000e+00    8.44159972e-01    6.75327978e-01
2        35       3.50000000e-01    1.00000000e+00    4.00000000e+00    8.08923933e-01    6.47139147e-01
2        36       3.60000000e-01    1.00000000e+00    4.00000000e+00    7.70355721e-01    6.16284577e-01
2        37       3.70000000e-01    1.00000000e+00    4.00000000e+00    7.28894021e-01    5.83115217e-01
2        38       3.80000000e-01    1.00000000e+00    4.00000000e+00    6.84403864e-01    5.47523091e-01
2        39       3.90000000e-01    1.00000000e+00    4.00000000e+00    6.37367283e-01    5.09893826e-01
2        40       4.00000000e-01    1.00000000e+00    4.00000000e+00    5.87659842e-01    4.70127874e-01
2        41       4.10000000e-01    1.00000000e+00    4.00000000e+00    5.35786672e-01    4.28629338e-01
2        42       4.20000000e-01    1.00000000e+00    4.00000000e+00    4.81649246e-01    3.85319396e-01
2        43       4.30000000e-01    1.00000000e+00    4.00000000e+00    4.25753704e-01    3.40602964e-01
2        44       4.40000000e-01    1.00000000e+00    4.00000000e+00    3.68043758e-01    2.94435006e-01
2        45       4.50000000e-01    1.00000000e+00    4.00000000e+00    3.09003215e-01    2.47202572e-01
2        46       4.60000000e-01    1.00000000e+00    4.00000000e+00    2.48634802e-01    1.98907842e-01
2        47       4.70000000e-01    1.00000000e+00    4.00000000e+00    1.87376008e-01    1.49900807e-01
2        48       4.80000000e-01    1.00000000e+00    4.00000000e+00    1.25305295e-01    1.00244236e-01
2        49       4.90000000e-01    1.00000000e+00    4.00000000e+00    6.27898441e-02    5.02318753e-02
2        50       5.00000000e-01    1.00000000e+00    4.00000000e+00    8.20046144e-07    6.56036915e-07
2        51       5.10000000e-01    1.00000000e+00    4.00000000e+00   -6.27815554e-02   -5.02252443e-02
2        52       5.20000000e-01    1.00000000e+00    4.00000000e+00   -1.25314338e-01   -1.00251470e-01
2        53       5.30000000e-01    1.00000000e+00    4.00000000e+00   -1.87362749e-01   -1.49890199e-01
2        54       5.40000000e-01    1.00000000e+00    4.00000000e+00   -2.48687255e-01   -1.98949804e-01
2        55       5.50000000e-01    1.00000000e+00    4.00000000e+00   -3.08984108e-01   -2.47187286e-01
2        56       5.60000000e-01    1.00000000e+00    4.00000000e+00   -3.68068920e-01   -2.94455136e-01
2        57       5.70000000e-01    1.00000000e+00    4.00000000e+00   -4.25719050e-01   -3.40575240e-01
2        58       5.80000000e-01    1.00000000e+00    4.00000000e+00   -4.81717056e-01   -3.85373645e-01
2        59       5.90000000e-01    1.00000000e+00    4.00000000e+00   -5.35806080e-01   -4.28644864e-01
2        60       6.00000000e-01    1.00000000e+00    4.00000000e+00   -5.87713012e-01   -4.70170410e-01
2        61       6.10000000e-01    1.00000000e+00    4.00000000e+00   -6.37325900e-01   -5.09860720e-01
