Index    TIME    V(DRAIN)quad_pce_mean    V(DRAIN)quad_pce_meanPlus    V(DRAIN)quad_pce_meanMinus    V(DRAIN)quad_pce_stddev    V(DRAIN)quad_pce_variance    
190   9.74215400e-07   9.92007000e-01   1.01278600e+00   9.71228000e-01   2.07790100e-02   4.31767300e-04   
191   9.74492500e-07   9.96577500e-01   1.00492300e+00   9.88232400e-01   8.34515600e-03   6.96416300e-05   
192   9.74769600e-07   9.98888100e-01   1.00097100e+00   9.96804800e-01   2.08325600e-03   4.33995500e-06   
193   9.75046700e-07   9.99436200e-01   1.00008100e+00   9.98791000e-01   6.45203400e-04   4.16287400e-07   
194   9.75323800e-07   9.99514000e-01   9.99986700e-01   9.99041300e-01   4.72667100e-04   2.23414200e-07   
195   9.75600900e-07   9.99536000e-01   9.99975400e-01   9.99096600e-01   4.39368800e-04   1.93044900e-07   
196   9.76155100e-07   9.99569000e-01   9.99966000e-01   9.99172000e-01   3.96960500e-04   1.57577600e-07   
197   9.77263500e-07   9.99624700e-01   9.99952500e-01   9.99297000e-01   3.27759000e-04   1.07426000e-07   
198   9.79480300e-07   9.99707800e-01   9.99936900e-01   9.99478700e-01   2.29098700e-04   5.24862200e-08   
199   9.83913900e-07   9.99806300e-01   9.99927300e-01   9.99685300e-01   1.20968300e-04   1.46333400e-08   
200   9.92781100e-07   9.99889100e-01   9.99931800e-01   9.99846400e-01   4.27056200e-05   1.82377000e-09   
201   1.00000000e-06   9.99916900e-01   9.99939400e-01   9.99894300e-01   2.25751100e-05   5.09635400e-10   
202   1.00177300e-06   9.99999600e-01   9.99999800e-01   9.99999300e-01   2.35364900e-07   5.53966500e-14   
203   1.00532000e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   4.43203900e-09   1.96429700e-17   
204   1.01241400e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   2.71468800e-09   7.36952900e-18   
205   1.02660200e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   4.41708900e-09   1.95106700e-17   
206   1.05497700e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   2.71904700e-09   7.39321700e-18   
207   1.11172700e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   4.41537900e-09   1.94955700e-17   
208   1.21172700e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   2.71948700e-09   7.39560800e-18   
209   1.31172700e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   4.41468900e-09   1.94894700e-17   
210   1.40000000e-06   1.00000000e+00   1.00000000e+00   1.00000000e+00   2.72017200e-09   7.39933300e-18   
211   1.40341000e-06   1.00009400e+00   1.00012300e+00   1.00006400e+00   2.96164100e-05   8.77131800e-10   
212   1.40620300e-06   1.00010500e+00   1.00014300e+00   1.00006700e+00   3.81098800e-05   1.45236300e-09   
213   1.41178700e-06   1.00014100e+00   1.00021000e+00   1.00007300e+00   6.86398600e-05   4.71143100e-09   
214   1.42295700e-06   1.00038100e+00   1.00071400e+00   1.00004700e+00   3.33333600e-04   1.11111300e-07   
215   1.42574900e-06   1.00053400e+00   1.00105400e+00   1.00001400e+00   5.20117900e-04   2.70522700e-07   
