Index       TIME              V(N1)           V(N1,N2)          V(N1,N3)      I(YMEMRISTOR!MR1)     I(RPTG2)      N(YMEMRISTOR!MR1_X)       V(N4)      
389      1.20000100e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588548e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
390      1.20000106e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
391      1.20000118e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
392      1.20000141e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
393      1.20000189e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
394      1.20000283e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
395      1.20000473e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
396      1.20000851e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
397      1.20001609e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
398      1.20003123e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
399      1.20006152e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
400      1.20012210e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
401      1.20024326e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
402      1.20048558e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
403      1.20097022e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
404      1.20193950e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
405      1.20387806e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
406      1.20775519e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
407      1.21550944e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
408      1.23101793e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
409      1.26203492e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
410      1.28000000e-03    1.29309675e-01    1.00430247e-01    1.00429101e-01    5.77588549e-04    5.77611475e-04    6.76602022e-01    6.76636600e-01
411      1.28000004e-03    1.25289513e-01    9.73079354e-02    9.73068248e-02    5.59631548e-04    5.59653760e-04    6.76602022e-01    6.76636600e-01
412      1.28000008e-03    1.21896015e-01    9.46723302e-02    9.46712496e-02    5.44473698e-04    5.44495310e-04    6.76602022e-01    6.76636600e-01
413      1.28000015e-03    1.15109020e-01    8.94011186e-02    8.94000982e-02    5.14158022e-04    5.14178430e-04    6.76602022e-01    6.76636600e-01
414      1.28000029e-03    1.01535029e-01    7.88586913e-02    7.88577912e-02    4.53526750e-04    4.53544751e-04    6.76602022e-01    6.76636600e-01
415      1.28000058e-03    7.43870470e-02    5.77738227e-02    5.77731633e-02    3.32264487e-04    3.32277675e-04    6.76602022e-01    6.76636600e-01
416      1.28000100e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
417      1.28000106e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
418      1.28000117e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
419      1.28000140e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
420      1.28000186e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
421      1.28000278e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
422      1.28000462e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
423      1.28000829e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
424      1.28001564e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
425      1.28003035e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
426      1.28005975e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
427      1.28011856e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
428      1.28023618e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
429      1.28047142e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
430      1.28094189e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
431      1.28188284e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
432      1.28376473e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
433      1.28752852e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
434      1.29505610e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
435      1.31011126e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
