Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
168     -1.30000000e+00    1.00000000e+00    2.13549078e+00   -1.21097210e-03
169     -1.35000000e+00    1.00000000e+00    2.32887880e+00   -1.21525536e-03
170     -1.40000000e+00    1.00000000e+00    2.52226582e+00   -1.21871070e-03
171     -1.45000000e+00    1.00000000e+00    2.71565190e+00   -1.22143352e-03
172     -1.50000000e+00    1.00000000e+00    2.90903705e+00   -1.22350589e-03
173     -1.55000000e+00    1.00000000e+00    3.10242133e+00   -1.22499875e-03
174     -1.60000000e+00    1.00000000e+00    3.29580476e+00   -1.22597368e-03
175     -1.65000000e+00    1.00000000e+00    3.48918738e+00   -1.22648433e-03
176     -1.70000000e+00    1.00000000e+00    3.68256920e+00   -1.22657769e-03
177     -1.75000000e+00    1.00000000e+00    3.87595026e+00   -1.22629501e-03
178     -1.80000000e+00    1.00000000e+00    4.06933057e+00   -1.22567264e-03
179     -1.85000000e+00    1.00000000e+00    4.26271016e+00   -1.22474276e-03
180     -1.90000000e+00    1.00000000e+00    4.45608904e+00   -1.22353387e-03
181     -1.95000000e+00    1.00000000e+00    4.64946723e+00   -1.22207135e-03
182     -2.00000000e+00    1.00000000e+00    4.84284475e+00   -1.22037782e-03
183     -2.05000000e+00    1.00000000e+00    5.03622231e+00   -1.21847501e-03
184     -2.10000000e+00    1.00000000e+00    5.22960003e+00   -1.21638219e-03
185     -2.15000000e+00    1.00000000e+00    5.42297723e+00   -1.21411415e-03
186     -2.20000000e+00    1.00000000e+00    5.61635390e+00   -1.21168512e-03
187     -2.25000000e+00    1.00000000e+00    5.80973004e+00   -1.20910783e-03
188     -2.30000000e+00    1.00000000e+00    6.00310567e+00   -1.20639353e-03
189     -2.35000000e+00    1.00000000e+00    6.19648079e+00   -1.20355202e-03
190     -2.40000000e+00    1.00000000e+00    6.38985541e+00   -1.20059163e-03
191     -2.45000000e+00    1.00000000e+00    6.58322955e+00   -1.19751906e-03
192     -2.50000000e+00    1.00000000e+00    6.77660321e+00   -1.19433915e-03
193     -2.55000000e+00    1.00000000e+00    6.96997639e+00   -1.19105441e-03
194     -2.60000000e+00    1.00000000e+00    7.16334911e+00   -1.18766443e-03
195     -2.65000000e+00    1.00000000e+00    7.35672137e+00   -1.18416535e-03
196     -2.70000000e+00    1.00000000e+00    7.55009317e+00   -1.18055008e-03
197     -2.75000000e+00    1.00000000e+00    7.74346453e+00   -1.17681115e-03
198     -2.80000000e+00    1.00000000e+00    7.93683543e+00   -1.17294902e-03
199     -2.85000000e+00    1.00000000e+00    8.13020589e+00   -1.16898473e-03
200     -2.90000000e+00    1.00000000e+00    8.32357591e+00   -1.16496506e-03
201     -2.95000000e+00    1.00000000e+00    8.51694549e+00   -1.16094525e-03
