Index       V(2)              V(1)             I(VDS)           N(M1:GM)          N(M1:VTH)        N(M1:VDSAT)        N(M1:VDS)         N(M1:VGS)         N(M1:VBS)     {N(M1:VDS)-N(M1:VDSAT)}
93       1.10000000e+00    5.00000000e-01   -1.41519553e-04    1.11264964e-03    2.89255106e-01    1.60065081e-01    1.10000000e+00    5.00000000e-01    0.00000000e+00    9.39934919e-01
94       1.15000000e+00    5.00000000e-01   -1.43310409e-04    1.12156501e-03    2.88568455e-01    1.60446887e-01    1.15000000e+00    5.00000000e-01    0.00000000e+00    9.89553113e-01
95       1.20000000e+00    5.00000000e-01   -1.45090343e-04    1.13026490e-03    2.87881804e-01    1.60828331e-01    1.20000000e+00    5.00000000e-01    0.00000000e+00    1.03917167e+00
96       1.25000000e+00    5.00000000e-01   -1.46861558e-04    1.13877300e-03    2.87195154e-01    1.61209409e-01    1.25000000e+00    5.00000000e-01    0.00000000e+00    1.08879059e+00
97       1.30000000e+00    5.00000000e-01   -1.48625946e-04    1.14710955e-03    2.86508503e-01    1.61590120e-01    1.30000000e+00    5.00000000e-01    0.00000000e+00    1.13840988e+00
98       1.35000000e+00    5.00000000e-01   -1.50385145e-04    1.15529198e-03    2.85821852e-01    1.61970463e-01    1.35000000e+00    5.00000000e-01    0.00000000e+00    1.18802954e+00
99       1.40000000e+00    5.00000000e-01   -1.52140578e-04    1.16333537e-03    2.85135201e-01    1.62350434e-01    1.40000000e+00    5.00000000e-01    0.00000000e+00    1.23764957e+00
100      1.45000000e+00    5.00000000e-01   -1.53893489e-04    1.17125281e-03    2.84448551e-01    1.62730032e-01    1.45000000e+00    5.00000000e-01    0.00000000e+00    1.28726997e+00
101      1.50000000e+00    5.00000000e-01   -1.55644968e-04    1.17905575e-03    2.83761900e-01    1.63109254e-01    1.50000000e+00    5.00000000e-01    0.00000000e+00    1.33689075e+00
102      1.55000000e+00    5.00000000e-01   -1.57395979e-04    1.18675423e-03    2.83075249e-01    1.63488100e-01    1.55000000e+00    5.00000000e-01    0.00000000e+00    1.38651190e+00
103      1.60000000e+00    5.00000000e-01   -1.59147371e-04    1.19435708e-03    2.82388599e-01    1.63866566e-01    1.60000000e+00    5.00000000e-01    0.00000000e+00    1.43613343e+00
104      1.65000000e+00    5.00000000e-01   -1.60899902e-04    1.20187212e-03    2.81701948e-01    1.64244652e-01    1.65000000e+00    5.00000000e-01    0.00000000e+00    1.48575535e+00
105      1.70000000e+00    5.00000000e-01   -1.62654245e-04    1.20930629e-03    2.81015297e-01    1.64622354e-01    1.70000000e+00    5.00000000e-01    0.00000000e+00    1.53537765e+00
106      1.75000000e+00    5.00000000e-01   -1.64411005e-04    1.21666576e-03    2.80328646e-01    1.64999673e-01    1.75000000e+00    5.00000000e-01    0.00000000e+00    1.58500033e+00
107      1.80000000e+00    5.00000000e-01   -1.66170723e-04    1.22395604e-03    2.79641996e-01    1.65376605e-01    1.80000000e+00    5.00000000e-01    0.00000000e+00    1.63462340e+00
108      1.85000000e+00    5.00000000e-01   -1.67933887e-04    1.23118208e-03    2.78955345e-01    1.65753149e-01    1.85000000e+00    5.00000000e-01    0.00000000e+00    1.68424685e+00
109      1.90000000e+00    5.00000000e-01   -1.69700937e-04    1.23834832e-03    2.78268694e-01    1.66129303e-01    1.90000000e+00    5.00000000e-01    0.00000000e+00    1.73387070e+00
110      1.95000000e+00    5.00000000e-01   -1.71472271e-04    1.24545876e-03    2.77582044e-01    1.66505066e-01    1.95000000e+00    5.00000000e-01    0.00000000e+00    1.78349493e+00
111      2.00000000e+00    5.00000000e-01   -1.73248253e-04    1.25251701e-03    2.76895393e-01    1.66880436e-01    2.00000000e+00    5.00000000e-01    0.00000000e+00    1.83311956e+00
112      2.05000000e+00    5.00000000e-01   -1.75029212e-04    1.25952634e-03    2.76208742e-01    1.67255412e-01    2.05000000e+00    5.00000000e-01    0.00000000e+00    1.88274459e+00
113      2.10000000e+00    5.00000000e-01   -1.76815449e-04    1.26648972e-03    2.75522091e-01    1.67629991e-01    2.10000000e+00    5.00000000e-01    0.00000000e+00    1.93237001e+00
114      2.15000000e+00    5.00000000e-01   -1.78607239e-04    1.27340985e-03    2.74835441e-01    1.68004174e-01    2.15000000e+00    5.00000000e-01    0.00000000e+00    1.98199583e+00
115      2.20000000e+00    5.00000000e-01   -1.80404834e-04    1.28028920e-03    2.74148790e-01    1.68377957e-01    2.20000000e+00    5.00000000e-01    0.00000000e+00    2.03162204e+00
116      2.25000000e+00    5.00000000e-01   -1.82208467e-04    1.28713002e-03    2.73462139e-01    1.68751340e-01    2.25000000e+00    5.00000000e-01    0.00000000e+00    2.08124866e+00
117      2.30000000e+00    5.00000000e-01   -1.84018351e-04    1.29393436e-03    2.72775488e-01    1.69124321e-01    2.30000000e+00    5.00000000e-01    0.00000000e+00    2.13087568e+00
