Index       TIME              V(1)              I(L1)             V(3)              V(2)              I(VS)      
101      4.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    3.24202406e-02   -1.07706430e-05
102      4.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    3.26969705e-02   -1.49798371e-05
103      4.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    3.30433208e-02   -1.91189839e-05
104      4.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    3.34557043e-02   -2.31916305e-05
105      4.62500000e-04    0.00000000e+00    0.00000000e+00    5.88896943e-02    3.36817211e-02   -2.52079731e-05
106      4.67261905e-04    0.00000000e+00    0.00000000e+00    6.33739512e-02    3.41875898e-02   -2.91863614e-05
107      4.72023810e-04    0.00000000e+00    0.00000000e+00    6.78576408e-02    3.47528343e-02   -3.31048065e-05
108      4.76785714e-04    0.00000000e+00    0.00000000e+00    7.23407230e-02    3.53760677e-02   -3.69646553e-05
109      4.81547619e-04    0.00000000e+00    0.00000000e+00    7.68231576e-02    3.60566005e-02   -4.07665570e-05
110      4.86309524e-04    0.00000000e+00    0.00000000e+00    8.13049044e-02    3.67943281e-02   -4.45105763e-05
111      4.91071429e-04    0.00000000e+00    0.00000000e+00    8.57859234e-02    3.75895809e-02   -4.81963425e-05
112      4.95833333e-04    0.00000000e+00    0.00000000e+00    7.84929521e-02    3.82589953e-02   -4.02339567e-05
113      5.00595238e-04    0.00000000e+00    0.00000000e+00    5.60997851e-04    3.77024443e-02    3.71414464e-05
114      5.05357143e-04    0.00000000e+00    0.00000000e+00    5.04897564e-03    3.72288448e-02    3.21798692e-05
115      5.10119048e-04    0.00000000e+00    0.00000000e+00    9.53690823e-03    3.68374756e-02    2.73005674e-05
116      5.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    3.66775169e-02    2.48966775e-05
117      5.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    3.52393944e-02    1.89707681e-05
118      5.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    3.50113521e-02    1.42550844e-05
119      5.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    3.48485855e-02    9.60486237e-06
120      5.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    3.47482265e-02    5.01727385e-06
121      5.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    3.47094261e-02    4.91510086e-07
122      5.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    3.47333196e-02   -3.97125345e-06
123      5.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    3.48224844e-02   -8.36839923e-06
124      5.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    3.49801728e-02   -1.26966348e-05
125      5.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    3.52095555e-02   -1.69527492e-05
126      5.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    3.55131236e-02   -2.11342113e-05
127      5.64880952e-04    0.00000000e+00    0.00000000e+00    6.11318579e-02    3.58923127e-02   -2.52395452e-05
128      5.69642857e-04    0.00000000e+00    0.00000000e+00    6.56158337e-02    3.63473514e-02   -2.92684823e-05
129      5.74404762e-04    0.00000000e+00    0.00000000e+00    7.00992221e-02    3.68772968e-02   -3.32219253e-05
130      5.79166667e-04    0.00000000e+00    0.00000000e+00    7.45819830e-02    3.74802043e-02   -3.71017787e-05
131      5.83928571e-04    0.00000000e+00    0.00000000e+00    7.90640762e-02    3.81533770e-02   -4.09106992e-05
132      5.88690476e-04    0.00000000e+00    0.00000000e+00    8.35454616e-02    3.88936455e-02   -4.46518161e-05
133      5.93452381e-04    0.00000000e+00    0.00000000e+00    8.80260991e-02    3.96976408e-02   -4.83284583e-05
134      5.98214286e-04    0.00000000e+00    0.00000000e+00    3.36398366e-02    3.96423174e-02    6.00248078e-06
135      6.02976190e-04    0.00000000e+00    0.00000000e+00    2.80498926e-03    3.91064810e-02    3.63014918e-05
136      6.07738095e-04    0.00000000e+00    0.00000000e+00    7.29294695e-03    3.86483559e-02    3.13554089e-05
137      6.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    3.82664107e-02    2.64855713e-05
138      6.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    3.79583057e-02    2.16896794e-05
139      6.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    3.77209164e-02    1.69646488e-05
140      6.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    3.75513149e-02    1.23075918e-05
141      6.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    3.74476963e-02    7.71674369e-06
142      6.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    3.74097806e-02    3.19186462e-06
143      6.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    3.74386685e-02   -1.26590455e-06
144      6.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    3.75363426e-02   -5.65454100e-06
145      6.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    3.77050434e-02   -9.97176411e-06
146      6.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    3.79466989e-02   -1.42156058e-05
147      6.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    3.82625113e-02   -1.83848235e-05
148      6.64880952e-04    0.00000000e+00    0.00000000e+00    6.11318579e-02    3.86527372e-02   -2.24791207e-05
149      6.69642857e-04    0.00000000e+00    0.00000000e+00    6.56158337e-02    3.91166471e-02   -2.64991866e-05
150      6.74404762e-04    0.00000000e+00    0.00000000e+00    7.00992221e-02    3.96526265e-02   -3.04465956e-05
151      6.79166667e-04    0.00000000e+00    0.00000000e+00    7.45819830e-02    4.02583691e-02   -3.43236138e-05
152      6.83928571e-04    0.00000000e+00    0.00000000e+00    7.90640762e-02    4.09311157e-02   -3.81329605e-05
153      6.88690476e-04    0.00000000e+00    0.00000000e+00    8.35454616e-02    4.16678985e-02   -4.18775631e-05
154      6.93452381e-04    0.00000000e+00    0.00000000e+00    8.80260991e-02    4.24657645e-02   -4.55603346e-05
155      6.98214286e-04    0.00000000e+00    0.00000000e+00    3.36398366e-02    4.24022148e-02    8.76237821e-06
156      7.02976190e-04    0.00000000e+00    0.00000000e+00    2.80498926e-03    4.18569053e-02    3.90519160e-05
157      7.07738095e-04    0.00000000e+00    0.00000000e+00    7.29294695e-03    4.13885624e-02    3.40956155e-05
158      7.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    4.09959037e-02    2.92150643e-05
159      7.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    3.79193741e-02    2.16507478e-05
160      7.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    3.76141446e-02    1.68578769e-05
161      7.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    3.73953153e-02    1.21515922e-05
162      7.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    3.72620966e-02    7.53114396e-06
163      7.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    3.72118459e-02    2.99392988e-06
164      7.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    3.72402706e-02   -1.46430242e-06
165      7.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    3.73420742e-02   -5.84880943e-06
166      7.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    3.75117518e-02   -1.01650558e-05
167      7.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    3.77443095e-02   -1.44179952e-05
168      7.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    3.80357780e-02   -1.86115569e-05
169      7.64880952e-04    0.00000000e+00    0.00000000e+00    6.11318579e-02    3.83834778e-02   -2.27483801e-05
170      7.69642857e-04    0.00000000e+00    0.00000000e+00    6.56158337e-02    3.87860561e-02   -2.68297776e-05
171      7.74404762e-04    0.00000000e+00    0.00000000e+00    7.00992221e-02    3.92433452e-02   -3.08558769e-05
172      7.79166667e-04    0.00000000e+00    0.00000000e+00    7.45819830e-02    3.97561074e-02   -3.48258756e-05
173      7.83928571e-04    0.00000000e+00    0.00000000e+00    7.90640762e-02    4.03257246e-02   -3.87383515e-05
174      7.88690476e-04    0.00000000e+00    0.00000000e+00    8.35454616e-02    4.09538840e-02   -4.25915776e-05
175      7.93452381e-04    0.00000000e+00    0.00000000e+00    8.80260991e-02    4.16422932e-02   -4.63838060e-05
176      7.98214286e-04    0.00000000e+00    0.00000000e+00    3.36398366e-02    4.14725973e-02    7.83276068e-06
177      8.02976190e-04    0.00000000e+00    0.00000000e+00    2.80498926e-03    4.08287839e-02    3.80237947e-05
178      8.07738095e-04    0.00000000e+00    0.00000000e+00    7.29294695e-03    4.02711314e-02    3.29781844e-05
179      8.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    3.97982532e-02    2.80174138e-05
180      8.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    3.94096920e-02    2.31410657e-05
181      8.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    3.91058720e-02    1.83496043e-05
182      8.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    3.88870139e-02    1.36432907e-05
183      8.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    3.87521391e-02    9.02118643e-06
184      8.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    3.86986696e-02    4.48075357e-06
185      8.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    3.87226299e-02    1.80568541e-08
186      8.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    3.88192276e-02   -4.37165604e-06
187      8.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    3.89835525e-02   -8.69325508e-06
188      8.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    3.92111981e-02   -1.29511066e-05
189      8.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    3.94986949e-02   -1.71486399e-05
190      8.64880952e-04    0.00000000e+00    0.00000000e+00    6.11318579e-02    3.98437230e-02   -2.12881348e-05
191      8.69642857e-04    0.00000000e+00    0.00000000e+00    6.56158337e-02    4.02451240e-02   -2.53707096e-05
192      8.74404762e-04    0.00000000e+00    0.00000000e+00    7.00992221e-02    4.07027599e-02   -2.93964622e-05
193      8.79166667e-04    0.00000000e+00    0.00000000e+00    7.45819830e-02    4.12172763e-02   -3.33647066e-05
194      8.83928571e-04    0.00000000e+00    0.00000000e+00    7.90640762e-02    4.17898233e-02   -3.72742529e-05
195      8.88690476e-04    0.00000000e+00    0.00000000e+00    8.35454616e-02    4.24217764e-02   -4.11236852e-05
196      8.93452381e-04    0.00000000e+00    0.00000000e+00    8.80260991e-02    4.31144896e-02   -4.49116095e-05
197      8.98214286e-04    0.00000000e+00    0.00000000e+00    3.36398366e-02    4.29492562e-02    9.30941963e-06
198      9.02976190e-04    0.00000000e+00    0.00000000e+00    2.80498926e-03    4.23096462e-02    3.95046569e-05
199      9.07738095e-04    0.00000000e+00    0.00000000e+00    7.29294695e-03    4.17557360e-02    3.44627891e-05
200      9.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    4.12860778e-02    2.95052384e-05
201      9.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    4.09000099e-02    2.46313836e-05
