Index        TIME               V(VOUT)              V(IN)               V(1)        
158      3.0077048229e-06    1.8636883878e+00    1.7616727453e+00    1.7851830833e+00
159      3.0077770833e-06    1.7843916304e+00    1.8092915719e+00    1.8328750102e+00
160      3.0078493438e-06    1.7040786013e+00    1.8569590858e+00    1.8805669372e+00
161      3.0079938648e-06    1.5424614499e+00    1.9524217516e+00    1.9759507911e+00
162      3.0081383858e-06    1.3827919990e+00    2.0480911199e+00    2.0713346450e+00
163      3.0081638222e-06    1.3552897638e+00    2.0649381550e+00    2.0881226760e+00
164      3.0081892586e-06    1.3279680871e+00    2.0818047686e+00    2.1049107069e+00
165      3.0082401315e-06    1.2743338722e+00    2.1155416330e+00    2.1384867689e+00
166      3.0082910043e-06    1.2221920604e+00    2.1492715490e+00    2.1720628308e+00
167      3.0083418771e-06    1.1718744441e+00    2.1829924534e+00    2.2056388927e+00
168      3.0083927499e-06    1.1236744463e+00    2.2166909412e+00    2.2392149546e+00
169      3.0084436228e-06    1.0778464042e+00    2.2503592098e+00    2.2727910165e+00
170      3.0084944956e-06    1.0345486925e+00    2.2839943250e+00    2.3063670784e+00
171      3.0085453684e-06    9.9383938906e-01    2.3176018971e+00    2.3399431403e+00
172      3.0085962412e-06    9.5567747942e-01    2.3511925599e+00    2.3735192023e+00
173      3.0086471140e-06    9.1994953490e-01    2.3847787550e+00    2.4070952642e+00
174      3.0086979869e-06    8.8649696939e-01    2.4183711960e+00    2.4406713261e+00
175      3.0087488597e-06    8.5514236107e-01    2.4519774446e+00    2.4742473880e+00
176      3.0087997325e-06    8.2570758139e-01    2.4856016856e+00    2.5078234499e+00
177      3.0088506053e-06    7.9802571779e-01    2.5192455271e+00    2.5413995118e+00
178      3.0089014781e-06    7.7194732700e-01    2.5529089441e+00    2.5749755737e+00
179      3.0089523510e-06    7.4734341242e-01    2.5865911636e+00    2.6085516356e+00
180      3.0090032238e-06    7.2410620451e-01    2.6202912661e+00    2.6421276976e+00
181      3.0090540966e-06    7.0214893554e-01    2.6540085841e+00    2.6757037595e+00
182      3.0091049694e-06    6.8140512298e-01    2.6877429199e+00    2.7092798214e+00
183      3.0091558422e-06    6.6182784387e-01    2.7214946685e+00    2.7428558833e+00
184      3.0092067151e-06    6.4338919680e-01    2.7552648770e+00    2.7764319452e+00
185      3.0092575879e-06    6.2608012676e-01    2.7890552807e+00    2.8100080071e+00
186      3.0093084607e-06    6.0991064906e-01    2.8228683345e+00    2.8435840690e+00
187      3.0093593335e-06    5.9491044649e-01    2.8567072594e+00    2.8771601309e+00
188      3.0094102064e-06    5.8112966254e-01    2.8905761316e+00    2.9107361929e+00
189      3.0094610792e-06    5.6863957523e-01    2.9244800888e+00    2.9443122548e+00
