Index        TIME               V(VOUT)              V(IN)               V(1)           N(M:XINV1:N1_T)     N(M:XINV1:P1_T)  
187      3.0210859732e-06    4.5231737120e-01    1.9999912054e+00    2.0000000000e+00    1.2480355209e+01    3.9183190986e+00
188      3.0221390381e-06    4.5231889665e-01    2.0000078080e+00    2.0000000000e+00    1.2495647844e+01    3.9190205047e+00
189      3.0242451680e-06    4.5232282883e-01    1.9999925595e+00    2.0000000000e+00    1.2526177016e+01    3.9204206883e+00
190      3.0284574278e-06    4.5232990352e-01    2.0000071783e+00    2.0000000000e+00    1.2587011578e+01    3.9232108567e+00
191      3.0368819472e-06    4.5234466189e-01    1.9999928639e+00    2.0000000000e+00    1.2707791115e+01    3.9287503726e+00
192      3.0537309862e-06    4.5237305885e-01    2.0000070298e+00    2.0000000000e+00    1.2945834994e+01    3.9396683604e+00
193      3.0874290640e-06    4.5242886418e-01    1.9999929396e+00    2.0000000000e+00    1.3408200317e+01    3.9608753724e+00
194      3.1548252198e-06    4.5253343675e-01    2.0000069961e+00    2.0000000000e+00    1.4280632014e+01    4.0008923804e+00
195      3.2222213756e-06    4.5263047060e-01    1.9999929680e+00    2.0000000000e+00    1.5087280883e+01    4.0378940342e+00
196      3.2896175314e-06    4.5271969472e-01    2.0000069753e+00    2.0000000000e+00    1.5833113300e+01    4.0721077313e+00
197      3.3570136871e-06    4.5280256032e-01    1.9999929958e+00    2.0000000000e+00    1.6522719781e+01    4.1037435727e+00
198      3.4244098429e-06    4.5287870262e-01    2.0000069540e+00    2.0000000000e+00    1.7160343473e+01    4.1329959654e+00
199      3.5592021544e-06    4.5301490606e-01    1.9999930182e+00    2.0000000000e+00    1.8296650384e+01    4.1851292483e+00
200      3.6939944660e-06    4.5313077911e-01    2.0000069468e+00    2.0000000000e+00    1.9267902569e+01    4.2296929702e+00
201      3.8287867775e-06    4.5323018346e-01    1.9999930345e+00    2.0000000000e+00    2.0098091366e+01    4.2677864030e+00
202      3.9635790890e-06    4.5331464829e-01    2.0000069383e+00    2.0000000000e+00    2.0807716279e+01    4.3003493328e+00
203      4.0983714006e-06    4.5338725447e-01    1.9999930497e+00    2.0000000000e+00    2.1414294657e+01    4.3281847847e+00
204      4.2331637121e-06    4.5344883789e-01    2.0000069288e+00    2.0000000000e+00    2.1932796245e+01    4.3519793077e+00
205      4.3679560236e-06    4.5350191035e-01    1.9999930641e+00    2.0000000000e+00    2.2376014510e+01    4.3723195454e+00
206      4.5200000000e-06    4.5355211679e-01    2.0000069194e+00    2.0000000000e+00    2.2799439759e+01    4.3917519665e+00
207      4.5204794149e-06    4.5218898581e-01    1.9095695720e+00    1.9041170284e+00    2.2800024109e+01    4.3938831058e+00
