Index       FREQ          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}        Re(IG(MP1))       Im(IG(MP1))       Re(IG(MN1))       Im(IG(MN1))       Re(IS(MP1))       Im(IS(MP1))       Re(ID(MN1))       Im(ID(MN1))       Re(ID(MP1))       Im(ID(MP1))   
81      -1.19000000e+07    1.00004944e+00    4.00000032e+00    4.00000000e+00   -2.46887622e-09   -1.91550685e-10    2.14971861e-09   -1.20717435e-11    8.05485928e-09   -8.72566130e-08   -5.21579547e-10   -1.02639567e-07   -5.58598299e-09    8.74481639e-08
82      -1.18000000e+07    9.99461157e-01    4.00000049e+00    4.00000000e+00   -7.22880120e-10    2.73648435e-09    2.35193106e-10   -1.72325659e-09   -1.20352849e-07   -2.76728818e-08   -6.59164999e-08   -1.17354314e-08    1.21075728e-07    2.49363972e-08
83      -1.17000000e+07    9.99863699e-01    3.99999927e+00    4.00000000e+00    4.34692208e-10    5.71635927e-10    2.93518270e-10   -3.58862056e-10   -2.14243593e-08    4.03099524e-08   -1.28489828e-08   -3.47923058e-08    2.09896669e-08   -4.08815873e-08
84      -1.16000000e+07    1.00025685e+00    4.00000022e+00    4.00000000e+00   -1.08322612e-10    2.31024355e-09   -1.10449272e-10   -2.00200446e-09   -7.94957877e-08   -4.80866798e-09   -1.05111959e-07    1.79816486e-09    7.96041107e-08    2.49842439e-09
85      -1.15000000e+07    9.99838010e-01    3.99999898e+00    4.00000000e+00    2.92774131e-09    6.73470084e-10   -1.91126773e-09   -3.21396135e-10   -2.65816867e-08    1.28054982e-07   -1.09975415e-08    7.85298834e-08    2.36539452e-08   -1.28728451e-07
86      -1.14000000e+07    1.00079811e+00    3.99999982e+00    4.00000000e+00    6.00388917e-10   -8.00721563e-10   -4.17183506e-10    9.13120448e-11    5.81261648e-08    2.34941165e-08   -2.21634069e-08    1.33400077e-08   -5.87265526e-08   -2.26933947e-08
87      -1.13000000e+07    1.00000123e+00    3.99999978e+00    4.00000000e+00    2.12131952e-09    2.93039952e-11   -1.90541702e-09    4.76008635e-11   -1.69129739e-09    6.95790451e-08    2.88540475e-09    1.05930957e-07   -4.30022133e-10   -6.96083496e-08
88      -1.12000000e+07    1.00042760e+00    3.99999972e+00    4.00000000e+00    6.18804190e-10   -3.09882866e-09   -3.39871671e-10    2.21218627e-09    1.37361221e-07    2.53499913e-08    9.41713737e-08    1.03649686e-08   -1.37980024e-07   -2.22511624e-08
89      -1.11000000e+07    1.00016214e+00    4.00000078e+00    4.00000000e+00   -1.16737967e-09   -6.21018051e-10    3.86753152e-10    3.37465545e-10    2.51494223e-08   -7.70924742e-08    1.36289946e-08    7.45421083e-09   -2.39820424e-08    7.77134911e-08
90      -1.10000000e+07    9.99525775e-01    4.00000001e+00    4.00000000e+00   -4.49445873e-11   -1.90479496e-09    3.38358403e-11    1.88716205e-09    6.03390953e-08   -1.28292805e-09    1.07900179e-07   -3.81022665e-09   -6.02941514e-08    3.18772298e-09
91      -1.09000000e+07    1.00013317e+00    4.00000086e+00    4.00000000e+00   -3.23106206e-09   -5.61943817e-10    2.36822661e-09    2.37231745e-10    2.37109467e-08   -1.45621057e-07    9.56800822e-09   -1.10145677e-07   -2.04798844e-08    1.46183000e-07
92      -1.08000000e+07    9.99127105e-01    4.00000034e+00    4.00000000e+00   -6.32713827e-10    1.52659818e-09    2.93556901e-10   -5.98375018e-10   -9.39710724e-08   -2.63828281e-08   -6.15765927e-09   -1.37342445e-08    9.46037850e-08    2.48562297e-08
93      -1.07000000e+07    9.99948793e-01    3.99999995e+00    4.00000000e+00   -1.64542017e-09    1.12109985e-10    1.69820903e-09   -1.29274592e-10   -4.37290465e-09   -4.91104153e-08   -4.85062807e-09   -1.08140892e-07    6.01832474e-09    4.89983061e-08
94      -1.06000000e+07    9.99737997e-01    4.00000034e+00    4.00000000e+00   -5.01463715e-10    3.31567354e-09    1.64093944e-10   -2.41996917e-09   -1.49284732e-07   -2.16731924e-08   -1.22820333e-07   -8.60722380e-09    1.49786195e-07    1.83575187e-08
95      -1.05000000e+07    9.99824572e-01    3.99999907e+00    4.00000000e+00    1.89089178e-09    6.34798995e-10   -9.56362897e-10   -3.51397262e-10   -2.74738809e-08    1.11306656e-07   -1.39332306e-08    2.14589686e-08    2.55829889e-08   -1.11941454e-07
96      -1.04000000e+07    1.00070191e+00    4.00000002e+00    4.00000000e+00    1.75101220e-10    1.33753025e-09   -1.97454972e-10   -1.41439144e-09   -3.22808225e-08    7.57443546e-09   -1.02785456e-07    6.02245354e-09    3.21057223e-08   -8.91196560e-09
97      -1.03000000e+07    9.99905478e-01    3.99999921e+00    4.00000000e+00    3.36679146e-09    4.38020069e-10   -2.57356927e-09   -1.87841374e-10   -1.95435034e-08    1.50913562e-07   -7.75269911e-09    1.34852239e-07    1.61767118e-08   -1.51351581e-07
98      -1.02000000e+07    1.00089875e+00    3.99999975e+00    4.00000000e+00    6.31759152e-10   -2.26389091e-09   -3.84671891e-10    1.35832752e-09    1.32648799e-07    2.84496827e-08    4.22710299e-08    1.42487844e-08   -1.33280557e-07   -2.61857916e-08
